Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2012,1,1,0,30,0,4.4,7,33.41,-112.1
2012,1,1,1,30,0,4.2,7,,
2012,1,1,2,30,0,4.1,6,,
2012,1,1,3,30,0,4,6,,
2012,1,1,4,30,0,3.8,6,,
2012,1,1,5,30,0,3.8,6,,
2012,1,1,6,30,0,3.7,6,,
2012,1,1,7,30,0,3.7,7,,
2012,1,1,8,30,142,4,11,,
2012,1,1,9,30,325,3.9,15,,
2012,1,1,10,30,476,4,20,,
2012,1,1,11,30,567,4.2,23,,
2012,1,1,12,30,601,4.1,25,,
2012,1,1,13,30,570,3.8,26,,
2012,1,1,14,30,478,2.8,26,,
2012,1,1,15,30,331,1.7,23,,
2012,1,1,16,30,150,1.5,19,,
2012,1,1,17,30,0,1.8,17,,
2012,1,1,18,30,0,1.9,15,,
2012,1,1,19,30,0,2.2,13,,
2012,1,1,20,30,0,2.8,13,,
2012,1,1,21,30,0,3.4,12,,
2012,1,1,22,30,0,3.7,11,,
2012,1,1,23,30,0,3.6,11,,
2012,1,2,0,30,0,3.4,10,,
2012,1,2,1,30,0,3.2,10,,
2012,1,2,2,30,0,3,9,,
2012,1,2,3,30,0,3,9,,
2012,1,2,4,30,0,3,9,,
2012,1,2,5,30,0,2.9,9,,
2012,1,2,6,30,0,2.9,9,,
2012,1,2,7,30,0,3.4,10,,
2012,1,2,8,30,138,4.1,13,,
2012,1,2,9,30,321,4.6,17,,
2012,1,2,10,30,472,4.9,20,,
2012,1,2,11,30,564,4.6,23,,
2012,1,2,12,30,600,4.1,24,,
2012,1,2,13,30,569,3.6,25,,
2012,1,2,14,30,476,2.8,25,,
2012,1,2,15,30,329,1.7,23,,
2012,1,2,16,30,150,1.4,19,,
2012,1,2,17,30,0,1.7,16,,
2012,1,2,18,30,0,1.9,15,,
2012,1,2,19,30,0,2,14,,
2012,1,2,20,30,0,2.1,13,,
2012,1,2,21,30,0,2.3,12,,
