Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2005,1,1,0,30,0,1.2,6,37.37,-121.86
2005,1,1,1,30,0,1.1,6,,
2005,1,1,2,30,0,1,6,,
2005,1,1,3,30,0,1,6,,
2005,1,1,4,30,0,1,6,,
2005,1,1,5,30,0,1.1,5,,
2005,1,1,6,30,0,1.2,5,,
2005,1,1,7,30,0,1.2,6,,
2005,1,1,8,30,142,1.8,9,,
2005,1,1,9,30,294,2.4,10,,
2005,1,1,10,30,423,2.6,11,,
2005,1,1,11,30,378,2.7,11,,
2005,1,1,12,30,248,2.6,11,,
2005,1,1,13,30,239,2.4,11,,
2005,1,1,14,30,109,2,11,,
2005,1,1,15,30,64,1.3,10,,
2005,1,1,16,30,30,0.9,8,,
2005,1,1,17,30,0,0.9,8,,
2005,1,1,18,30,0,0.9,8,,
2005,1,1,19,30,0,0.9,8,,
2005,1,1,20,30,0,0.9,8,,
2005,1,1,21,30,0,0.9,8,,
2005,1,1,22,30,0,0.9,8,,
2005,1,1,23,30,0,1.1,8,,
2005,1,2,0,30,0,1.2,8,,
2005,1,2,1,30,0,1.2,8,,
2005,1,2,2,30,0,1.2,8,,
2005,1,2,3,30,0,1.3,8,,
2005,1,2,4,30,0,1.5,8,,
2005,1,2,5,30,0,1.8,8,,
2005,1,2,6,30,0,1.9,8,,
2005,1,2,7,30,0,1.9,8,,
2005,1,2,8,30,29,2.1,8,,
2005,1,2,9,30,33,2.4,9,,
2005,1,2,10,30,57,2.7,9,,
2005,1,2,11,30,210,2.8,9,,
2005,1,2,12,30,197,2.7,9,,
2005,1,2,13,30,69,2.5,9,,
2005,1,2,14,30,56,2.2,9,,
2005,1,2,15,30,78,1.7,9,,
2005,1,2,16,30,18,1.4,8,,
2005,1,2,17,30,0,1.3,8,,
2005,1,2,18,30,0,1.3,8,,
2005,1,2,19,30,0,1.4,8,,
2005,1,2,20,30,0,1.5,8,,
2005,1,2,21,30,0,1.5,7,,
2005,1,2,22,30,0,1.2,7,,
2005,1,2,23,30,0,1.1,7,,
2005,1,3,0,30,0,1,7,,
2005,1,3,1,30,0,0.9,7,,
2005,1,3,2,30,0,0.9,6,,
2005,1,3,3,30,0,0.9,6,,
2005,1,3,4,30,0,0.9,6,,
2005,1,3,5,30,0,0.7,7,,
2005,1,3,6,30,0,0.7,7,,
2005,1,3,7,30,0,0.7,7,,
2005,1,3,8,30,85,0.9,8,,
2005,1,3,9,30,216,1.2,9,,
2005,1,3,10,30,430,1.3,9,,
2005,1,3,11,30,314,1.3,10,,
2005,1,3,12,30,278,1.1,11,,
2005,1,3,13,30,86,0.9,12,,
2005,1,3,14,30,207,1,11,,
2005,1,3,15,30,200,0.9,10,,
2005,1,3,16,30,44,0.9,8,,
2005,1,3,17,30,0,1,7,,
2005,1,3,18,30,0,1.1,6,,
2005,1,3,19,30,0,1,6,,
2005,1,3,20,30,0,0.9,6,,
2005,1,3,21,30,0,0.7,6,,
2005,1,3,22,30,0,0.5,6,,
2005,1,3,23,30,0,0.4,6,,
2005,1,4,0,30,0,0.3,6,,
2005,1,4,1,30,0,0.3,6,,
2005,1,4,2,30,0,0.5,6,,
2005,1,4,3,30,0,0.6,6,,
2005,1,4,4,30,0,0.6,6,,
2005,1,4,5,30,0,0.6,6,,
2005,1,4,6,30,0,0.5,6,,
2005,1,4,7,30,0,0.5,6,,
2005,1,4,8,30,40,0.9,8,,
2005,1,4,9,30,175,1.5,9,,
2005,1,4,10,30,230,1.8,10,,
2005,1,4,11,30,337,1.9,11,,
2005,1,4,12,30,300,1.9,11,,
2005,1,4,13,30,112,1.5,11,,
2005,1,4,14,30,256,0.9,10,,
2005,1,4,15,30,43,0.5,9,,
2005,1,4,16,30,22,0.6,8,,
2005,1,4,17,30,0,1,7,,
2005,1,4,18,30,0,1.1,6,,
2005,1,4,19,30,0,1.2,6,,
2005,1,4,20,30,0,1.1,5,,
2005,1,4,21,30,0,1.1,5,,
2005,1,4,22,30,0,1,6,,
2005,1,4,23,30,0,1,6,,
2005,1,5,0,30,0,1,6,,
2005,1,5,1,30,0,1,7,,
2005,1,5,2,30,0,1.1,7,,
2005,1,5,3,30,0,1.1,7,,
2005,1,5,4,30,0,1.1,7,,
2005,1,5,5,30,0,1.2,6,,
2005,1,5,6,30,0,1.4,6,,
2005,1,5,7,30,0,1.7,7,,
2005,1,5,8,30,48,2.2,9,,
2005,1,5,9,30,83,2.4,10,,
2005,1,5,10,30,188,2.4,11,,
2005,1,5,11,30,209,2.3,12,,
2005,1,5,12,30,134,2,12,,
2005,1,5,13,30,124,1.5,12,,
2005,1,5,14,30,117,1,11,,
