Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2017,1,1,0,30,0,2.2,-2,39.73,-104.98
2017,1,1,1,30,0,2.3,-2,,
2017,1,1,2,30,0,2.2,-2,,
2017,1,1,3,30,0,2.2,-2,,
2017,1,1,4,30,0,2.2,-2,,
2017,1,1,5,30,0,2.4,-3,,
2017,1,1,6,30,0,2.9,-3,,
2017,1,1,7,30,0,3.9,-2,,
2017,1,1,8,30,158,4.7,0,,
2017,1,1,9,30,315,5.2,3,,
2017,1,1,10,30,433,5.6,5,,
2017,1,1,11,30,496,5.5,6,,
2017,1,1,12,30,498,5.1,7,,
2017,1,1,13,30,306,4.2,6,,
2017,1,1,14,30,229,2.3,5,,
2017,1,1,15,30,123,0.6,2,,
2017,1,1,16,30,16,0.5,0,,
2017,1,1,17,30,0,1,0,,
2017,1,1,18,30,0,1.5,0,,
2017,1,1,19,30,0,1.8,0,,
2017,1,1,20,30,0,2,0,,
2017,1,1,21,30,0,1.9,0,,
2017,1,1,22,30,0,1.9,0,,
2017,1,1,23,30,0,2,0,,
2017,1,2,0,30,0,2.2,0,,
2017,1,2,1,30,0,2.3,0,,
2017,1,2,2,30,0,2.2,-1,,
2017,1,2,3,30,0,2.2,-1,,
2017,1,2,4,30,0,2.3,-2,,
2017,1,2,5,30,0,2.6,-2,,
2017,1,2,6,30,0,3.3,-2,,
2017,1,2,7,30,0,4.3,-1,,
2017,1,2,8,30,163,4.9,1,,
2017,1,2,9,30,319,5.6,4,,
2017,1,2,10,30,348,6.5,6,,
2017,1,2,11,30,362,6.5,7,,
2017,1,2,12,30,410,6.1,7,,
2017,1,2,13,30,393,4.9,6,,
2017,1,2,14,30,287,3,4,,
2017,1,2,15,30,155,1.2,1,,
2017,1,2,16,30,22,0.4,0,,
2017,1,2,17,30,0,1,-1,,
2017,1,2,18,30,0,1.7,-3,,
2017,1,2,19,30,0,1.7,-4,,
2017,1,2,20,30,0,1.4,-4,,
2017,1,2,21,30,0,1.3,-5,,
2017,1,2,22,30,0,1.3,-5,,
2017,1,2,23,30,0,1.4,-5,,
2017,1,3,0,30,0,1.5,-6,,
2017,1,3,1,30,0,1.3,-6,,
2017,1,3,2,30,0,1,-6,,
2017,1,3,3,30,0,0.8,-7,,
2017,1,3,4,30,0,0.6,-7,,
2017,1,3,5,30,0,0.4,-8,,
2017,1,3,6,30,0,0.5,-8,,
2017,1,3,7,30,0,0.6,-7,,
2017,1,3,8,30,115,0.9,-5,,
2017,1,3,9,30,232,1.7,-3,,
2017,1,3,10,30,332,2.1,-1,,
2017,1,3,11,30,352,1.8,0,,
2017,1,3,12,30,429,1.2,0,,
2017,1,3,13,30,406,1,0,,
2017,1,3,14,30,286,1.3,0,,
2017,1,3,15,30,174,1.7,0,,
2017,1,3,16,30,25,1.8,-1,,
2017,1,3,17,30,0,1.6,-2,,
2017,1,3,18,30,0,1.1,-3,,
2017,1,3,19,30,0,0.8,-4,,
2017,1,3,20,30,0,1,-5,,
2017,1,3,21,30,0,1.5,-5,,
2017,1,3,22,30,0,1.9,-6,,
2017,1,3,23,30,0,1.9,-6,,
2017,1,4,0,30,0,1.9,-6,,
2017,1,4,1,30,0,2,-7,,
2017,1,4,2,30,0,2,-7,,
2017,1,4,3,30,0,1.7,-8,,
2017,1,4,4,30,0,1.3,-8,,
2017,1,4,5,30,0,1,-9,,
2017,1,4,6,30,0,0.8,-9,,
2017,1,4,7,30,0,1.2,-8,,
2017,1,4,8,30,58,1.8,-6,,
2017,1,4,9,30,117,2.2,-4,,
2017,1,4,10,30,154,2.6,-2,,
2017,1,4,11,30,288,2.7,-2,,
2017,1,4,12,30,264,2.4,-2,,
2017,1,4,13,30,187,2,-2,,
2017,1,4,14,30,112,1.7,-4,,
2017,1,4,15,30,61,1.8,-6,,
2017,1,4,16,30,9,2.1,-8,,
2017,1,4,17,30,0,2.5,-9,,
2017,1,4,18,30,0,2.9,-10,,
2017,1,4,19,30,0,3.3,-11,,
2017,1,4,20,30,0,3.4,-12,,
2017,1,4,21,30,0,3,-13,,
2017,1,4,22,30,0,2.8,-13,,
2017,1,4,23,30,0,3,-13,,
2017,1,5,0,30,0,3.1,-14,,
2017,1,5,1,30,0,3.6,-14,,
2017,1,5,2,30,0,4.3,-14,,
2017,1,5,3,30,0,4.7,-15,,
2017,1,5,4,30,0,4.8,-15,,
2017,1,5,5,30,0,4.4,-15,,
2017,1,5,6,30,0,3.6,-16,,
2017,1,5,7,30,0,2.9,-15,,
2017,1,5,8,30,94,2.6,-14,,
2017,1,5,9,30,193,2.8,-12,,
2017,1,5,10,30,264,3.4,-12,,
2017,1,5,11,30,238,3.7,-12,,
2017,1,5,12,30,293,3.7,-12,,
2017,1,5,13,30,235,3.7,-12,,
2017,1,5,14,30,177,3.4,-12,,
2017,1,5,15,30,99,2.8,-12,,
2017,1,5,16,30,16,2,-13,,
2017,1,5,17,30,0,1.2,-14,,
2017,1,5,18,30,0,0.6,-14,,
2017,1,5,19,30,0,0.6,-14,,
2017,1,5,20,30,0,1,-14,,
