Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2019,1,1,0,0,0,0,0,0,0,0,7.3,0,0,N/A
2019,1,1,0,30,0,0,0,0,0,0,6.9,0,0,N/A
2019,1,1,1,0,0,0,0,0,0,0,6.6,0,0,N/A
2019,1,1,1,30,0,0,0,0,0,0,6.4,0,0,N/A
2019,1,1,2,0,0,0,0,0,0,0,6.3,0,0,N/A
2019,1,1,2,30,0,0,0,0,0,0,6.3,0,0,N/A
2019,1,1,3,0,0,0,0,0,0,0,6.4,0,0,N/A
2019,1,1,3,30,0,0,0,0,0,0,6.5,0,0,N/A
2019,1,1,4,0,0,0,0,0,0,0,6.6,0,0,N/A
2019,1,1,4,30,0,0,0,0,0,0,6.7,0,0,N/A
2019,1,1,5,0,0,0,0,0,0,0,6.9,0,0,N/A
2019,1,1,5,30,0,0,0,0,0,0,7,0,0,N/A
2019,1,1,6,0,0,0,0,0,0,0,7.2,0,0,N/A
2019,1,1,6,30,0,0,0,0,0,0,7.3,0,0,N/A
2019,1,1,7,0,0,0,0,0,0,0,7.5,0,0,N/A
2019,1,1,7,30,19,171,25,19,171,25,8.2,0,0,N/A
2019,1,1,8,0,41,458,101,41,458,101,8.8,0,0,N/A
2019,1,1,8,30,72,363,153,55,625,194,10,7.357,5.6314,N/A
2019,1,1,9,0,82,560,254,65,730,289,11.1,12.7566,9.8504,N/A
2019,1,1,9,30,129,432,295,71,795,377,12.4,15.4432,11.9942,N/A
2019,1,1,10,0,102,713,424,76,839,455,13.7,22.9114,17.8587,N/A
2019,1,1,10,30,161,527,428,81,866,521,14.7,23.6646,18.488,N/A
2019,1,1,11,0,244,199,354,85,882,572,15.8,19.8871,15.5593,N/A
2019,1,1,11,30,245,303,422,90,886,607,16.2,23.9538,18.7577,N/A
2019,1,1,12,0,219,485,511,95,882,625,16.7,29.1691,22.8522,N/A
2019,1,1,12,30,186,598,548,96,878,628,16.8,31.3244,24.5436,N/A
2019,1,1,13,0,259,286,430,96,868,614,16.9,24.512,19.2015,N/A
2019,1,1,13,30,258,224,387,95,852,584,16.9,21.9052,17.1494,N/A
2019,1,1,14,0,225,262,366,93,828,539,16.8,20.4685,16.0078,N/A
2019,1,1,14,30,211,122,271,91,796,481,16.5,14.8846,11.6212,N/A
2019,1,1,15,0,163,149,227,86,752,410,16.3,12.1531,9.4635,N/A
2019,1,1,15,30,128,74,155,79,694,329,15.7,8.013,6.2135,N/A
2019,1,1,16,0,87,152,130,69,611,240,15.1,6.4307,4.953,N/A
2019,1,1,16,30,61,121,84,56,487,150,14.3,4.0069,3.0579,N/A
2019,1,1,17,0,11,3,11,37,295,66,13.6,0,0,N/A
2019,1,1,17,30,4,17,4,9,53,9,13.6,0,0,N/A
2019,1,1,18,0,0,0,0,0,0,0,13.1,0,0,N/A
2019,1,1,18,30,0,0,0,0,0,0,13,0,0,N/A
2019,1,1,19,0,0,0,0,0,0,0,12.8,0,0,N/A
2019,1,1,19,30,0,0,0,0,0,0,12.6,0,0,N/A
2019,1,1,20,0,0,0,0,0,0,0,12.4,0,0,N/A
2019,1,1,20,30,0,0,0,0,0,0,12.2,0,0,N/A
2019,1,1,21,0,0,0,0,0,0,0,12,0,0,N/A
2019,1,1,21,30,0,0,0,0,0,0,11.9,0,0,N/A
2019,1,1,22,0,0,0,0,0,0,0,11.8,0,0,N/A
2019,1,1,22,30,0,0,0,0,0,0,11.7,0,0,N/A
2019,1,1,23,0,0,0,0,0,0,0,11.5,0,0,N/A
2019,1,1,23,30,0,0,0,0,0,0,11.4,0,0,N/A
2019,1,2,0,0,0,0,0,0,0,0,11.3,0,0,N/A
2019,1,2,0,30,0,0,0,0,0,0,11.3,0,0,N/A
2019,1,2,1,0,0,0,0,0,0,0,11.3,0,0,N/A
2019,1,2,1,30,0,0,0,0,0,0,11.2,0,0,N/A
2019,1,2,2,0,0,0,0,0,0,0,11.2,0,0,N/A
2019,1,2,2,30,0,0,0,0,0,0,11.2,0,0,N/A
2019,1,2,3,0,0,0,0,0,0,0,11.1,0,0,N/A
2019,1,2,3,30,0,0,0,0,0,0,11,0,0,N/A
2019,1,2,4,0,0,0,0,0,0,0,10.9,0,0,N/A
2019,1,2,4,30,0,0,0,0,0,0,10.8,0,0,N/A
2019,1,2,5,0,0,0,0,0,0,0,10.8,0,0,N/A
2019,1,2,5,30,0,0,0,0,0,0,10.7,0,0,N/A
2019,1,2,6,0,0,0,0,0,0,0,10.6,0,0,N/A
2019,1,2,6,30,0,0,0,0,0,0,10.5,0,0,N/A
2019,1,2,7,0,0,0,0,0,0,0,10.5,0,0,N/A
2019,1,2,7,30,2,0,2,17,87,20,10.6,0,0,N/A
2019,1,2,8,0,5,0,5,47,312,87,10.7,0,0,N/A
2019,1,2,8,30,8,0,8,67,470,171,10.9,0.3846,0.2944,N/A
2019,1,2,9,0,17,0,17,83,570,258,11.1,0.8536,0.6591,N/A
2019,1,2,9,30,19,0,19,94,644,341,11.2,0.9946,0.7725,N/A
2019,1,2,10,0,27,0,27,102,696,416,11.3,1.4591,1.1373,N/A
2019,1,2,10,30,34,0,34,106,739,481,11.4,1.8801,1.4689,N/A
2019,1,2,11,0,30,0,30,106,773,533,11.5,1.6857,1.3189,N/A
2019,1,2,11,30,36,0,36,110,787,570,11.6,2.044,1.6006,N/A
2019,1,2,12,0,56,0,56,114,792,591,11.6,3.1976,2.5052,N/A
2019,1,2,12,30,78,0,78,115,793,596,11.6,4.4603,3.4948,N/A
2019,1,2,13,0,78,0,78,115,787,586,11.5,4.4485,3.4848,N/A
2019,1,2,13,30,84,0,84,111,779,560,11.5,4.757,3.7244,N/A
2019,1,2,14,0,54,0,54,107,765,520,11.5,3.0218,2.3634,N/A
2019,1,2,14,30,90,0,90,104,730,463,11.4,4.9471,3.8628,N/A
2019,1,2,15,0,80,0,80,99,681,394,11.3,4.2871,3.3386,N/A
2019,1,2,15,30,57,0,57,89,625,316,11.1,2.9503,2.2881,N/A
2019,1,2,16,0,46,0,46,77,546,231,10.9,2.2784,1.7553,N/A
