Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2004,1,1,0,30,0,4,-2,41.57,-93.58
2004,1,1,1,30,0,4.1,-2,,
2004,1,1,2,30,0,4.2,-2,,
2004,1,1,3,30,0,4.2,-2,,
2004,1,1,4,30,0,4.2,-2,,
2004,1,1,5,30,0,4.2,-1,,
2004,1,1,6,30,0,4.3,-1,,
2004,1,1,7,30,0,4.3,0,,
2004,1,1,8,30,29,4.4,0,,
2004,1,1,9,30,17,4.4,2,,
2004,1,1,10,30,187,4.6,3,,
2004,1,1,11,30,188,4.6,4,,
2004,1,1,12,30,255,4.6,5,,
2004,1,1,13,30,296,4.9,6,,
2004,1,1,14,30,300,4.1,5,,
2004,1,1,15,30,174,2.8,3,,
2004,1,1,16,30,35,2.4,0,,
2004,1,1,17,30,0,2.7,0,,
2004,1,1,18,30,0,2.8,0,,
2004,1,1,19,30,0,2.7,0,,
2004,1,1,20,30,0,2.6,0,,
2004,1,1,21,30,0,2.5,0,,
2004,1,1,22,30,0,2.2,0,,
2004,1,1,23,30,0,1.6,0,,
2004,1,2,0,30,0,1.1,0,,
2004,1,2,1,30,0,0.8,0,,
2004,1,2,2,30,0,0.9,0,,
2004,1,2,3,30,0,1.1,0,,
2004,1,2,4,30,0,1.7,0,,
2004,1,2,5,30,0,2.6,0,,
2004,1,2,6,30,0,3.5,0,,
2004,1,2,7,30,0,4.2,0,,
2004,1,2,8,30,35,4.7,1,,
2004,1,2,9,30,96,4.6,3,,
2004,1,2,10,30,187,4.1,5,,
2004,1,2,11,30,65,4.1,7,,
2004,1,2,12,30,320,4.5,9,,
2004,1,2,13,30,310,4.5,8,,
2004,1,2,14,30,204,3.5,7,,
2004,1,2,15,30,96,2.6,4,,
2004,1,2,16,30,20,2.7,2,,
2004,1,2,17,30,0,3,2,,
2004,1,2,18,30,0,3.3,2,,
2004,1,2,19,30,0,3.4,1,,
2004,1,2,20,30,0,3.8,1,,
2004,1,2,21,30,0,4,0,,
2004,1,2,22,30,0,4,0,,
2004,1,2,23,30,0,3.8,0,,
2004,1,3,0,30,0,3.7,0,,
2004,1,3,1,30,0,3.5,-1,,
2004,1,3,2,30,0,3.5,-1,,
2004,1,3,3,30,0,3.7,-1,,
2004,1,3,4,30,0,4.1,-2,,
2004,1,3,5,30,0,4.4,-2,,
2004,1,3,6,30,0,4.6,-2,,
2004,1,3,7,30,0,5,-3,,
2004,1,3,8,30,6,5.4,-3,,
2004,1,3,9,30,20,5.4,-3,,
2004,1,3,10,30,83,5.3,-3,,
2004,1,3,11,30,94,5.2,-3,,
2004,1,3,12,30,106,5.2,-4,,
2004,1,3,13,30,143,5.2,-4,,
2004,1,3,14,30,82,5,-4,,
2004,1,3,15,30,59,4.6,-4,,
2004,1,3,16,30,12,4.6,-4,,
2004,1,3,17,30,0,4.6,-4,,
2004,1,3,18,30,0,4.6,-4,,
2004,1,3,19,30,0,4.7,-4,,
2004,1,3,20,30,0,4.8,-5,,
2004,1,3,21,30,0,4.9,-5,,
2004,1,3,22,30,0,4.9,-5,,
2004,1,3,23,30,0,5,-5,,
2004,1,4,0,30,0,5.1,-6,,
2004,1,4,1,30,0,5.1,-6,,
2004,1,4,2,30,0,5.3,-6,,
2004,1,4,3,30,0,5.6,-7,,
2004,1,4,4,30,0,5.8,-7,,
2004,1,4,5,30,0,5.7,-7,,
2004,1,4,6,30,0,5.6,-8,,
2004,1,4,7,30,0,6.1,-8,,
2004,1,4,8,30,11,6.5,-8,,
2004,1,4,9,30,21,6.6,-7,,
2004,1,4,10,30,37,6.6,-6,,
2004,1,4,11,30,51,6.5,-6,,
2004,1,4,12,30,113,6.2,-5,,
2004,1,4,13,30,76,6,-5,,
2004,1,4,14,30,26,5.8,-5,,
2004,1,4,15,30,99,5.6,-5,,
2004,1,4,16,30,21,5.3,-6,,
2004,1,4,17,30,0,5.1,-6,,
2004,1,4,18,30,0,4.9,-7,,
2004,1,4,19,30,0,4.9,-7,,
2004,1,4,20,30,0,5.1,-8,,
2004,1,4,21,30,0,5.4,-8,,
2004,1,4,22,30,0,5.7,-9,,
2004,1,4,23,30,0,6,-9,,
2004,1,5,0,30,0,6.1,-10,,
2004,1,5,1,30,0,6.1,-10,,
2004,1,5,2,30,0,6.1,-10,,
2004,1,5,3,30,0,6.3,-11,,
2004,1,5,4,30,0,6.4,-12,,
2004,1,5,5,30,0,6.3,-12,,
2004,1,5,6,30,0,6.2,-13,,
2004,1,5,7,30,0,6.2,-13,,
2004,1,5,8,30,96,6.3,-14,,
2004,1,5,9,30,252,6.3,-13,,
2004,1,5,10,30,381,6.4,-13,,
2004,1,5,11,30,460,6.4,-12,,
2004,1,5,12,30,480,6.4,-12,,
2004,1,5,13,30,440,6.4,-12,,
