Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2004,1,1,0,30,0,1.1,-8,43.65,-114.38
2004,1,1,1,30,0,0.9,-9,,
2004,1,1,2,30,0,0.8,-9,,
2004,1,1,3,30,0,0.9,-9,,
2004,1,1,4,30,0,1.1,-9,,
2004,1,1,5,30,0,1.2,-8,,
2004,1,1,6,30,0,1.4,-8,,
2004,1,1,7,30,0,1.8,-7,,
2004,1,1,8,30,1,2.6,-6,,
2004,1,1,9,30,7,3.4,-5,,
2004,1,1,10,30,18,3.9,-4,,
2004,1,1,11,30,25,4.6,-4,,
2004,1,1,12,30,63,5.3,-4,,
2004,1,1,13,30,43,5.9,-3,,
2004,1,1,14,30,49,6.5,-3,,
2004,1,1,15,30,9,7.1,-3,,
2004,1,1,16,30,21,7.2,-3,,
2004,1,1,17,30,0,6.9,-3,,
2004,1,1,18,30,0,6.2,-4,,
2004,1,1,19,30,0,5.4,-5,,
2004,1,1,20,30,0,4.8,-6,,
2004,1,1,21,30,0,4.1,-7,,
2004,1,1,22,30,0,3.1,-8,,
2004,1,1,23,30,0,2.3,-9,,
2004,1,2,0,30,0,1.8,-9,,
2004,1,2,1,30,0,1.5,-10,,
2004,1,2,2,30,0,1.3,-11,,
2004,1,2,3,30,0,1.3,-12,,
2004,1,2,4,30,0,1.3,-12,,
2004,1,2,5,30,0,1.4,-13,,
2004,1,2,6,30,0,1.4,-14,,
2004,1,2,7,30,0,1.4,-15,,
2004,1,2,8,30,9,1.3,-15,,
2004,1,2,9,30,55,1.4,-13,,
2004,1,2,10,30,24,2.5,-10,,
2004,1,2,11,30,405,3.7,-8,,
2004,1,2,12,30,446,4,-8,,
2004,1,2,13,30,38,3.7,-8,,
2004,1,2,14,30,71,2.8,-8,,
2004,1,2,15,30,231,1.7,-10,,
2004,1,2,16,30,51,1,-11,,
2004,1,2,17,30,0,0.8,-12,,
2004,1,2,18,30,0,0.6,-13,,
2004,1,2,19,30,0,0.6,-14,,
2004,1,2,20,30,0,0.9,-15,,
2004,1,2,21,30,0,1.2,-16,,
2004,1,2,22,30,0,1.3,-17,,
2004,1,2,23,30,0,1.3,-16,,
2004,1,3,0,30,0,1.3,-15,,
2004,1,3,1,30,0,1.2,-15,,
2004,1,3,2,30,0,1.1,-14,,
2004,1,3,3,30,0,1,-13,,
2004,1,3,4,30,0,0.5,-12,,
2004,1,3,5,30,0,0.4,-12,,
2004,1,3,6,30,0,0.9,-13,,
2004,1,3,7,30,0,1.2,-15,,
2004,1,3,8,30,27,1.3,-16,,
2004,1,3,9,30,176,1.3,-14,,
2004,1,3,10,30,317,1.9,-11,,
2004,1,3,11,30,413,2.8,-9,,
2004,1,3,12,30,453,3.2,-9,,
2004,1,3,13,30,434,3.2,-9,,
2004,1,3,14,30,359,2.6,-9,,
2004,1,3,15,30,235,1.6,-11,,
2004,1,3,16,30,84,1.2,-14,,
2004,1,3,17,30,0,1.4,-17,,
2004,1,3,18,30,0,1.5,-18,,
2004,1,3,19,30,0,1.4,-19,,
2004,1,3,20,30,0,1.3,-19,,
2004,1,3,21,30,0,1.3,-18,,
2004,1,3,22,30,0,1.3,-18,,
2004,1,3,23,30,0,1.3,-18,,
2004,1,4,0,30,0,1.3,-18,,
2004,1,4,1,30,0,1.3,-18,,
2004,1,4,2,30,0,1.3,-17,,
2004,1,4,3,30,0,1.4,-16,,
2004,1,4,4,30,0,1.4,-16,,
2004,1,4,5,30,0,1.3,-16,,
2004,1,4,6,30,0,1.3,-16,,
2004,1,4,7,30,0,1.3,-16,,
2004,1,4,8,30,28,1.2,-15,,
2004,1,4,9,30,174,1.5,-13,,
2004,1,4,10,30,24,2.2,-11,,
2004,1,4,11,30,138,2.7,-10,,
2004,1,4,12,30,166,3,-10,,
2004,1,4,13,30,39,3.5,-10,,
2004,1,4,14,30,118,3.5,-10,,
2004,1,4,15,30,189,2.9,-10,,
2004,1,4,16,30,86,2.3,-12,,
2004,1,4,17,30,0,2,-14,,
2004,1,4,18,30,0,1.9,-16,,
2004,1,4,19,30,0,1.7,-18,,
2004,1,4,20,30,0,1.7,-20,,
2004,1,4,21,30,0,1.7,-21,,
2004,1,4,22,30,0,1.8,-22,,
2004,1,4,23,30,0,1.9,-23,,
2004,1,5,0,30,0,1.9,-25,,
2004,1,5,1,30,0,1.9,-26,,
2004,1,5,2,30,0,1.9,-27,,
2004,1,5,3,30,0,2,-28,,
2004,1,5,4,30,0,2,-29,,
2004,1,5,5,30,0,2,-29,,
2004,1,5,6,30,0,2,-29,,
2004,1,5,7,30,0,2,-28,,
2004,1,5,8,30,30,1.9,-27,,
2004,1,5,9,30,182,1.5,-24,,
2004,1,5,10,30,323,1,-19,,
2004,1,5,11,30,420,0.6,-16,,
2004,1,5,12,30,461,0.5,-14,,
2004,1,5,13,30,442,0.9,-14,,
2004,1,5,14,30,366,0.8,-14,,
2004,1,5,15,30,242,0.5,-16,,
2004,1,5,16,30,89,0.3,-18,,
2004,1,5,17,30,0,0.5,-20,,
2004,1,5,18,30,0,0.9,-21,,
2004,1,5,19,30,0,1.1,-21,,
2004,1,5,20,30,0,1,-21,,
2004,1,5,21,30,0,1,-21,,
2004,1,5,22,30,0,1,-20,,
2004,1,5,23,30,0,1.1,-20,,
2004,1,6,0,30,0,1.2,-19,,
2004,1,6,1,30,0,1.1,-18,,
2004,1,6,2,30,0,1,-18,,
2004,1,6,3,30,0,1,-18,,
2004,1,6,4,30,0,0.9,-18,,
2004,1,6,5,30,0,0.9,-17,,
2004,1,6,6,30,0,1,-17,,
2004,1,6,7,30,0,1.3,-18,,
2004,1,6,8,30,27,1.4,-18,,
2004,1,6,9,30,85,1.2,-16,,
2004,1,6,10,30,181,1.7,-12,,
2004,1,6,11,30,126,2.3,-10,,
2004,1,6,12,30,185,2.4,-10,,
2004,1,6,13,30,211,2.5,-10,,
2004,1,6,14,30,237,2.5,-10,,
2004,1,6,15,30,58,2.2,-10,,
2004,1,6,16,30,49,1.5,-11,,
2004,1,6,17,30,0,1.2,-12,,
2004,1,6,18,30,0,1.3,-13,,
2004,1,6,19,30,0,1.2,-14,,
2004,1,6,20,30,0,1.2,-14,,
