Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2019,1,1,0,30,0,3.7,-0.8,39.77,-89.62
2019,1,1,1,30,0,3.1,-1.2,,
2019,1,1,2,30,0,2.5,-1.6,,
2019,1,1,3,30,0,2.1,-1.8,,
2019,1,1,4,30,0,1.9,-1.8,,
2019,1,1,5,30,0,1.8,-1.5,,
2019,1,1,6,30,0,2,-1.1,,
2019,1,1,7,30,4,2.6,0,,
2019,1,1,8,30,17,3.2,1.2,,
2019,1,1,9,30,28,3.1,2.1,,
2019,1,1,10,30,47,2.7,2.6,,
2019,1,1,11,30,58,2.4,3,,
2019,1,1,12,30,72,2.5,3.1,,
2019,1,1,13,30,56,2.6,2.9,,
2019,1,1,14,30,25,2.5,2.4,,
2019,1,1,15,30,15,1.9,1.1,,
2019,1,1,16,30,4,1.6,-0.3,,
2019,1,1,17,30,0,1.7,-0.8,,
2019,1,1,18,30,0,1.9,-1.7,,
2019,1,1,19,30,0,1.7,-2.4,,
2019,1,1,20,30,0,1.4,-3,,
2019,1,1,21,30,0,1.1,-3.3,,
2019,1,1,22,30,0,0.9,-3.4,,
2019,1,1,23,30,0,0.8,-3.4,,
2019,1,2,0,30,0,0.8,-3.4,,
2019,1,2,1,30,0,0.9,-3.3,,
2019,1,2,2,30,0,1,-3.3,,
2019,1,2,3,30,0,0.9,-3.2,,
2019,1,2,4,30,0,0.8,-3.1,,
2019,1,2,5,30,0,0.8,-3,,
2019,1,2,6,30,0,1,-2.8,,
2019,1,2,7,30,5,1.8,-1.9,,
2019,1,2,8,30,19,2.9,-0.8,,
2019,1,2,9,30,53,3.6,-0.1,,
2019,1,2,10,30,79,4.2,0.3,,
2019,1,2,11,30,147,4.6,0.5,,
2019,1,2,12,30,62,4.7,0.4,,
2019,1,2,13,30,48,4.7,0.2,,
2019,1,2,14,30,39,4.5,-0.2,,
2019,1,2,15,30,33,3.9,-0.7,,
2019,1,2,16,30,8,3.3,-1.4,,
2019,1,2,17,30,0,3.1,-1.6,,
2019,1,2,18,30,0,2.4,-2.4,,
2019,1,2,19,30,0,2.2,-2.7,,
2019,1,2,20,30,0,2.2,-2.9,,
2019,1,2,21,30,0,2.3,-2.9,,
2019,1,2,22,30,0,2.2,-3,,
2019,1,2,23,30,0,2.2,-3,,
2019,1,3,0,30,0,2.1,-3.2,,
2019,1,3,1,30,0,1.8,-3.6,,
2019,1,3,2,30,0,1.6,-4.1,,
2019,1,3,3,30,0,1.5,-4.4,,
2019,1,3,4,30,0,1.4,-4.5,,
2019,1,3,5,30,0,1.5,-4.4,,
2019,1,3,6,30,0,1.8,-4.2,,
2019,1,3,7,30,15,2.5,-3.2,,
2019,1,3,8,30,142,3.2,-1.1,,
2019,1,3,9,30,308,3.4,1.2,,
2019,1,3,10,30,426,3.4,3.1,,
2019,1,3,11,30,488,3.3,4.4,,
2019,1,3,12,30,488,3.4,5.2,,
2019,1,3,13,30,431,3.6,5.4,,
2019,1,3,14,30,321,3.1,4.5,,
2019,1,3,15,30,173,2.2,1.7,,
2019,1,3,16,30,27,1.9,-0.6,,
2019,1,3,17,30,0,1.9,-1.2,,
2019,1,3,18,30,0,1.6,-1.4,,
2019,1,3,19,30,0,2.1,-1.3,,
2019,1,3,20,30,0,2.2,-1,,
2019,1,3,21,30,0,1.6,-1.1,,
2019,1,3,22,30,0,1.2,-1.2,,
2019,1,3,23,30,0,1.2,-1.3,,
2019,1,4,0,30,0,1.3,-1.4,,
2019,1,4,1,30,0,1,-0.9,,
2019,1,4,2,30,0,0.8,-0.4,,
2019,1,4,3,30,0,1,-1.3,,
2019,1,4,4,30,0,1.1,-2,,
2019,1,4,5,30,0,1,-1.7,,
2019,1,4,6,30,0,0.9,-0.8,,
2019,1,4,7,30,12,0.8,0.7,,
2019,1,4,8,30,123,1,2.3,,
2019,1,4,9,30,231,1,3.6,,
2019,1,4,10,30,384,1.2,5.2,,
2019,1,4,11,30,438,1.6,7.1,,
2019,1,4,12,30,470,2.1,8.3,,
2019,1,4,13,30,427,2.3,8.1,,
2019,1,4,14,30,318,1.9,6.3,,
2019,1,4,15,30,173,1.6,3.2,,
2019,1,4,16,30,27,1.9,1.2,,
2019,1,4,17,30,0,2.1,0.9,,
2019,1,4,18,30,0,2.7,1,,
2019,1,4,19,30,0,2.7,0.8,,
2019,1,4,20,30,0,2.5,0.3,,
2019,1,4,21,30,0,2.5,-0.1,,
2019,1,4,22,30,0,2.5,-0.3,,
2019,1,4,23,30,0,2.5,-0.4,,
2019,1,5,0,30,0,2.5,-0.5,,
2019,1,5,1,30,0,2.5,-0.4,,
2019,1,5,2,30,0,2.6,-0.2,,
2019,1,5,3,30,0,2.7,0.1,,
2019,1,5,4,30,0,2.7,0.2,,
2019,1,5,5,30,0,3,0.3,,
2019,1,5,6,30,0,3.3,0.3,,
2019,1,5,7,30,17,3.4,0.7,,
2019,1,5,8,30,150,3.4,2.1,,
2019,1,5,9,30,299,3.4,4.5,,
2019,1,5,10,30,411,3.6,7.4,,
2019,1,5,11,30,472,3.8,9.7,,
2019,1,5,12,30,476,3.7,11,,
2019,1,5,13,30,377,3.2,11.5,,
2019,1,5,14,30,305,2.3,10.4,,
2019,1,5,15,30,174,1.7,7.3,,
2019,1,5,16,30,27,1.9,4.7,,
2019,1,5,17,30,0,2.1,4.1,,
2019,1,5,18,30,0,2.3,3.6,,
2019,1,5,19,30,0,2.2,3.1,,
2019,1,5,20,30,0,2,2.2,,
2019,1,5,21,30,0,1.7,1.4,,
2019,1,5,22,30,0,1.5,1,,
2019,1,5,23,30,0,1.5,1.1,,
2019,1,6,0,30,0,1.6,1.3,,
2019,1,6,1,30,0,1.8,1.3,,
2019,1,6,2,30,0,2,1,,
2019,1,6,3,30,0,2.2,1,,
2019,1,6,4,30,0,2.5,1,,
2019,1,6,5,30,0,2.9,0.9,,
2019,1,6,6,30,0,3.3,1,,
2019,1,6,7,30,10,3.9,1.8,,
2019,1,6,8,30,97,4.5,3.4,,
2019,1,6,9,30,195,4.7,5.3,,
2019,1,6,10,30,283,5,7.1,,
2019,1,6,11,30,366,4.9,8.3,,
2019,1,6,12,30,322,4.4,8.8,,
2019,1,6,13,30,210,4.1,9.2,,
2019,1,6,14,30,106,4,9,,
2019,1,6,15,30,54,4.2,8.2,,
2019,1,6,16,30,12,4.9,7.6,,
2019,1,6,17,30,0,5.2,7.5,,
2019,1,6,18,30,0,5.1,7.2,,
2019,1,6,19,30,0,5.3,7.5,,
2019,1,6,20,30,0,5.6,7.7,,
2019,1,6,21,30,0,5.7,7.6,,
2019,1,6,22,30,0,5.9,7.3,,
2019,1,6,23,30,0,6.2,7.3,,
2019,1,7,0,30,0,6.6,7.7,,
2019,1,7,1,30,0,6.7,7.9,,
2019,1,7,2,30,0,6.7,7.8,,
2019,1,7,3,30,0,6.7,7.7,,
2019,1,7,4,30,0,6.8,7.8,,
2019,1,7,5,30,0,6.9,7.9,,
2019,1,7,6,30,0,6.9,8.2,,
2019,1,7,7,30,3,6.9,8.7,,
2019,1,7,8,30,8,7,9.6,,
2019,1,7,9,30,22,7.2,10.7,,
2019,1,7,10,30,102,7.7,12.3,,
2019,1,7,11,30,84,8,14,,
2019,1,7,12,30,174,8.3,15.2,,
2019,1,7,13,30,189,8.4,15.9,,
2019,1,7,14,30,305,7.4,15.9,,
2019,1,7,15,30,178,5.2,14.2,,
2019,1,7,16,30,33,3.3,11.6,,
2019,1,7,17,30,0,2.8,10.5,,
2019,1,7,18,30,0,2.5,9.5,,
2019,1,7,19,30,0,2.2,9.1,,
2019,1,7,20,30,0,1.7,8.4,,
2019,1,7,21,30,0,1.5,7.7,,
2019,1,7,22,30,0,1.5,6.9,,
2019,1,7,23,30,0,1.7,5.8,,
2019,1,8,0,30,0,1.9,5,,
2019,1,8,1,30,0,2,4.4,,
2019,1,8,2,30,0,2.1,4,,
2019,1,8,3,30,0,2.6,4.3,,
2019,1,8,4,30,0,3.6,4.7,,
2019,1,8,5,30,0,4.8,4.9,,
2019,1,8,6,30,0,5.7,4.8,,
2019,1,8,7,30,12,6.8,5.1,,
2019,1,8,8,30,152,8.1,6,,
2019,1,8,9,30,305,9.1,7.1,,
2019,1,8,10,30,419,9.6,8,,
2019,1,8,11,30,487,9.5,8.5,,
2019,1,8,12,30,498,9.3,8.7,,
2019,1,8,13,30,447,8.9,8.6,,
2019,1,8,14,30,338,8.3,8,,
2019,1,8,15,30,190,7.3,6.8,,
2019,1,8,16,30,37,7,5.6,,
2019,1,8,17,30,0,7.1,5.1,,
2019,1,8,18,30,0,7.7,4.3,,
2019,1,8,19,30,0,7.8,3.7,,
2019,1,8,20,30,0,7.8,2.8,,
2019,1,8,21,30,0,7.7,1.7,,
2019,1,8,22,30,0,7.4,0.3,,
2019,1,8,23,30,0,7,-1,,
2019,1,9,0,30,0,6.6,-2.1,,
2019,1,9,1,30,0,6.5,-3,,
2019,1,9,2,30,0,6.6,-3.7,,
2019,1,9,3,30,0,6.6,-4.2,,
2019,1,9,4,30,0,6.5,-4.5,,
2019,1,9,5,30,0,6.5,-4.8,,
2019,1,9,6,30,0,6.6,-5,,
2019,1,9,7,30,16,7.1,-4.9,,
2019,1,9,8,30,156,7.5,-4.4,,
2019,1,9,9,30,319,7.6,-3.8,,
2019,1,9,10,30,433,7.5,-3.1,,
2019,1,9,11,30,497,7.4,-2.5,,
2019,1,9,12,30,504,7.3,-2,,
2019,1,9,13,30,450,7.1,-1.9,,
2019,1,9,14,30,342,6.7,-2.2,,
2019,1,9,15,30,192,5.7,-3.2,,
2019,1,9,16,30,39,4.2,-4.3,,
2019,1,9,17,30,0,3.5,-4.9,,
2019,1,9,18,30,0,3.4,-5.3,,
2019,1,9,19,30,0,3.3,-5.5,,
2019,1,9,20,30,0,3.2,-5.7,,
2019,1,9,21,30,0,3.1,-5.8,,
2019,1,9,22,30,0,3.1,-5.9,,
2019,1,9,23,30,0,3.1,-6,,
2019,1,10,0,30,0,3,-6.1,,
2019,1,10,1,30,0,3.1,-6,,
2019,1,10,2,30,0,3.1,-5.9,,
2019,1,10,3,30,0,3.1,-6,,
2019,1,10,4,30,0,2.9,-6,,
2019,1,10,5,30,0,2.8,-6,,
2019,1,10,6,30,0,2.6,-6,,
2019,1,10,7,30,9,2.5,-5.7,,
2019,1,10,8,30,101,2.1,-4.9,,
2019,1,10,9,30,199,1.6,-3.8,,
2019,1,10,10,30,426,1.1,-2.8,,
2019,1,10,11,30,490,0.8,-1.9,,
2019,1,10,12,30,498,0.6,-1.2,,
2019,1,10,13,30,447,0.4,-0.9,,
2019,1,10,14,30,340,0.5,-1.1,,
2019,1,10,15,30,186,0.6,-1.9,,
2019,1,10,16,30,41,0.7,-3,,
2019,1,10,17,30,0,0.8,-3.5,,
2019,1,10,18,30,0,1.1,-3.9,,
2019,1,10,19,30,0,1.5,-3.8,,
2019,1,10,20,30,0,1.9,-3.8,,
2019,1,10,21,30,0,2.2,-3.9,,
2019,1,10,22,30,0,2.3,-4.1,,
2019,1,10,23,30,0,2.5,-4.3,,
2019,1,11,0,30,0,2.7,-4.3,,
2019,1,11,1,30,0,2.8,-4.3,,
2019,1,11,2,30,0,2.7,-4.3,,
2019,1,11,3,30,0,2.5,-4.4,,
2019,1,11,4,30,0,2.5,-4.4,,
2019,1,11,5,30,0,2.6,-4.5,,
2019,1,11,6,30,0,2.8,-4.4,,
2019,1,11,7,30,8,3.4,-3.6,,
2019,1,11,8,30,56,4.1,-2.2,,
2019,1,11,9,30,116,4.3,-1.2,,
2019,1,11,10,30,119,4.2,-0.6,,
2019,1,11,11,30,151,4,-0.3,,
2019,1,11,12,30,69,3.9,-0.1,,
2019,1,11,13,30,115,3.7,0,,
2019,1,11,14,30,39,3.2,-0.2,,
2019,1,11,15,30,36,2.6,-0.6,,
2019,1,11,16,30,11,2.4,-1,,
2019,1,11,17,30,0,2.5,-1.2,,
2019,1,11,18,30,0,3,-1.4,,
2019,1,11,19,30,0,3.1,-1.5,,
2019,1,11,20,30,0,3.1,-1.7,,
2019,1,11,21,30,0,3.1,-1.8,,
2019,1,11,22,30,0,3.1,-2,,
2019,1,11,23,30,0,3,-2.1,,
2019,1,12,0,30,0,3,-2.1,,
2019,1,12,1,30,0,3.1,-2.2,,
2019,1,12,2,30,0,3.1,-2.2,,
2019,1,12,3,30,0,3.3,-2.2,,
2019,1,12,4,30,0,3.6,-2.1,,
2019,1,12,5,30,0,3.9,-2.1,,
2019,1,12,6,30,0,4.3,-2.1,,
2019,1,12,7,30,4,4.7,-2,,
2019,1,12,8,30,16,5.1,-1.6,,
2019,1,12,9,30,49,5.4,-1,,
2019,1,12,10,30,51,5.6,-0.5,,
2019,1,12,11,30,83,5.5,-0.1,,
2019,1,12,12,30,100,5.3,0.2,,
2019,1,12,13,30,71,5.2,0.3,,
2019,1,12,14,30,40,5.3,0.3,,
2019,1,12,15,30,78,5.6,0.1,,
2019,1,12,16,30,16,5.7,-0.2,,
2019,1,12,17,30,0,5.7,-0.3,,
2019,1,12,18,30,0,5.6,-0.8,,
2019,1,12,19,30,0,5.4,-1,,
2019,1,12,20,30,0,5.3,-1.2,,
2019,1,12,21,30,0,5.3,-1.5,,
2019,1,12,22,30,0,5.3,-1.7,,
2019,1,12,23,30,0,5.5,-2,,
2019,1,13,0,30,0,5.6,-2.2,,
2019,1,13,1,30,0,5.7,-2.4,,
2019,1,13,2,30,0,5.5,-2.6,,
2019,1,13,3,30,0,5.2,-2.8,,
2019,1,13,4,30,0,4.8,-2.8,,
2019,1,13,5,30,0,4.6,-2.9,,
2019,1,13,6,30,0,4.5,-3,,
2019,1,13,7,30,9,4.5,-2.9,,
2019,1,13,8,30,83,4.8,-2.6,,
2019,1,13,9,30,263,5.1,-2.1,,
2019,1,13,10,30,317,5.2,-1.5,,
2019,1,13,11,30,309,4.8,-0.9,,
2019,1,13,12,30,396,4.4,-0.5,,
2019,1,13,13,30,422,3.9,-0.3,,
2019,1,13,14,30,277,3.4,-0.3,,
2019,1,13,15,30,117,2.6,-0.9,,
2019,1,13,16,30,24,1.9,-2.2,,
2019,1,13,17,30,0,1.7,-2.9,,
2019,1,13,18,30,0,1.7,-4.3,,
2019,1,13,19,30,0,1.7,-5.1,,
2019,1,13,20,30,0,1.7,-6.1,,
2019,1,13,21,30,0,1.6,-7,,
2019,1,13,22,30,0,1.6,-7.8,,
2019,1,13,23,30,0,1.5,-8.4,,
2019,1,14,0,30,0,1.5,-8.8,,
2019,1,14,1,30,0,1.4,-9,,
2019,1,14,2,30,0,1.4,-9.1,,
2019,1,14,3,30,0,1.4,-9.4,,
2019,1,14,4,30,0,1.4,-9.6,,
2019,1,14,5,30,0,1.3,-9.6,,
2019,1,14,6,30,0,1.2,-9.6,,
2019,1,14,7,30,14,1.1,-8.8,,
2019,1,14,8,30,137,1.2,-6.8,,
2019,1,14,9,30,288,1.6,-4.6,,
2019,1,14,10,30,429,2,-2.7,,
2019,1,14,11,30,436,2.4,-1.6,,
2019,1,14,12,30,313,2.6,-1.2,,
2019,1,14,13,30,246,2.7,-1.1,,
2019,1,14,14,30,170,2.4,-1.2,,
2019,1,14,15,30,94,1.7,-2,,
2019,1,14,16,30,20,1.3,-3.2,,
2019,1,14,17,30,0,1.3,-3.9,,
2019,1,14,18,30,0,1.4,-4.6,,
2019,1,14,19,30,0,1.4,-4.8,,
2019,1,14,20,30,0,1.5,-5,,
2019,1,14,21,30,0,1.5,-5.2,,
2019,1,14,22,30,0,1.7,-5.4,,
2019,1,14,23,30,0,1.7,-5.6,,
2019,1,15,0,30,0,1.6,-6,,
2019,1,15,1,30,0,1.5,-6.4,,
2019,1,15,2,30,0,1.5,-6.5,,
2019,1,15,3,30,0,1.5,-6.4,,
2019,1,15,4,30,0,1.3,-6.2,,
2019,1,15,5,30,0,1.2,-6.2,,
2019,1,15,6,30,0,1.4,-6.3,,
2019,1,15,7,30,6,1.9,-5.5,,
2019,1,15,8,30,49,2.9,-3.6,,
2019,1,15,9,30,121,3.7,-2.2,,
2019,1,15,10,30,205,4,-1.6,,
2019,1,15,11,30,229,4.1,-1.2,,
2019,1,15,12,30,205,4.2,-0.9,,
2019,1,15,13,30,214,4.2,-0.7,,
2019,1,15,14,30,159,3.8,-0.7,,
2019,1,15,15,30,81,3.1,-1,,
2019,1,15,16,30,18,2.5,-1.8,,
2019,1,15,17,30,0,2.3,-2.4,,
2019,1,15,18,30,0,2.8,-2.6,,
2019,1,15,19,30,0,3.1,-2.3,,
2019,1,15,20,30,0,3.1,-2,,
2019,1,15,21,30,0,3,-1.6,,
2019,1,15,22,30,0,2.6,-1.4,,
2019,1,15,23,30,0,2.4,-1.3,,
2019,1,16,0,30,0,2.3,-1.4,,
2019,1,16,1,30,0,2,-1.6,,
2019,1,16,2,30,0,1.7,-2,,
2019,1,16,3,30,0,1.5,-2.5,,
2019,1,16,4,30,0,1.4,-3,,
2019,1,16,5,30,0,1.3,-3.4,,
2019,1,16,6,30,0,1.2,-3.4,,
2019,1,16,7,30,7,1.1,-2.6,,
2019,1,16,8,30,70,0.9,-0.9,,
2019,1,16,9,30,145,0.7,0.2,,
2019,1,16,10,30,200,0.7,0.5,,
2019,1,16,11,30,137,0.8,0.6,,
2019,1,16,12,30,268,0.9,0.7,,
2019,1,16,13,30,143,0.9,0.7,,
2019,1,16,14,30,141,0.8,0.6,,
2019,1,16,15,30,65,0.7,0.2,,
2019,1,16,16,30,20,0.8,-0.5,,
2019,1,16,17,30,0,0.9,-0.9,,
2019,1,16,18,30,0,1.3,-1.5,,
2019,1,16,19,30,0,1.6,-1.7,,
2019,1,16,20,30,0,1.9,-1.8,,
2019,1,16,21,30,0,2,-1.9,,
2019,1,16,22,30,0,1.9,-1.8,,
2019,1,16,23,30,0,1.8,-1.6,,
2019,1,17,0,30,0,1.5,-1.3,,
2019,1,17,1,30,0,1.2,-1.2,,
2019,1,17,2,30,0,1,-1,,
2019,1,17,3,30,0,1.1,-0.9,,
2019,1,17,4,30,0,1.2,-0.8,,
2019,1,17,5,30,0,1.3,-0.6,,
2019,1,17,6,30,0,1.2,-0.5,,
2019,1,17,7,30,11,1.1,-0.3,,
2019,1,17,8,30,103,1.1,0.3,,
2019,1,17,9,30,197,1,0.7,,
2019,1,17,10,30,384,1,1,,
2019,1,17,11,30,478,1.3,1.3,,
2019,1,17,12,30,325,1.8,1.5,,
2019,1,17,13,30,293,2.2,1.5,,
2019,1,17,14,30,184,2.3,1.4,,
2019,1,17,15,30,94,2,0.4,,
2019,1,17,16,30,21,1.8,-1.2,,
2019,1,17,17,30,0,1.9,-2,,
2019,1,17,18,30,0,2.1,-2.4,,
2019,1,17,19,30,0,2,-2.9,,
2019,1,17,20,30,0,2,-3.3,,
2019,1,17,21,30,0,2.1,-3.6,,
2019,1,17,22,30,0,2.1,-3.9,,
2019,1,17,23,30,0,2.1,-4.1,,
2019,1,18,0,30,0,2,-4.4,,
2019,1,18,1,30,0,1.8,-5,,
2019,1,18,2,30,0,1.6,-5.4,,
2019,1,18,3,30,0,1.4,-5.6,,
2019,1,18,4,30,0,1.3,-5.6,,
2019,1,18,5,30,0,1.2,-5.5,,
2019,1,18,6,30,0,1.1,-5.2,,
2019,1,18,7,30,12,1.3,-4.4,,
2019,1,18,8,30,96,1.7,-2.3,,
2019,1,18,9,30,59,1.9,-0.1,,
2019,1,18,10,30,74,1.9,0.8,,
2019,1,18,11,30,285,2.1,1.1,,
2019,1,18,12,30,165,2.4,1.2,,
2019,1,18,13,30,280,2.7,1.2,,
2019,1,18,14,30,223,2.9,1,,
2019,1,18,15,30,124,3.1,0.6,,
2019,1,18,16,30,34,3.5,0.2,,
2019,1,18,17,30,0,3.8,0.1,,
2019,1,18,18,30,0,3.7,-0.1,,
2019,1,18,19,30,0,3.6,-0.2,,
2019,1,18,20,30,0,3.7,-0.2,,
2019,1,18,21,30,0,4,-0.1,,
2019,1,18,22,30,0,4.4,-0.1,,
2019,1,18,23,30,0,4.5,-0.2,,
2019,1,19,0,30,0,4.6,-0.3,,
2019,1,19,1,30,0,4.9,-0.4,,
2019,1,19,2,30,0,5.1,-0.5,,
2019,1,19,3,30,0,5.3,-0.7,,
2019,1,19,4,30,0,5.6,-0.8,,
2019,1,19,5,30,0,6,-1,,
2019,1,19,6,30,0,6.6,-1.4,,
2019,1,19,7,30,8,7.5,-1.8,,
2019,1,19,8,30,34,8.3,-2,,
2019,1,19,9,30,87,8.4,-2,,
2019,1,19,10,30,162,8.8,-1.9,,
2019,1,19,11,30,129,9,-1.7,,
2019,1,19,12,30,143,8.6,-1.7,,
2019,1,19,13,30,164,8.6,-1.9,,
2019,1,19,14,30,101,8.8,-2.4,,
2019,1,19,15,30,70,8.6,-3.2,,
2019,1,19,16,30,23,8.1,-4.3,,
2019,1,19,17,30,0,7.9,-4.8,,
2019,1,19,18,30,0,7.6,-6.2,,
2019,1,19,19,30,0,7.4,-7.1,,
2019,1,19,20,30,0,7.1,-8.2,,
2019,1,19,21,30,0,6.7,-9.4,,
2019,1,19,22,30,0,6.1,-10.7,,
2019,1,19,23,30,0,5.5,-12,,
2019,1,20,0,30,0,5.3,-13,,
2019,1,20,1,30,0,5,-14.1,,
2019,1,20,2,30,0,4.4,-15.2,,
2019,1,20,3,30,0,3.8,-16.3,,
2019,1,20,4,30,0,3.3,-17.4,,
2019,1,20,5,30,0,2.9,-18,,
2019,1,20,6,30,0,2.6,-18.2,,
2019,1,20,7,30,19,2.8,-16.9,,
2019,1,20,8,30,131,3.5,-14.1,,
2019,1,20,9,30,295,3.9,-11.7,,
2019,1,20,10,30,386,3.7,-10.4,,
2019,1,20,11,30,460,3.6,-9.6,,
2019,1,20,12,30,452,3.6,-9.4,,
2019,1,20,13,30,359,3.6,-9.5,,
2019,1,20,14,30,296,3.4,-9.7,,
2019,1,20,15,30,111,3,-10.3,,
2019,1,20,16,30,29,2.4,-11.5,,
2019,1,20,17,30,0,2.2,-12.3,,
2019,1,20,18,30,0,2.1,-15.1,,
2019,1,20,19,30,0,2.1,-17,,
2019,1,20,20,30,0,2.2,-18.5,,
2019,1,20,21,30,0,2.2,-19.6,,
2019,1,20,22,30,0,2.2,-20.3,,
2019,1,20,23,30,0,2.2,-20.6,,
2019,1,21,0,30,0,2.1,-20.7,,
2019,1,21,1,30,0,2,-20.5,,
2019,1,21,2,30,0,1.9,-20.1,,
2019,1,21,3,30,0,1.8,-19.2,,
2019,1,21,4,30,0,1.7,-17.9,,
2019,1,21,5,30,0,1.8,-16.6,,
2019,1,21,6,30,0,2.3,-15.3,,
2019,1,21,7,30,15,3.3,-13.8,,
2019,1,21,8,30,105,4.5,-12,,
2019,1,21,9,30,284,5.2,-10.1,,
2019,1,21,10,30,378,5.8,-8.5,,
2019,1,21,11,30,402,6.2,-7.3,,
2019,1,21,12,30,455,6.4,-6.7,,
2019,1,21,13,30,184,6.4,-6.4,,
2019,1,21,14,30,301,6.2,-6.4,,
2019,1,21,15,30,66,5.9,-6.7,,
2019,1,21,16,30,24,6,-7,,
2019,1,21,17,30,0,6.1,-7.2,,
2019,1,21,18,30,0,6.7,-7.2,,
2019,1,21,19,30,0,7,-7.2,,
2019,1,21,20,30,0,7.2,-7.1,,
2019,1,21,21,30,0,7.1,-7,,
2019,1,21,22,30,0,6.7,-7,,
2019,1,21,23,30,0,6.3,-7.2,,
2019,1,22,0,30,0,6,-7.5,,
2019,1,22,1,30,0,5.9,-7.7,,
2019,1,22,2,30,0,6,-7.6,,
2019,1,22,3,30,0,6,-7.3,,
