Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2016,1,1,0,30,0,3,-2,39.77,-86.18
2016,1,1,1,30,0,2.9,-3,,
2016,1,1,2,30,0,3,-3,,
2016,1,1,3,30,0,3.3,-3,,
2016,1,1,4,30,0,3.8,-4,,
2016,1,1,5,30,0,4.1,-3,,
2016,1,1,6,30,0,4,-3,,
2016,1,1,7,30,0,4,-3,,
2016,1,1,8,30,37,4.7,-2,,
2016,1,1,9,30,189,5.9,-1,,
2016,1,1,10,30,48,6.3,0,,
2016,1,1,11,30,62,6.1,0,,
2016,1,1,12,30,169,6,0,,
2016,1,1,13,30,129,5.7,0,,
2016,1,1,14,30,123,5.4,0,,
2016,1,1,15,30,85,4.9,0,,
2016,1,1,16,30,122,3.8,-1,,
2016,1,1,17,30,0,3,-2,,
2016,1,1,18,30,0,3,-3,,
2016,1,1,19,30,0,3.1,-3,,
2016,1,1,20,30,0,3.2,-3,,
2016,1,1,21,30,0,3.5,-3,,
2016,1,1,22,30,0,3.9,-3,,
2016,1,1,23,30,0,4.1,-3,,
2016,1,2,0,30,0,4.4,-3,,
2016,1,2,1,30,0,4.5,-3,,
2016,1,2,2,30,0,4.4,-3,,
2016,1,2,3,30,0,4.1,-3,,
2016,1,2,4,30,0,3.9,-3,,
2016,1,2,5,30,0,3.7,-3,,
2016,1,2,6,30,0,3.5,-3,,
2016,1,2,7,30,0,3.6,-3,,
2016,1,2,8,30,36,4,-2,,
2016,1,2,9,30,188,4.4,0,,
2016,1,2,10,30,334,4.2,0,,
2016,1,2,11,30,436,4.1,1,,
2016,1,2,12,30,483,4.3,2,,
2016,1,2,13,30,471,4.6,2,,
2016,1,2,14,30,401,4.7,3,,
2016,1,2,15,30,282,4.1,2,,
2016,1,2,16,30,129,3.1,1,,
2016,1,2,17,30,0,2.9,0,,
2016,1,2,18,30,0,3.3,-1,,
2016,1,2,19,30,0,3.6,-1,,
2016,1,2,20,30,0,3.8,-1,,
2016,1,2,21,30,0,4,-1,,
2016,1,2,22,30,0,4.1,-1,,
2016,1,2,23,30,0,4.2,-1,,
2016,1,3,0,30,0,4.1,-1,,
2016,1,3,1,30,0,4,-1,,
2016,1,3,2,30,0,3.8,-2,,
2016,1,3,3,30,0,3.6,-2,,
2016,1,3,4,30,0,3.5,-2,,
2016,1,3,5,30,0,3.5,-2,,
2016,1,3,6,30,0,3.5,-3,,
2016,1,3,7,30,0,3.4,-3,,
2016,1,3,8,30,36,3.4,-2,,
2016,1,3,9,30,188,3.6,-1,,
2016,1,3,10,30,144,3.7,0,,
2016,1,3,11,30,300,3.8,0,,
2016,1,3,12,30,333,4,0,,
2016,1,3,13,30,228,4.1,1,,
2016,1,3,14,30,154,4.3,1,,
2016,1,3,15,30,108,3.9,0,,
2016,1,3,16,30,49,3.3,0,,
2016,1,3,17,30,0,3.6,0,,
2016,1,3,18,30,0,4.3,-1,,
2016,1,3,19,30,0,4.5,-1,,
2016,1,3,20,30,0,4.4,-1,,
2016,1,3,21,30,0,4.1,-2,,
2016,1,3,22,30,0,3.9,-2,,
2016,1,3,23,30,0,3.8,-2,,
2016,1,4,0,30,0,3.9,-3,,
2016,1,4,1,30,0,4,-3,,
2016,1,4,2,30,0,4,-3,,
2016,1,4,3,30,0,4,-3,,
2016,1,4,4,30,0,4.1,-3,,
2016,1,4,5,30,0,4.2,-3,,
2016,1,4,6,30,0,4.5,-3,,
2016,1,4,7,30,0,4.6,-3,,
2016,1,4,8,30,35,4.6,-3,,
2016,1,4,9,30,187,4.8,-2,,
2016,1,4,10,30,335,5,0,,
2016,1,4,11,30,440,4.8,0,,
2016,1,4,12,30,348,4.4,0,,
2016,1,4,13,30,338,4,0,,
2016,1,4,14,30,100,3.7,0,,
2016,1,4,15,30,70,3.1,0,,
2016,1,4,16,30,32,2.5,0,,
2016,1,4,17,30,0,2.3,-1,,
2016,1,4,18,30,0,2.7,-2,,
2016,1,4,19,30,0,2.9,-2,,
2016,1,4,20,30,0,2.9,-3,,
2016,1,4,21,30,0,2.8,-4,,
2016,1,4,22,30,0,2.6,-4,,
2016,1,4,23,30,0,2.4,-5,,
2016,1,5,0,30,0,2.3,-6,,
2016,1,5,1,30,0,2.3,-6,,
2016,1,5,2,30,0,2.3,-6,,
2016,1,5,3,30,0,2.4,-7,,
2016,1,5,4,30,0,2.3,-7,,
2016,1,5,5,30,0,2.2,-7,,
2016,1,5,6,30,0,2.1,-8,,
2016,1,5,7,30,0,2.2,-8,,
2016,1,5,8,30,39,2.8,-6,,
2016,1,5,9,30,197,3.3,-4,,
2016,1,5,10,30,339,3.2,-3,,
2016,1,5,11,30,445,2.9,-1,,
2016,1,5,12,30,497,2.7,0,,
2016,1,5,13,30,488,2.7,0,,
2016,1,5,14,30,419,2.6,0,,
2016,1,5,15,30,298,2.2,0,,
2016,1,5,16,30,140,1.5,-1,,
2016,1,5,17,30,0,1.2,-2,,
2016,1,5,18,30,0,1.5,-3,,
2016,1,5,19,30,0,1.8,-4,,
2016,1,5,20,30,0,2.1,-4,,
2016,1,5,21,30,0,2.2,-4,,
2016,1,5,22,30,0,2.3,-5,,
2016,1,5,23,30,0,2.3,-5,,
2016,1,6,0,30,0,2.2,-6,,
2016,1,6,1,30,0,2.1,-6,,
2016,1,6,2,30,0,2,-7,,
2016,1,6,3,30,0,1.9,-6,,
2016,1,6,4,30,0,1.9,-6,,
2016,1,6,5,30,0,1.9,-6,,
2016,1,6,6,30,0,1.9,-6,,
2016,1,6,7,30,0,2,-5,,
2016,1,6,8,30,30,2.7,-4,,
2016,1,6,9,30,152,3.3,-2,,
2016,1,6,10,30,267,3.3,0,,
2016,1,6,11,30,386,3.8,1,,
2016,1,6,12,30,376,4.1,3,,
2016,1,6,13,30,402,3.8,4,,
2016,1,6,14,30,298,3.2,3,,
2016,1,6,15,30,212,2.2,2,,
2016,1,6,16,30,101,1.6,0,,
2016,1,6,17,30,0,1.7,0,,
2016,1,6,18,30,0,1.9,0,,
2016,1,6,19,30,0,2,0,,
2016,1,6,20,30,0,2,0,,
2016,1,6,21,30,0,1.9,0,,
2016,1,6,22,30,0,1.9,0,,
2016,1,6,23,30,0,2,0,,
2016,1,7,0,30,0,2,0,,
2016,1,7,1,30,0,1.9,-1,,
2016,1,7,2,30,0,1.8,-1,,
2016,1,7,3,30,0,1.7,-1,,
2016,1,7,4,30,0,1.7,-2,,
2016,1,7,5,30,0,1.6,-2,,
2016,1,7,6,30,0,1.6,-3,,
2016,1,7,7,30,0,1.8,-3,,
2016,1,7,8,30,36,2.7,-2,,
2016,1,7,9,30,184,3.2,0,,
2016,1,7,10,30,325,2.9,2,,
2016,1,7,11,30,426,2.9,4,,
2016,1,7,12,30,474,3.1,6,,
2016,1,7,13,30,463,3.1,7,,
2016,1,7,14,30,395,2.5,6,,
2016,1,7,15,30,279,1.7,5,,
2016,1,7,16,30,133,1.5,2,,
2016,1,7,17,30,0,1.7,1,,
2016,1,7,18,30,0,2,1,,
2016,1,7,19,30,0,2.3,1,,
2016,1,7,20,30,0,2.6,1,,
2016,1,7,21,30,0,2.8,1,,
2016,1,7,22,30,0,3,2,,
2016,1,7,23,30,0,3,2,,
2016,1,8,0,30,0,3.1,2,,
2016,1,8,1,30,0,3,2,,
2016,1,8,2,30,0,3,2,,
2016,1,8,3,30,0,3,2,,
2016,1,8,4,30,0,3,2,,
2016,1,8,5,30,0,3.1,2,,
2016,1,8,6,30,0,3.3,2,,
2016,1,8,7,30,0,3.5,2,,
2016,1,8,8,30,3,3.8,2,,
2016,1,8,9,30,17,4.1,2,,
2016,1,8,10,30,31,4,4,,
2016,1,8,11,30,44,3.7,5,,
2016,1,8,12,30,59,3.3,5,,
2016,1,8,13,30,56,3,6,,
