Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2013,1,1,0,30,0,3.9,-2,37.65,-97.3
2013,1,1,1,30,0,3.9,-3,,
2013,1,1,2,30,0,3.9,-3,,
2013,1,1,3,30,0,3.9,-3,,
2013,1,1,4,30,0,3.9,-3,,
2013,1,1,5,30,0,3.7,-3,,
2013,1,1,6,30,0,3.6,-3,,
2013,1,1,7,30,0,3.6,-3,,
2013,1,1,8,30,13,3.7,-3,,
2013,1,1,9,30,47,3.7,-3,,
2013,1,1,10,30,92,3.6,-2,,
2013,1,1,11,30,252,3.4,-2,,
2013,1,1,12,30,317,3.2,-1,,
2013,1,1,13,30,499,3,-1,,
2013,1,1,14,30,414,2.7,-1,,
2013,1,1,15,30,278,2.3,-1,,
2013,1,1,16,30,111,1.5,-3,,
2013,1,1,17,30,0,0.8,-4,,
2013,1,1,18,30,0,0.8,-4,,
2013,1,1,19,30,0,0.7,-5,,
2013,1,1,20,30,0,0.7,-6,,
2013,1,1,21,30,0,0.9,-6,,
2013,1,1,22,30,0,1.1,-7,,
2013,1,1,23,30,0,1.2,-7,,
2013,1,2,0,30,0,1.3,-8,,
2013,1,2,1,30,0,1.4,-8,,
2013,1,2,2,30,0,1.5,-8,,
2013,1,2,3,30,0,1.8,-7,,
2013,1,2,4,30,0,2.3,-7,,
2013,1,2,5,30,0,2.6,-7,,
2013,1,2,6,30,0,2.7,-7,,
2013,1,2,7,30,0,3.2,-6,,
2013,1,2,8,30,95,3.6,-5,,
2013,1,2,9,30,266,3.7,-3,,
2013,1,2,10,30,412,3.6,-1,,
2013,1,2,11,30,509,3.6,1,,
2013,1,2,12,30,540,3.7,2,,
2013,1,2,13,30,510,3.9,3,,
2013,1,2,14,30,419,4.1,3,,
2013,1,2,15,30,277,3.3,2,,
2013,1,2,16,30,110,2.2,0,,
2013,1,2,17,30,0,1.8,-1,,
2013,1,2,18,30,0,1.7,-2,,
2013,1,2,19,30,0,1.6,-2,,
2013,1,2,20,30,0,1.4,-3,,
2013,1,2,21,30,0,1.3,-3,,
2013,1,2,22,30,0,1.3,-3,,
2013,1,2,23,30,0,1.3,-3,,
2013,1,3,0,30,0,1.3,-4,,
2013,1,3,1,30,0,1.4,-4,,
2013,1,3,2,30,0,1.6,-4,,
2013,1,3,3,30,0,1.8,-5,,
2013,1,3,4,30,0,2.1,-5,,
2013,1,3,5,30,0,2.5,-6,,
2013,1,3,6,30,0,2.8,-6,,
2013,1,3,7,30,0,3.2,-6,,
2013,1,3,8,30,97,3.6,-4,,
2013,1,3,9,30,212,3.8,-1,,
2013,1,3,10,30,328,3.9,0,,
2013,1,3,11,30,335,3.7,1,,
2013,1,3,12,30,359,3.6,2,,
2013,1,3,13,30,334,3.5,2,,
2013,1,3,14,30,431,3.3,1,,
2013,1,3,15,30,286,2.5,0,,
2013,1,3,16,30,116,1.4,-1,,
2013,1,3,17,30,0,1,-2,,
2013,1,3,18,30,0,0.9,-2,,
2013,1,3,19,30,0,0.8,-2,,
2013,1,3,20,30,0,0.6,-2,,
2013,1,3,21,30,0,0.5,-2,,
2013,1,3,22,30,0,0.7,-3,,
2013,1,3,23,30,0,1,-4,,
2013,1,4,0,30,0,1.1,-5,,
2013,1,4,1,30,0,1.2,-6,,
2013,1,4,2,30,0,1.4,-6,,
2013,1,4,3,30,0,1.5,-7,,
2013,1,4,4,30,0,1.6,-7,,
2013,1,4,5,30,0,1.8,-7,,
2013,1,4,6,30,0,2,-7,,
2013,1,4,7,30,0,2.7,-6,,
2013,1,4,8,30,97,3.4,-4,,
2013,1,4,9,30,267,3.5,-1,,
2013,1,4,10,30,411,3.8,1,,
2013,1,4,11,30,506,4.3,3,,
2013,1,4,12,30,538,4.6,5,,
2013,1,4,13,30,509,4.8,6,,
2013,1,4,14,30,420,4.1,6,,
2013,1,4,15,30,282,2.7,4,,
2013,1,4,16,30,117,2,1,,
2013,1,4,17,30,0,2.8,0,,
2013,1,4,18,30,0,3.6,0,,
2013,1,4,19,30,0,3.7,0,,
2013,1,4,20,30,0,3.5,0,,
2013,1,4,21,30,0,3.5,-1,,
2013,1,4,22,30,0,3.5,0,,
2013,1,4,23,30,0,3.3,0,,
2013,1,5,0,30,0,3.1,0,,
2013,1,5,1,30,0,3.1,-1,,
2013,1,5,2,30,0,3,-1,,
2013,1,5,3,30,0,3.1,-1,,
2013,1,5,4,30,0,3.4,0,,
2013,1,5,5,30,0,3.5,0,,
2013,1,5,6,30,0,3.5,-1,,
2013,1,5,7,30,0,3.6,0,,
2013,1,5,8,30,87,3.8,0,,
2013,1,5,9,30,248,4.3,2,,
2013,1,5,10,30,388,4.8,4,,
2013,1,5,11,30,482,4.7,5,,
2013,1,5,12,30,520,4.4,6,,
2013,1,5,13,30,500,4,6,,
2013,1,5,14,30,418,3.3,6,,
2013,1,5,15,30,284,2.1,4,,
2013,1,5,16,30,119,1.5,1,,
2013,1,5,17,30,0,1.7,0,,
2013,1,5,18,30,0,1.9,0,,
2013,1,5,19,30,0,2.1,0,,
2013,1,5,20,30,0,2.3,-1,,
2013,1,5,21,30,0,2.5,-1,,
2013,1,5,22,30,0,2.8,-1,,
2013,1,5,23,30,0,3,-1,,
2013,1,6,0,30,0,2.9,-1,,
2013,1,6,1,30,0,2.8,-2,,
2013,1,6,2,30,0,2.8,-2,,
2013,1,6,3,30,0,2.7,-2,,
2013,1,6,4,30,0,2.5,-2,,
2013,1,6,5,30,0,2.2,-3,,
2013,1,6,6,30,0,2,-3,,
2013,1,6,7,30,0,2.3,-2,,
2013,1,6,8,30,97,2.4,-1,,
2013,1,6,9,30,267,1.9,1,,
2013,1,6,10,30,411,1.8,3,,
2013,1,6,11,30,507,1.8,5,,
2013,1,6,12,30,543,1.6,6,,
2013,1,6,13,30,517,1.5,7,,
2013,1,6,14,30,432,1.2,6,,
2013,1,6,15,30,296,1,4,,
2013,1,6,16,30,128,1.3,1,,
2013,1,6,17,30,0,1.5,0,,
2013,1,6,18,30,0,1.6,0,,
2013,1,6,19,30,0,1.8,0,,
2013,1,6,20,30,0,2.2,0,,
2013,1,6,21,30,0,2.7,0,,
2013,1,6,22,30,0,3,0,,
2013,1,6,23,30,0,3.3,0,,
2013,1,7,0,30,0,3.5,-1,,
2013,1,7,1,30,0,3.6,-1,,
2013,1,7,2,30,0,3.7,-1,,
2013,1,7,3,30,0,3.7,-2,,
2013,1,7,4,30,0,3.6,-2,,
2013,1,7,5,30,0,3.6,-2,,
2013,1,7,6,30,0,3.7,-2,,
2013,1,7,7,30,0,4.1,-1,,
2013,1,7,8,30,52,4.5,0,,
2013,1,7,9,30,215,4.6,1,,
2013,1,7,10,30,204,5.2,3,,
2013,1,7,11,30,408,6.1,6,,
2013,1,7,12,30,506,6.1,7,,
2013,1,7,13,30,520,5.3,8,,
2013,1,7,14,30,383,4.3,7,,
2013,1,7,15,30,216,3.5,5,,
2013,1,7,16,30,68,3.3,3,,
2013,1,7,17,30,0,3.4,2,,
2013,1,7,18,30,0,3.6,1,,
2013,1,7,19,30,0,3.7,1,,
2013,1,7,20,30,0,3.7,0,,
2013,1,7,21,30,0,3.6,0,,
2013,1,7,22,30,0,3.5,0,,
2013,1,7,23,30,0,3.5,0,,
2013,1,8,0,30,0,3.5,0,,
2013,1,8,1,30,0,3.6,0,,
2013,1,8,2,30,0,3.6,0,,
2013,1,8,3,30,0,3.7,-1,,
2013,1,8,4,30,0,3.7,-1,,
2013,1,8,5,30,0,3.7,-1,,
2013,1,8,6,30,0,3.9,-1,,
2013,1,8,7,30,0,4.4,0,,
2013,1,8,8,30,90,4.5,0,,
2013,1,8,9,30,254,4.7,2,,
2013,1,8,10,30,311,5.4,5,,
2013,1,8,11,30,484,5.7,8,,
2013,1,8,12,30,519,5.5,10,,
2013,1,8,13,30,493,5,11,,
2013,1,8,14,30,411,3.6,10,,
2013,1,8,15,30,252,1.9,7,,
2013,1,8,16,30,107,1.4,4,,
2013,1,8,17,30,0,1.6,2,,
2013,1,8,18,30,0,1.5,1,,
2013,1,8,19,30,0,1.4,1,,
2013,1,8,20,30,0,1.4,1,,
2013,1,8,21,30,0,1.4,0,,
2013,1,8,22,30,0,1.4,0,,
2013,1,8,23,30,0,1.6,0,,
2013,1,9,0,30,0,2,0,,
2013,1,9,1,30,0,2.4,0,,
2013,1,9,2,30,0,2.9,0,,
2013,1,9,3,30,0,3.2,0,,
