Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2013,1,1,0,30,0,0.7,1,37.01,-86.46
2013,1,1,1,30,0,0.7,1,,
2013,1,1,2,30,0,0.5,2,,
2013,1,1,3,30,0,0.5,1,,
2013,1,1,4,30,0,0.6,1,,
2013,1,1,5,30,0,0.6,1,,
2013,1,1,6,30,0,0.6,1,,
2013,1,1,7,30,13,0.8,1,,
2013,1,1,8,30,49,1.1,1,,
2013,1,1,9,30,178,1.2,2,,
2013,1,1,10,30,159,1.4,2,,
2013,1,1,11,30,183,1.5,2,,
2013,1,1,12,30,103,1.5,1,,
2013,1,1,13,30,56,1.3,1,,
2013,1,1,14,30,105,1.2,1,,
2013,1,1,15,30,54,1,0,,
2013,1,1,16,30,0,1,0,,
2013,1,1,17,30,0,1.3,0,,
2013,1,1,18,30,0,1.5,0,,
2013,1,1,19,30,0,1.6,0,,
2013,1,1,20,30,0,1.7,0,,
2013,1,1,21,30,0,1.7,-1,,
2013,1,1,22,30,0,1.6,-2,,
2013,1,1,23,30,0,1.6,-2,,
2013,1,2,0,30,0,1.7,-3,,
2013,1,2,1,30,0,1.7,-4,,
2013,1,2,2,30,0,1.4,-5,,
2013,1,2,3,30,0,1.3,-6,,
2013,1,2,4,30,0,1.3,-6,,
2013,1,2,5,30,0,1.4,-7,,
2013,1,2,6,30,0,1.6,-6,,
2013,1,2,7,30,55,1.5,-5,,
2013,1,2,8,30,222,1.5,-2,,
2013,1,2,9,30,91,1.5,0,,
2013,1,2,10,30,320,1.2,0,,
2013,1,2,11,30,245,1.1,0,,
2013,1,2,12,30,380,1,0,,
2013,1,2,13,30,318,1.1,0,,
2013,1,2,14,30,145,1,0,,
2013,1,2,15,30,111,0.8,-1,,
2013,1,2,16,30,9,0.8,-2,,
2013,1,2,17,30,0,0.9,-2,,
2013,1,2,18,30,0,0.9,-3,,
2013,1,2,19,30,0,0.8,-3,,
2013,1,2,20,30,0,0.7,-3,,
2013,1,2,21,30,0,0.7,-3,,
2013,1,2,22,30,0,0.6,-3,,
2013,1,2,23,30,0,0.6,-3,,
2013,1,3,0,30,0,0.6,-3,,
2013,1,3,1,30,0,0.6,-3,,
2013,1,3,2,30,0,0.7,-3,,
2013,1,3,3,30,0,0.7,-4,,
2013,1,3,4,30,0,0.7,-4,,
2013,1,3,5,30,0,0.8,-4,,
2013,1,3,6,30,0,0.8,-4,,
2013,1,3,7,30,56,0.8,-3,,
2013,1,3,8,30,225,1,-1,,
2013,1,3,9,30,380,1.2,0,,
2013,1,3,10,30,489,1.4,1,,
2013,1,3,11,30,540,1.8,2,,
2013,1,3,12,30,529,2.1,3,,
2013,1,3,13,30,456,2.3,3,,
2013,1,3,14,30,330,1.9,2,,
2013,1,3,15,30,166,1.2,0,,
2013,1,3,16,30,15,1.1,-2,,
2013,1,3,17,30,0,1.1,-3,,
2013,1,3,18,30,0,1.1,-3,,
2013,1,3,19,30,0,1.1,-3,,
2013,1,3,20,30,0,1.1,-4,,
2013,1,3,21,30,0,1.1,-4,,
2013,1,3,22,30,0,1,-4,,
2013,1,3,23,30,0,1,-4,,
2013,1,4,0,30,0,0.9,-3,,
2013,1,4,1,30,0,0.9,-3,,
2013,1,4,2,30,0,0.9,-3,,
2013,1,4,3,30,0,0.8,-3,,
2013,1,4,4,30,0,0.7,-4,,
2013,1,4,5,30,0,0.7,-4,,
2013,1,4,6,30,0,0.9,-3,,
2013,1,4,7,30,23,1.3,-2,,
2013,1,4,8,30,214,1.7,0,,
2013,1,4,9,30,365,2.2,2,,
2013,1,4,10,30,476,2.5,3,,
2013,1,4,11,30,529,2.9,3,,
2013,1,4,12,30,527,3.1,4,,
2013,1,4,13,30,288,2.8,3,,
2013,1,4,14,30,186,1.9,2,,
2013,1,4,15,30,169,1.2,1,,
2013,1,4,16,30,16,1.1,0,,
2013,1,4,17,30,0,1.2,-1,,
2013,1,4,18,30,0,1.2,-1,,
2013,1,4,19,30,0,1.1,-1,,
2013,1,4,20,30,0,1.1,-1,,
2013,1,4,21,30,0,1.1,-1,,
2013,1,4,22,30,0,1.1,-2,,
2013,1,4,23,30,0,1,-2,,
2013,1,5,0,30,0,1,-2,,
2013,1,5,1,30,0,1,-2,,
2013,1,5,2,30,0,1,-2,,
2013,1,5,3,30,0,1,-3,,
2013,1,5,4,30,0,1,-3,,
2013,1,5,5,30,0,1,-3,,
2013,1,5,6,30,0,1.1,-2,,
2013,1,5,7,30,53,1.6,-1,,
2013,1,5,8,30,216,1.8,1,,
2013,1,5,9,30,366,1.7,3,,
2013,1,5,10,30,474,1.7,4,,
2013,1,5,11,30,526,1.8,5,,
2013,1,5,12,30,515,1.9,6,,
2013,1,5,13,30,268,1.8,6,,
2013,1,5,14,30,160,1.2,4,,
2013,1,5,15,30,84,0.9,2,,
2013,1,5,16,30,8,0.9,1,,
2013,1,5,17,30,0,0.9,1,,
2013,1,5,18,30,0,1,0,,
2013,1,5,19,30,0,1.2,0,,
2013,1,5,20,30,0,1.4,0,,
2013,1,5,21,30,0,1.5,0,,
2013,1,5,22,30,0,1.5,0,,
2013,1,5,23,30,0,1.5,0,,
2013,1,6,0,30,0,1.5,0,,
2013,1,6,1,30,0,1.4,0,,
2013,1,6,2,30,0,1.3,0,,
2013,1,6,3,30,0,1.5,0,,
2013,1,6,4,30,0,1.8,0,,
2013,1,6,5,30,0,2,0,,
2013,1,6,6,30,0,2.3,0,,
2013,1,6,7,30,48,2.7,0,,
2013,1,6,8,30,205,2.9,2,,
2013,1,6,9,30,355,3.1,4,,
2013,1,6,10,30,465,3.5,5,,
2013,1,6,11,30,370,3.9,6,,
2013,1,6,12,30,78,4.1,5,,
2013,1,6,13,30,116,4,4,,
2013,1,6,14,30,87,3.8,3,,
2013,1,6,15,30,76,3.2,2,,
2013,1,6,16,30,18,2.5,0,,
2013,1,6,17,30,0,1.8,-1,,
2013,1,6,18,30,0,1.3,-2,,
2013,1,6,19,30,0,1.1,-3,,
2013,1,6,20,30,0,1,-4,,
2013,1,6,21,30,0,0.9,-4,,
2013,1,6,22,30,0,0.9,-4,,
2013,1,6,23,30,0,0.8,-5,,
2013,1,7,0,30,0,0.8,-5,,
2013,1,7,1,30,0,0.8,-5,,
2013,1,7,2,30,0,0.8,-5,,
2013,1,7,3,30,0,0.8,-5,,
2013,1,7,4,30,0,0.9,-5,,
2013,1,7,5,30,0,1,-4,,
2013,1,7,6,30,0,1.4,-3,,
2013,1,7,7,30,56,2,-2,,
2013,1,7,8,30,227,2.3,0,,
2013,1,7,9,30,388,2.2,1,,
2013,1,7,10,30,501,1.9,3,,
2013,1,7,11,30,556,1.7,4,,
2013,1,7,12,30,547,1.6,5,,
2013,1,7,13,30,476,1.4,5,,
2013,1,7,14,30,351,1.1,4,,
2013,1,7,15,30,187,1,1,,
2013,1,7,16,30,23,1.2,0,,
2013,1,7,17,30,0,1.2,-1,,
2013,1,7,18,30,0,1.2,-1,,
2013,1,7,19,30,0,1.3,-1,,
2013,1,7,20,30,0,1.4,-1,,
2013,1,7,21,30,0,1.5,-1,,
2013,1,7,22,30,0,1.5,-1,,
2013,1,7,23,30,0,1.4,-1,,
2013,1,8,0,30,0,1.4,-1,,
2013,1,8,1,30,0,1.6,0,,
2013,1,8,2,30,0,1.7,0,,
2013,1,8,3,30,0,1.6,0,,
2013,1,8,4,30,0,1.5,0,,
2013,1,8,5,30,0,1.5,0,,
2013,1,8,6,30,0,1.7,0,,
2013,1,8,7,30,52,2.2,1,,
2013,1,8,8,30,179,2.5,3,,
2013,1,8,9,30,287,2.1,5,,
2013,1,8,10,30,478,1.8,6,,
2013,1,8,11,30,535,2.1,8,,
2013,1,8,12,30,533,2.4,10,,
2013,1,8,13,30,465,1.9,10,,
2013,1,8,14,30,341,1.2,9,,
2013,1,8,15,30,180,1.1,6,,
2013,1,8,16,30,23,1.3,3,,
2013,1,8,17,30,0,1.3,3,,
2013,1,8,18,30,0,1.3,3,,
2013,1,8,19,30,0,1.3,3,,
2013,1,8,20,30,0,1.4,3,,
2013,1,8,21,30,0,1.4,4,,
2013,1,8,22,30,0,1.3,4,,
2013,1,8,23,30,0,1.2,4,,
2013,1,9,0,30,0,1.2,5,,
2013,1,9,1,30,0,1.1,5,,
2013,1,9,2,30,0,1.2,5,,
2013,1,9,3,30,0,1.4,6,,
2013,1,9,4,30,0,1.4,6,,
2013,1,9,5,30,0,1.2,6,,
2013,1,9,6,30,0,1,6,,
2013,1,9,7,30,8,1,6,,
2013,1,9,8,30,41,1.2,8,,
2013,1,9,9,30,50,1.4,10,,
2013,1,9,10,30,140,1.3,12,,
2013,1,9,11,30,126,1.2,13,,
2013,1,9,12,30,260,1.1,14,,
2013,1,9,13,30,266,1,14,,
2013,1,9,14,30,242,0.8,13,,
2013,1,9,15,30,127,0.6,11,,
2013,1,9,16,30,16,0.8,9,,
