Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2010,1,1,0,30,0,3.2,-8,42.69,-84.54
2010,1,1,1,30,0,3.3,-8,N/A,
2010,1,1,2,30,0,3.5,-8,N/A,
2010,1,1,3,30,0,3.7,-7,N/A,
2010,1,1,4,30,0,3.7,-7,N/A,
2010,1,1,5,30,0,3.5,-7,N/A,
2010,1,1,6,30,0,3.2,-7,N/A,
2010,1,1,7,30,0,3.2,-8,N/A,
2010,1,1,8,30,11,3.5,-7,N/A,
2010,1,1,9,30,44,4.4,-6,N/A,
2010,1,1,10,30,154,5.1,-5,N/A,
2010,1,1,11,30,398,5.3,-5,N/A,
2010,1,1,12,30,323,5.3,-5,N/A,
2010,1,1,13,30,421,5.2,-5,N/A,
2010,1,1,14,30,346,5,-5,N/A,
2010,1,1,15,30,224,4.4,-5,N/A,
2010,1,1,16,30,46,3.6,-6,N/A,
2010,1,1,17,30,0,3.2,-7,N/A,
2010,1,1,18,30,0,3.1,-8,N/A,
2010,1,1,19,30,0,3.3,-8,N/A,
2010,1,1,20,30,0,3.3,-9,N/A,
2010,1,1,21,30,0,3.1,-10,N/A,
2010,1,1,22,30,0,2.8,-11,N/A,
2010,1,1,23,30,0,2.7,-11,N/A,
2010,1,2,0,30,0,2.9,-11,N/A,
2010,1,2,1,30,0,3.2,-11,N/A,
2010,1,2,2,30,0,3.5,-10,N/A,
2010,1,2,3,30,0,3.8,-10,N/A,
2010,1,2,4,30,0,4,-10,N/A,
2010,1,2,5,30,0,4.1,-11,N/A,
2010,1,2,6,30,0,4.2,-11,N/A,
2010,1,2,7,30,0,4.3,-11,N/A,
2010,1,2,8,30,15,4.7,-12,N/A,
2010,1,2,9,30,95,5.1,-12,N/A,
2010,1,2,10,30,160,5.1,-12,N/A,
2010,1,2,11,30,412,5.1,-11,N/A,
2010,1,2,12,30,456,5.3,-11,N/A,
2010,1,2,13,30,438,5.3,-11,N/A,
2010,1,2,14,30,361,5,-11,N/A,
2010,1,2,15,30,236,4.7,-11,N/A,
2010,1,2,16,30,58,4,-13,N/A,
2010,1,2,17,30,0,3.5,-14,N/A,
2010,1,2,18,30,0,3.3,-16,N/A,
2010,1,2,19,30,0,3,-17,N/A,
2010,1,2,20,30,0,2.8,-18,N/A,
2010,1,2,21,30,0,2.8,-19,N/A,
2010,1,2,22,30,0,2.9,-20,N/A,
2010,1,2,23,30,0,3.1,-20,N/A,
2010,1,3,0,30,0,3.2,-20,N/A,
2010,1,3,1,30,0,3.3,-20,N/A,
2010,1,3,2,30,0,3.3,-19,N/A,
2010,1,3,3,30,0,3.4,-19,N/A,
2010,1,3,4,30,0,3.5,-19,N/A,
2010,1,3,5,30,0,3.5,-19,N/A,
2010,1,3,6,30,0,3.6,-18,N/A,
2010,1,3,7,30,0,3.7,-17,N/A,
2010,1,3,8,30,28,4.5,-16,N/A,
2010,1,3,9,30,168,5.4,-14,N/A,
2010,1,3,10,30,304,6.1,-12,N/A,
2010,1,3,11,30,401,6.7,-9,N/A,
2010,1,3,12,30,443,7,-7,N/A,
2010,1,3,13,30,424,7,-6,N/A,
2010,1,3,14,30,349,6.6,-6,N/A,
2010,1,3,15,30,124,6.1,-6,N/A,
2010,1,3,16,30,36,5.9,-6,N/A,
2010,1,3,17,30,0,6,-6,N/A,
2010,1,3,18,30,0,6.3,-7,N/A,
2010,1,3,19,30,0,6.4,-7,N/A,
2010,1,3,20,30,0,6.4,-7,N/A,
2010,1,3,21,30,0,6.3,-7,N/A,
2010,1,3,22,30,0,6.2,-7,N/A,
2010,1,3,23,30,0,6.1,-8,N/A,
2010,1,4,0,30,0,5.7,-8,N/A,
2010,1,4,1,30,0,5.3,-8,N/A,
2010,1,4,2,30,0,5,-8,N/A,
2010,1,4,3,30,0,4.7,-7,N/A,
2010,1,4,4,30,0,4.5,-7,N/A,
2010,1,4,5,30,0,4.4,-7,N/A,
2010,1,4,6,30,0,4.1,-7,N/A,
2010,1,4,7,30,0,4.1,-8,N/A,
2010,1,4,8,30,7,4.1,-7,N/A,
2010,1,4,9,30,10,4.5,-6,N/A,
2010,1,4,10,30,48,5.2,-5,N/A,
2010,1,4,11,30,144,5.4,-4,N/A,
2010,1,4,12,30,90,5.3,-4,N/A,
2010,1,4,13,30,200,4.9,-4,N/A,
2010,1,4,14,30,129,4.3,-4,N/A,
2010,1,4,15,30,63,3.7,-4,N/A,
2010,1,4,16,30,13,3.4,-5,N/A,
2010,1,4,17,30,0,3.5,-5,N/A,
2010,1,4,18,30,0,3.6,-6,N/A,
2010,1,4,19,30,0,3.6,-6,N/A,
2010,1,4,20,30,0,3.2,-8,N/A,
2010,1,4,21,30,0,2.9,-9,N/A,
2010,1,4,22,30,0,2.8,-9,N/A,
2010,1,4,23,30,0,2.8,-10,N/A,
2010,1,5,0,30,0,2.7,-10,N/A,
2010,1,5,1,30,0,2.6,-11,N/A,
2010,1,5,2,30,0,2.6,-11,N/A,
2010,1,5,3,30,0,2.7,-11,N/A,
2010,1,5,4,30,0,2.7,-10,N/A,
2010,1,5,5,30,0,2.6,-10,N/A,
2010,1,5,6,30,0,2.6,-10,N/A,
2010,1,5,7,30,0,2.7,-9,N/A,
2010,1,5,8,30,29,3.3,-8,N/A,
2010,1,5,9,30,24,4.2,-5,N/A,
2010,1,5,10,30,19,5,-3,N/A,
2010,1,5,11,30,86,5.4,-2,N/A,
2010,1,5,12,30,154,5.4,-2,N/A,
2010,1,5,13,30,38,5.1,-2,N/A,
2010,1,5,14,30,34,4.6,-2,N/A,
2010,1,5,15,30,100,4.1,-2,N/A,
2010,1,5,16,30,58,4.2,-2,N/A,
2010,1,5,17,30,0,4.4,-3,N/A,
2010,1,5,18,30,0,4.3,-3,N/A,
2010,1,5,19,30,0,4.2,-4,N/A,
2010,1,5,20,30,0,3.9,-4,N/A,
2010,1,5,21,30,0,3.6,-5,N/A,
2010,1,5,22,30,0,3.5,-6,N/A,
2010,1,5,23,30,0,3.5,-6,N/A,
2010,1,6,0,30,0,3.5,-6,N/A,
2010,1,6,1,30,0,3.4,-6,N/A,
2010,1,6,2,30,0,3.4,-6,N/A,
2010,1,6,3,30,0,3.4,-6,N/A,
2010,1,6,4,30,0,3.4,-6,N/A,
2010,1,6,5,30,0,3.4,-6,N/A,
2010,1,6,6,30,0,3,-6,N/A,
2010,1,6,7,30,0,2.7,-6,N/A,
2010,1,6,8,30,29,2.8,-6,N/A,
2010,1,6,9,30,45,3.6,-4,N/A,
2010,1,6,10,30,101,4.4,-3,N/A,
2010,1,6,11,30,88,4.6,-2,N/A,
2010,1,6,12,30,100,4.5,-2,N/A,
2010,1,6,13,30,115,4.4,-2,N/A,
2010,1,6,14,30,95,4,-2,N/A,
2010,1,6,15,30,29,3.1,-2,N/A,
2010,1,6,16,30,17,2,-4,N/A,
2010,1,6,17,30,0,1.4,-5,N/A,
2010,1,6,18,30,0,1.3,-6,N/A,
2010,1,6,19,30,0,1.3,-6,N/A,
2010,1,6,20,30,0,1.2,-6,N/A,
2010,1,6,21,30,0,1.1,-6,N/A,
2010,1,6,22,30,0,1,-6,N/A,
2010,1,6,23,30,0,1,-6,N/A,
2010,1,7,0,30,0,1.3,-6,N/A,
2010,1,7,1,30,0,1.6,-6,N/A,
2010,1,7,2,30,0,1.4,-6,N/A,
2010,1,7,3,30,0,1.1,-6,N/A,
2010,1,7,4,30,0,1.1,-6,N/A,
2010,1,7,5,30,0,1.1,-6,N/A,
2010,1,7,6,30,0,0.9,-6,N/A,
2010,1,7,7,30,0,0.8,-6,N/A,
2010,1,7,8,30,3,0.8,-6,N/A,
2010,1,7,9,30,19,1.1,-5,N/A,
2010,1,7,10,30,77,1.5,-5,N/A,
2010,1,7,11,30,13,1.9,-4,N/A,
2010,1,7,12,30,122,2.1,-4,N/A,
2010,1,7,13,30,51,2.1,-4,N/A,
2010,1,7,14,30,24,2,-5,N/A,
2010,1,7,15,30,8,1.6,-5,N/A,
2010,1,7,16,30,14,1.2,-5,N/A,
2010,1,7,17,30,0,1.1,-6,N/A,
2010,1,7,18,30,0,0.9,-6,N/A,
2010,1,7,19,30,0,0.6,-6,N/A,
2010,1,7,20,30,0,0.6,-7,N/A,
2010,1,7,21,30,0,0.9,-7,N/A,
2010,1,7,22,30,0,1.2,-7,N/A,
2010,1,7,23,30,0,1.4,-7,N/A,
2010,1,8,0,30,0,1.8,-6,N/A,
2010,1,8,1,30,0,2.6,-6,N/A,
2010,1,8,2,30,0,3.8,-6,N/A,
2010,1,8,3,30,0,4.7,-6,N/A,
2010,1,8,4,30,0,5.1,-6,N/A,
2010,1,8,5,30,0,5.3,-6,N/A,
2010,1,8,6,30,0,5.4,-7,N/A,
2010,1,8,7,30,0,5.6,-8,N/A,
2010,1,8,8,30,16,5.7,-8,N/A,
2010,1,8,9,30,29,5.9,-8,N/A,
2010,1,8,10,30,79,5.9,-8,N/A,
2010,1,8,11,30,65,5.5,-7,N/A,
2010,1,8,12,30,127,5.1,-7,N/A,
2010,1,8,13,30,165,4.7,-7,N/A,
2010,1,8,14,30,100,4.5,-7,N/A,
2010,1,8,15,30,75,4.2,-7,N/A,
2010,1,8,16,30,14,3.7,-8,N/A,
2010,1,8,17,30,0,3.4,-9,N/A,
2010,1,8,18,30,0,3.2,-10,N/A,
2010,1,8,19,30,0,2.9,-11,N/A,
2010,1,8,20,30,0,2.7,-12,N/A,
2010,1,8,21,30,0,2.6,-14,N/A,
2010,1,8,22,30,0,2.4,-16,N/A,
2010,1,8,23,30,0,2.3,-17,N/A,
2010,1,9,0,30,0,2.3,-18,N/A,
2010,1,9,1,30,0,2.2,-19,N/A,
2010,1,9,2,30,0,2.2,-20,N/A,
2010,1,9,3,30,0,2.2,-20,N/A,
2010,1,9,4,30,0,2.1,-20,N/A,
2010,1,9,5,30,0,2,-20,N/A,
2010,1,9,6,30,0,2,-19,N/A,
2010,1,9,7,30,0,2,-19,N/A,
2010,1,9,8,30,7,2.5,-17,N/A,
2010,1,9,9,30,70,3.1,-15,N/A,
2010,1,9,10,30,317,2.9,-13,N/A,
2010,1,9,11,30,417,2.7,-11,N/A,
2010,1,9,12,30,463,2.6,-9,N/A,
2010,1,9,13,30,450,2.5,-7,N/A,
2010,1,9,14,30,378,2.2,-7,N/A,
2010,1,9,15,30,258,1.6,-8,N/A,
2010,1,9,16,30,106,1.4,-10,N/A,
2010,1,9,17,30,0,1.7,-13,N/A,
2010,1,9,18,30,0,1.9,-14,N/A,
2010,1,9,19,30,0,1.9,-15,N/A,
2010,1,9,20,30,0,1.7,-15,N/A,
2010,1,9,21,30,0,1.5,-15,N/A,
2010,1,9,22,30,0,1.5,-15,N/A,
2010,1,9,23,30,0,1.6,-16,N/A,
2010,1,10,0,30,0,1.5,-16,N/A,
2010,1,10,1,30,0,1.5,-16,N/A,
2010,1,10,2,30,0,1.7,-16,N/A,
2010,1,10,3,30,0,1.9,-15,N/A,
2010,1,10,4,30,0,2.2,-14,N/A,
2010,1,10,5,30,0,2.6,-13,N/A,
2010,1,10,6,30,0,3.1,-12,N/A,
2010,1,10,7,30,0,3.8,-11,N/A,
2010,1,10,8,30,31,4.4,-9,N/A,
2010,1,10,9,30,177,4.7,-7,N/A,
2010,1,10,10,30,319,5.4,-5,N/A,
2010,1,10,11,30,421,6.3,-4,N/A,
2010,1,10,12,30,467,6.6,-4,N/A,
2010,1,10,13,30,453,6.4,-5,N/A,
2010,1,10,14,30,380,6,-5,N/A,
2010,1,10,15,30,258,5.3,-7,N/A,
2010,1,10,16,30,107,4.8,-8,N/A,
2010,1,10,17,30,0,4.9,-9,N/A,
2010,1,10,18,30,0,5.4,-10,N/A,
2010,1,10,19,30,0,5.8,-10,N/A,
2010,1,10,20,30,0,6,-10,N/A,
2010,1,10,21,30,0,6.1,-10,N/A,
2010,1,10,22,30,0,6.4,-10,N/A,
2010,1,10,23,30,0,6.5,-10,N/A,
2010,1,11,0,30,0,6.2,-10,N/A,
2010,1,11,1,30,0,5.9,-10,N/A,
2010,1,11,2,30,0,5.6,-10,N/A,
2010,1,11,3,30,0,5.2,-9,N/A,
2010,1,11,4,30,0,4.8,-9,N/A,
2010,1,11,5,30,0,4.4,-9,N/A,
2010,1,11,6,30,0,4,-9,N/A,
2010,1,11,7,30,0,3.6,-9,N/A,
2010,1,11,8,30,22,3.4,-8,N/A,
2010,1,11,9,30,12,3.5,-7,N/A,
2010,1,11,10,30,70,3.6,-6,N/A,
2010,1,11,11,30,161,3.6,-5,N/A,
2010,1,11,12,30,103,3.5,-5,N/A,
2010,1,11,13,30,224,3.4,-5,N/A,
2010,1,11,14,30,64,3,-4,N/A,
2010,1,11,15,30,166,2.1,-4,N/A,
2010,1,11,16,30,38,1.4,-5,N/A,
2010,1,11,17,30,0,1.5,-6,N/A,
2010,1,11,18,30,0,1.9,-6,N/A,
2010,1,11,19,30,0,2.4,-6,N/A,
2010,1,11,20,30,0,2.8,-6,N/A,
2010,1,11,21,30,0,3,-6,N/A,
2010,1,11,22,30,0,3.5,-7,N/A,
2010,1,11,23,30,0,4.1,-7,N/A,
2010,1,12,0,30,0,4.4,-9,N/A,
2010,1,12,1,30,0,4.2,-10,N/A,
2010,1,12,2,30,0,3.9,-11,N/A,
2010,1,12,3,30,0,3.6,-12,N/A,
2010,1,12,4,30,0,3.3,-13,N/A,
2010,1,12,5,30,0,2.9,-14,N/A,
2010,1,12,6,30,0,2.9,-14,N/A,
2010,1,12,7,30,0,2.9,-15,N/A,
2010,1,12,8,30,33,3,-14,N/A,
2010,1,12,9,30,181,2.9,-13,N/A,
2010,1,12,10,30,321,2.7,-11,N/A,
2010,1,12,11,30,193,2.6,-9,N/A,
2010,1,12,12,30,298,2.6,-7,N/A,
2010,1,12,13,30,237,2.6,-7,N/A,
2010,1,12,14,30,209,2.7,-6,N/A,
2010,1,12,15,30,127,2.4,-6,N/A,
2010,1,12,16,30,110,1.7,-8,N/A,
2010,1,12,17,30,0,1.6,-10,N/A,
2010,1,12,18,30,0,1.8,-11,N/A,
2010,1,12,19,30,0,2.2,-10,N/A,
2010,1,12,20,30,0,2.8,-9,N/A,
2010,1,12,21,30,0,3.4,-8,N/A,
2010,1,12,22,30,0,3.7,-7,N/A,
2010,1,12,23,30,0,4,-7,N/A,
2010,1,13,0,30,0,4.3,-6,N/A,
2010,1,13,1,30,0,4.5,-6,N/A,
2010,1,13,2,30,0,4.6,-6,N/A,
2010,1,13,3,30,0,4.6,-6,N/A,
2010,1,13,4,30,0,4.8,-6,N/A,
2010,1,13,5,30,0,4.8,-6,N/A,
2010,1,13,6,30,0,5.1,-7,N/A,
2010,1,13,7,30,0,5.5,-7,N/A,
2010,1,13,8,30,32,5.9,-6,N/A,
2010,1,13,9,30,173,6.3,-5,N/A,
2010,1,13,10,30,310,6.6,-4,N/A,
2010,1,13,11,30,409,6.7,-3,N/A,
