Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2007,1,1,0,30,0,1.3,0,38.57,-92.14
2007,1,1,1,30,0,1.2,-1,,
2007,1,1,2,30,0,1.2,-1,,
2007,1,1,3,30,0,1.1,-1,,
2007,1,1,4,30,0,1.1,-1,,
2007,1,1,5,30,0,1,-2,,
2007,1,1,6,30,0,0.8,-3,,
2007,1,1,7,30,0,0.9,-2,,
2007,1,1,8,30,138,1.1,-1,,
2007,1,1,9,30,297,1.2,0,,
2007,1,1,10,30,423,1.2,2,,
2007,1,1,11,30,497,1.2,4,,
2007,1,1,12,30,510,1.1,5,,
2007,1,1,13,30,462,1,5,,
2007,1,1,14,30,357,0.8,5,,
2007,1,1,15,30,209,0.5,3,,
2007,1,1,16,30,49,0.3,0,,
2007,1,1,17,30,0,0.4,0,,
2007,1,1,18,30,0,0.4,-1,,
2007,1,1,19,30,0,0.4,-1,,
2007,1,1,20,30,0,0.4,-2,,
2007,1,1,21,30,0,0.3,-2,,
2007,1,1,22,30,0,0.3,-3,,
2007,1,1,23,30,0,0.3,-3,,
2007,1,2,0,30,0,0.4,-3,,
2007,1,2,1,30,0,0.7,-2,,
2007,1,2,2,30,0,0.7,-2,,
2007,1,2,3,30,0,0.3,-1,,
2007,1,2,4,30,0,0.2,-1,,
2007,1,2,5,30,0,0.5,-2,,
2007,1,2,6,30,0,0.6,-2,,
2007,1,2,7,30,0,0.5,-2,,
2007,1,2,8,30,92,0.4,0,,
2007,1,2,9,30,302,0.5,2,,
2007,1,2,10,30,428,0.6,5,,
2007,1,2,11,30,501,0.7,6,,
2007,1,2,12,30,515,0.7,7,,
2007,1,2,13,30,466,0.7,8,,
2007,1,2,14,30,261,0.5,7,,
2007,1,2,15,30,213,0.6,4,,
2007,1,2,16,30,51,1,1,,
2007,1,2,17,30,0,0.8,0,,
2007,1,2,18,30,0,0.5,0,,
2007,1,2,19,30,0,0.5,0,,
2007,1,2,20,30,0,0.5,0,,
2007,1,2,21,30,0,0.5,0,,
2007,1,2,22,30,0,0.5,-1,,
2007,1,2,23,30,0,0.5,-2,,
2007,1,3,0,30,0,0.5,-2,,
2007,1,3,1,30,0,0.5,-2,,
2007,1,3,2,30,0,0.5,-2,,
2007,1,3,3,30,0,0.5,-2,,
2007,1,3,4,30,0,0.5,-2,,
2007,1,3,5,30,0,0.6,-1,,
2007,1,3,6,30,0,0.5,-1,,
2007,1,3,7,30,0,0.6,0,,
2007,1,3,8,30,144,0.8,1,,
2007,1,3,9,30,231,0.9,3,,
2007,1,3,10,30,361,1,6,,
