Year,Month,Day,Hour,Minute,GHI,ClearskyGHI,SolarZenithAngle,Temperature,GlobalHorizontalUVIrradiance(280-400nm),GlobalHorizontalUVIrradiance(295-385nm)
2019,1,1,0,0,0,0,157.81,-17.2,0,0
2019,1,1,0,30,0,0,157.88,-18.1,0,0
2019,1,1,1,0,0,0,156.32,-19,0,0
2019,1,1,1,30,0,0,153.42,-20,0,0
2019,1,1,2,0,0,0,149.56,-21,0,0
2019,1,1,2,30,0,0,145.09,-22.2,0,0
2019,1,1,3,0,0,0,140.23,-23.3,0,0
2019,1,1,3,30,0,0,135.13,-24,0,0
2019,1,1,4,0,0,0,129.91,-24.8,0,0
2019,1,1,4,30,0,0,124.61,-25.3,0,0
2019,1,1,5,0,0,0,119.31,-25.8,0,0
2019,1,1,5,30,0,0,114.04,-26.3,0,0
2019,1,1,6,0,0,0,108.85,-26.8,0,0
2019,1,1,6,30,0,0,103.76,-27.2,0,0
2019,1,1,7,0,0,0,98.82,-27.6,0,0
2019,1,1,7,30,0,0,94.06,-27.6,0,0
2019,1,1,8,0,8,13,89.06,-27.6,0,0
2019,1,1,8,30,54,71,85.1,-26.7,0,0
2019,1,1,9,0,113,140,81.25,-25.7,0,0
2019,1,1,9,30,172,209,77.75,-24.7,8.2418,6.3019
2019,1,1,10,0,226,271,74.68,-23.7,11.0826,8.5219
2019,1,1,10,30,267,324,72.11,-22.9,13.407,10.3524
2019,1,1,11,0,314,361,70.11,-22,16.059,12.4343
2019,1,1,11,30,368,389,68.72,-21.2,19.0523,14.7765
2019,1,1,12,0,358,404,68,-20.3,18.6483,14.4745
2019,1,1,12,30,354,405,67.96,-19.4,18.4461,14.3182
2019,1,1,13,0,366,392,68.61,-18.5,18.9667,14.7118
2019,1,1,13,30,343,365,69.92,-17.7,17.572,13.609
2019,1,1,14,0,305,325,71.85,-16.9,15.3522,11.8589
2019,1,1,14,30,242,273,74.36,-16.5,11.9013,9.1565
2019,1,1,15,0,177,212,77.37,-16,8.4998,6.5037
2019,1,1,15,30,116,145,80.83,-16.2,0,0
2019,1,1,16,0,65,77,84.65,-16.4,0,0
2019,1,1,16,30,15,18,88.64,-16.5,0,0
2019,1,1,17,0,0,0,93.53,-16.6,0,0
2019,1,1,17,30,0,0,98.26,-16.6,0,0
2019,1,1,18,0,0,0,103.18,-17.5,0,0
