Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2004,1,1,0,30,0,0.7,5,32.29,-90.18
2004,1,1,1,30,0,0.7,5,,
2004,1,1,2,30,0,0.6,5,,
2004,1,1,3,30,0,0.6,5,,
2004,1,1,4,30,0,0.6,5,,
2004,1,1,5,30,0,0.6,5,,
2004,1,1,6,30,0,0.8,5,,
2004,1,1,7,30,1,0.9,7,,
2004,1,1,8,30,7,1,9,,
2004,1,1,9,30,13,1,11,,
2004,1,1,10,30,168,1,14,,
2004,1,1,11,30,284,1.1,15,,
2004,1,1,12,30,416,1.2,16,,
2004,1,1,13,30,413,1.2,16,,
2004,1,1,14,30,341,1.1,16,,
2004,1,1,15,30,192,0.8,15,,
2004,1,1,16,30,55,0.6,13,,
2004,1,1,17,30,0,0.6,12,,
2004,1,1,18,30,0,0.7,12,,
2004,1,1,19,30,0,0.7,12,,
2004,1,1,20,30,0,0.8,12,,
2004,1,1,21,30,0,0.9,12,,
2004,1,1,22,30,0,0.9,12,,
2004,1,1,23,30,0,0.9,12,,
2004,1,2,0,30,0,0.8,12,,
2004,1,2,1,30,0,0.7,12,,
2004,1,2,2,30,0,0.7,12,,
2004,1,2,3,30,0,0.7,12,,
2004,1,2,4,30,0,0.7,12,,
2004,1,2,5,30,0,0.7,12,,
2004,1,2,6,30,0,0.7,13,,
2004,1,2,7,30,9,0.8,13,,
2004,1,2,8,30,62,1.1,15,,
2004,1,2,9,30,67,1.3,16,,
2004,1,2,10,30,218,1.2,17,,
2004,1,2,11,30,228,1.2,17,,
2004,1,2,12,30,326,1.5,19,,
2004,1,2,13,30,379,1.7,20,,
2004,1,2,14,30,273,1.5,20,,
2004,1,2,15,30,110,1.1,19,,
2004,1,2,16,30,65,0.8,17,,
2004,1,2,17,30,0,0.8,17,,
2004,1,2,18,30,0,0.9,16,,
2004,1,2,19,30,0,0.8,16,,
2004,1,2,20,30,0,0.8,16,,
2004,1,2,21,30,0,0.8,16,,
2004,1,2,22,30,0,0.8,16,,
2004,1,2,23,30,0,1,16,,
2004,1,3,0,30,0,1.1,16,,
2004,1,3,1,30,0,1.1,16,,
2004,1,3,2,30,0,1,16,,
2004,1,3,3,30,0,0.9,16,,
2004,1,3,4,30,0,0.7,15,,
2004,1,3,5,30,0,0.7,15,,
2004,1,3,6,30,0,0.7,15,,
2004,1,3,7,30,6,0.9,16,,
2004,1,3,8,30,97,1.2,17,,
2004,1,3,9,30,198,1.5,18,,
2004,1,3,10,30,328,1.7,19,,
2004,1,3,11,30,417,1.7,20,,
2004,1,3,12,30,278,1.7,21,,
2004,1,3,13,30,373,1.3,21,,
2004,1,3,14,30,281,1,21,,
2004,1,3,15,30,101,0.9,20,,
2004,1,3,16,30,26,0.8,18,,
2004,1,3,17,30,0,0.7,18,,
2004,1,3,18,30,0,0.7,17,,
2004,1,3,19,30,0,0.7,17,,
2004,1,3,20,30,0,0.9,17,,
2004,1,3,21,30,0,1,17,,
2004,1,3,22,30,0,1,17,,
2004,1,3,23,30,0,1,17,,
2004,1,4,0,30,0,0.9,16,,
2004,1,4,1,30,0,0.9,16,,
2004,1,4,2,30,0,0.8,16,,
2004,1,4,3,30,0,0.8,15,,
2004,1,4,4,30,0,0.8,15,,
2004,1,4,5,30,0,0.8,15,,
2004,1,4,6,30,0,0.9,15,,
2004,1,4,7,30,32,1.2,16,,
2004,1,4,8,30,179,1.5,18,,
2004,1,4,9,30,285,1.7,20,,
2004,1,4,10,30,407,1.7,21,,
2004,1,4,11,30,389,1.7,21,,
2004,1,4,12,30,415,1.7,21,,
2004,1,4,13,30,276,1.5,21,,
2004,1,4,14,30,202,1.2,21,,
2004,1,4,15,30,131,1.1,20,,
2004,1,4,16,30,34,1,19,,
2004,1,4,17,30,0,0.9,18,,
2004,1,4,18,30,0,0.9,18,,
2004,1,4,19,30,0,0.9,18,,
2004,1,4,20,30,0,0.9,18,,
2004,1,4,21,30,0,1,18,,
2004,1,4,22,30,0,0.9,17,,
2004,1,4,23,30,0,0.7,16,,
2004,1,5,0,30,0,1.1,15,,
2004,1,5,1,30,0,1.8,14,,
2004,1,5,2,30,0,2,12,,
2004,1,5,3,30,0,2,10,,
2004,1,5,4,30,0,1.9,8,,
2004,1,5,5,30,0,1.8,6,,
2004,1,5,6,30,0,1.7,6,,
