Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2019,1,1,0,30,0,1.4,-24.2,46.57,-112.02
2019,1,1,1,30,0,1.4,-24.2,,
2019,1,1,2,30,0,1.4,-24,,
2019,1,1,3,30,0,1.4,-23.9,,
2019,1,1,4,30,0,1.5,-23.6,,
2019,1,1,5,30,0,1.5,-23.2,,
2019,1,1,6,30,0,1.5,-22.5,,
2019,1,1,7,30,0,1.5,-21.5,,
2019,1,1,8,30,12,1.5,-19.4,,
2019,1,1,9,30,70,1.8,-16.5,,
2019,1,1,10,30,123,2.1,-13.6,,
2019,1,1,11,30,208,2.3,-11.3,,
2019,1,1,12,30,229,2.5,-9.7,,
2019,1,1,13,30,192,2.5,-8.8,,
2019,1,1,14,30,162,2.3,-8.6,,
2019,1,1,15,30,93,2,-9,,
2019,1,1,16,30,15,1.8,-9.4,,
2019,1,1,17,30,0,1.7,-10.7,,
2019,1,1,18,30,0,1.6,-11.5,,
2019,1,1,19,30,0,1.5,-12.1,,
2019,1,1,20,30,0,1.5,-12.4,,
2019,1,1,21,30,0,1.5,-12.5,,
2019,1,1,22,30,0,1.5,-12.5,,
2019,1,1,23,30,0,1.5,-12.6,,
2019,1,2,0,30,0,1.6,-12.3,,
2019,1,2,1,30,0,1.6,-11.7,,
2019,1,2,2,30,0,1.7,-10.9,,
2019,1,2,3,30,0,1.7,-10,,
2019,1,2,4,30,0,1.8,-9.3,,
2019,1,2,5,30,0,1.8,-8.8,,
2019,1,2,6,30,0,1.5,-8.8,,
2019,1,2,7,30,0,1.3,-9.1,,
2019,1,2,8,30,10,1.3,-8.3,,
2019,1,2,9,30,74,1.7,-6.2,,
2019,1,2,10,30,160,2.1,-3.7,,
2019,1,2,11,30,263,2.3,-1.9,,
2019,1,2,12,30,336,2.5,-0.6,,
2019,1,2,13,30,294,2.4,0,,
2019,1,2,14,30,184,2.3,0,,
2019,1,2,15,30,122,2,-0.8,,
2019,1,2,16,30,28,1.8,-1.4,,
2019,1,2,17,30,0,1.6,-2.5,,
2019,1,2,18,30,0,1.6,-3,,
2019,1,2,19,30,0,1.5,-3.4,,
2019,1,2,20,30,0,1.4,-4,,
