Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2013,1,1,0,30,0,2.4,-19,46.89,-96.86
2013,1,1,1,30,0,2.7,-19,N/A,
2013,1,1,2,30,0,2.7,-18,N/A,
2013,1,1,3,30,0,2.6,-18,N/A,
2013,1,1,4,30,0,2.6,-17,N/A,
2013,1,1,5,30,0,2.6,-17,N/A,
2013,1,1,6,30,0,2.5,-16,N/A,
2013,1,1,7,30,0,2.5,-15,N/A,
2013,1,1,8,30,18,2.9,-14,N/A,
2013,1,1,9,30,33,3.5,-12,N/A,
2013,1,1,10,30,62,3.8,-10,N/A,
2013,1,1,11,30,109,4,-8,N/A,
2013,1,1,12,30,118,4.1,-7,N/A,
2013,1,1,13,30,110,4.3,-6,N/A,
2013,1,1,14,30,55,3.9,-6,N/A,
2013,1,1,15,30,30,2.9,-7,N/A,
2013,1,1,16,30,5,2.4,-7,N/A,
2013,1,1,17,30,0,2.8,-8,N/A,
2013,1,1,18,30,0,3.2,-8,N/A,
2013,1,1,19,30,0,3.6,-9,N/A,
2013,1,1,20,30,0,3.9,-9,N/A,
2013,1,1,21,30,0,4,-10,N/A,
2013,1,1,22,30,0,3.9,-10,N/A,
2013,1,1,23,30,0,3.8,-10,N/A,
2013,1,2,0,30,0,3.6,-9,N/A,
2013,1,2,1,30,0,3.4,-9,N/A,
2013,1,2,2,30,0,2.8,-8,N/A,
2013,1,2,3,30,0,2.3,-7,N/A,
2013,1,2,4,30,0,2.4,-6,N/A,
2013,1,2,5,30,0,2.7,-6,N/A,
2013,1,2,6,30,0,2.8,-6,N/A,
2013,1,2,7,30,0,3.1,-5,N/A,
2013,1,2,8,30,18,3.8,-5,N/A,
2013,1,2,9,30,8,4.4,-4,N/A,
2013,1,2,10,30,27,4.8,-3,N/A,
2013,1,2,11,30,46,5.1,-3,N/A,
2013,1,2,12,30,117,5.3,-3,N/A,
2013,1,2,13,30,330,5.3,-4,N/A,
2013,1,2,14,30,255,5.1,-5,N/A,
2013,1,2,15,30,140,4.8,-6,N/A,
2013,1,2,16,30,23,4.5,-8,N/A,
2013,1,2,17,30,0,4.8,-9,N/A,
2013,1,2,18,30,0,5.2,-9,N/A,
2013,1,2,19,30,0,5.3,-10,N/A,
2013,1,2,20,30,0,5.1,-10,N/A,
2013,1,2,21,30,0,4.8,-11,N/A,
2013,1,2,22,30,0,4.5,-12,N/A,
2013,1,2,23,30,0,4.3,-13,N/A,
2013,1,3,0,30,0,4.2,-13,N/A,
2013,1,3,1,30,0,4,-13,N/A,
2013,1,3,2,30,0,3.4,-13,N/A,
2013,1,3,3,30,0,2.8,-13,N/A,
2013,1,3,4,30,0,2.3,-13,N/A,
2013,1,3,5,30,0,1.9,-13,N/A,
2013,1,3,6,30,0,1.8,-13,N/A,
2013,1,3,7,30,0,2.2,-13,N/A,
2013,1,3,8,30,4,2.9,-12,N/A,
2013,1,3,9,30,31,4,-11,N/A,
2013,1,3,10,30,59,4.8,-9,N/A,
2013,1,3,11,30,58,5.3,-7,N/A,
2013,1,3,12,30,360,5.6,-5,N/A,
2013,1,3,13,30,335,5.8,-3,N/A,
2013,1,3,14,30,260,5.6,-3,N/A,
2013,1,3,15,30,147,5.1,-4,N/A,
2013,1,3,16,30,26,5,-6,N/A,
2013,1,3,17,30,0,5.3,-7,N/A,
2013,1,3,18,30,0,5.6,-7,N/A,
2013,1,3,19,30,0,5.6,-7,N/A,
2013,1,3,20,30,0,5.4,-8,N/A,
2013,1,3,21,30,0,4.9,-8,N/A,
2013,1,3,22,30,0,4.2,-8,N/A,
2013,1,3,23,30,0,3.6,-9,N/A,
2013,1,4,0,30,0,3.2,-9,N/A,
2013,1,4,1,30,0,2.9,-9,N/A,
2013,1,4,2,30,0,2.6,-10,N/A,
2013,1,4,3,30,0,2.3,-10,N/A,
2013,1,4,4,30,0,2.1,-10,N/A,
2013,1,4,5,30,0,2.1,-10,N/A,
2013,1,4,6,30,0,2.1,-11,N/A,
2013,1,4,7,30,0,2.1,-11,N/A,
2013,1,4,8,30,19,2.4,-10,N/A,
2013,1,4,9,30,139,2.7,-8,N/A,
2013,1,4,10,30,256,2.4,-6,N/A,
2013,1,4,11,30,334,2,-4,N/A,
2013,1,4,12,30,362,1.9,-2,N/A,
2013,1,4,13,30,337,1.7,-1,N/A,
2013,1,4,14,30,262,1.1,-1,N/A,
2013,1,4,15,30,149,0.7,-3,N/A,
2013,1,4,16,30,28,0.7,-4,N/A,
2013,1,4,17,30,0,0.8,-5,N/A,
2013,1,4,18,30,0,1,-6,N/A,
2013,1,4,19,30,0,1.1,-8,N/A,
2013,1,4,20,30,0,1.2,-9,N/A,
2013,1,4,21,30,0,1.2,-9,N/A,
2013,1,4,22,30,0,1.2,-9,N/A,
2013,1,4,23,30,0,1.3,-9,N/A,
2013,1,5,0,30,0,1.7,-9,N/A,
2013,1,5,1,30,0,1.9,-9,N/A,
2013,1,5,2,30,0,1.9,-9,N/A,
2013,1,5,3,30,0,1.8,-9,N/A,
2013,1,5,4,30,0,1.5,-10,N/A,
2013,1,5,5,30,0,1,-10,N/A,
2013,1,5,6,30,0,0.6,-10,N/A,
2013,1,5,7,30,0,0.8,-10,N/A,
2013,1,5,8,30,4,2,-9,N/A,
2013,1,5,9,30,29,3.3,-8,N/A,
2013,1,5,10,30,64,4.3,-7,N/A,
2013,1,5,11,30,86,5,-6,N/A,
2013,1,5,12,30,104,5.4,-5,N/A,
2013,1,5,13,30,145,5.6,-5,N/A,
2013,1,5,14,30,266,5.6,-5,N/A,
2013,1,5,15,30,154,4.9,-6,N/A,
2013,1,5,16,30,31,4.2,-7,N/A,
2013,1,5,17,30,0,3.8,-9,N/A,
