Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2001,1,1,0,30,0,0.6,0,35.05,-106.66
2001,1,1,1,30,0,0.7,0,,
2001,1,1,2,30,0,0.6,0,,
2001,1,1,3,30,0,0.5,0,,
2001,1,1,4,30,0,0.5,0,,
2001,1,1,5,30,0,0.4,0,,
2001,1,1,6,30,0,0.4,0,,
2001,1,1,7,30,24,0.5,0,,
2001,1,1,8,30,195,0.7,2,,
2001,1,1,9,30,368,1.1,5,,
2001,1,1,10,30,353,1.7,8,,
2001,1,1,11,30,417,2,9,,
2001,1,1,12,30,442,2.1,10,,
2001,1,1,13,30,390,2.1,10,,
2001,1,1,14,30,287,1.5,9,,
2001,1,1,15,30,137,1.1,6,,
2001,1,1,16,30,35,1.2,4,,
2001,1,1,17,30,0,1.4,2,,
2001,1,1,18,30,0,1.4,1,,
2001,1,1,19,30,0,1.4,0,,
2001,1,1,20,30,0,1.4,0,,
2001,1,1,21,30,0,1.3,0,,
2001,1,1,22,30,0,1.3,0,,
2001,1,1,23,30,0,1.2,0,,
2001,1,2,0,30,0,1.1,0,,
2001,1,2,1,30,0,0.9,0,,
2001,1,2,2,30,0,0.9,0,,
2001,1,2,3,30,0,1,0,,
2001,1,2,4,30,0,1,0,,
2001,1,2,5,30,0,1.1,-1,,
2001,1,2,6,30,0,1.1,-2,,
2001,1,2,7,30,22,1.9,-1,,
2001,1,2,8,30,191,3.1,1,,
2001,1,2,9,30,361,3.8,3,,
2001,1,2,10,30,491,3.9,5,,
2001,1,2,11,30,565,3.8,6,,
2001,1,2,12,30,576,3.6,7,,
2001,1,2,13,30,523,3.3,7,,
2001,1,2,14,30,413,2.5,6,,
2001,1,2,15,30,253,1.5,4,,
2001,1,2,16,30,76,1.1,1,,
2001,1,2,17,30,0,1.1,0,,
2001,1,2,18,30,0,1,0,,
2001,1,2,19,30,0,0.9,0,,
2001,1,2,20,30,0,0.7,0,,
2001,1,2,21,30,0,0.7,0,,
2001,1,2,22,30,0,1,0,,
2001,1,2,23,30,0,1.1,0,,
2001,1,3,0,30,0,1.2,0,,
2001,1,3,1,30,0,1.3,-1,,
2001,1,3,2,30,0,1.3,-1,,
2001,1,3,3,30,0,1.3,-1,,
2001,1,3,4,30,0,1.3,-1,,
2001,1,3,5,30,0,1.2,-1,,
2001,1,3,6,30,0,1.1,-2,,
2001,1,3,7,30,23,1.3,-1,,
2001,1,3,8,30,195,1.7,1,,
2001,1,3,9,30,368,2.1,4,,
2001,1,3,10,30,501,2.3,7,,
2001,1,3,11,30,578,2.2,9,,
2001,1,3,12,30,591,2.1,10,,
2001,1,3,13,30,539,1.9,11,,
2001,1,3,14,30,427,1.3,10,,
2001,1,3,15,30,266,0.9,7,,
2001,1,3,16,30,83,0.9,5,,
2001,1,3,17,30,0,1.1,3,,
2001,1,3,18,30,0,1.2,2,,
2001,1,3,19,30,0,1.4,0,,
2001,1,3,20,30,0,1.5,0,,
2001,1,3,21,30,0,1.4,0,,
2001,1,3,22,30,0,1.4,0,,
2001,1,3,23,30,0,1.3,0,,
2001,1,4,0,30,0,1.2,0,,
2001,1,4,1,30,0,1,0,,
2001,1,4,2,30,0,1,0,,
2001,1,4,3,30,0,1,0,,
2001,1,4,4,30,0,1,0,,
2001,1,4,5,30,0,1,0,,
2001,1,4,6,30,0,1,0,,
2001,1,4,7,30,24,1.2,1,,
2001,1,4,8,30,197,1.2,3,,
2001,1,4,9,30,370,1.2,6,,
2001,1,4,10,30,503,1.5,9,,
2001,1,4,11,30,578,2,11,,
2001,1,4,12,30,590,2.4,12,,
2001,1,4,13,30,538,2.4,13,,
2001,1,4,14,30,425,1.8,11,,
2001,1,4,15,30,266,1.4,8,,
2001,1,4,16,30,85,1.7,4,,
2001,1,4,17,30,0,1.7,1,,
2001,1,4,18,30,0,1.7,0,,
2001,1,4,19,30,0,1.6,0,,
2001,1,4,20,30,0,1.6,0,,
2001,1,4,21,30,0,1.6,0,,
2001,1,4,22,30,0,1.6,0,,
2001,1,4,23,30,0,1.5,0,,
2001,1,5,0,30,0,1.4,0,,
2001,1,5,1,30,0,1.3,0,,
2001,1,5,2,30,0,1.2,0,,
2001,1,5,3,30,0,1.2,0,,
2001,1,5,4,30,0,1.1,1,,
2001,1,5,5,30,0,1,1,,
2001,1,5,6,30,0,0.9,2,,
2001,1,5,7,30,23,0.7,3,,
2001,1,5,8,30,195,0.7,6,,
2001,1,5,9,30,368,0.8,8,,
2001,1,5,10,30,502,0.9,10,,
2001,1,5,11,30,579,1.1,12,,
2001,1,5,12,30,593,1.1,13,,
2001,1,5,13,30,541,0.9,14,,
2001,1,5,14,30,430,0.6,13,,
2001,1,5,15,30,270,0.5,10,,
2001,1,5,16,30,87,0.6,8,,
