Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2008,1,1,0,30,0,7.6,1,39.97,-83.02
2008,1,1,1,30,0,8.5,0,,
2008,1,1,2,30,0,8.9,0,,
2008,1,1,3,30,0,9.1,-1,,
2008,1,1,4,30,0,9.4,-1,,
2008,1,1,5,30,0,9.4,-2,,
2008,1,1,6,30,0,9.1,-2,,
2008,1,1,7,30,0,8.7,-2,,
2008,1,1,8,30,7,8.4,-1,,
2008,1,1,9,30,29,8.2,-1,,
2008,1,1,10,30,214,8,0,,
2008,1,1,11,30,225,7.8,0,,
2008,1,1,12,30,147,7.6,0,,
2008,1,1,13,30,246,7.4,0,,
2008,1,1,14,30,152,7.1,-1,,
2008,1,1,15,30,66,6.9,-2,,
2008,1,1,16,30,57,6.8,-2,,
2008,1,1,17,30,0,6.9,-3,,
2008,1,1,18,30,0,7.1,-4,,
2008,1,1,19,30,0,7.2,-4,,
2008,1,1,20,30,0,7.3,-5,,
2008,1,1,21,30,0,7.4,-5,,
2008,1,1,22,30,0,7.5,-6,,
2008,1,1,23,30,0,7.6,-6,,
2008,1,2,0,30,0,7.7,-6,,
2008,1,2,1,30,0,7.6,-6,,
2008,1,2,2,30,0,7.4,-6,,
2008,1,2,3,30,0,7.2,-5,,
2008,1,2,4,30,0,7,-5,,
2008,1,2,5,30,0,6.8,-5,,
2008,1,2,6,30,0,6.7,-5,,
2008,1,2,7,30,0,6.7,-5,,
2008,1,2,8,30,52,6.7,-5,,
2008,1,2,9,30,204,6.6,-5,,
2008,1,2,10,30,344,6.5,-5,,
2008,1,2,11,30,262,6.4,-5,,
2008,1,2,12,30,288,6.3,-5,,
2008,1,2,13,30,249,6.1,-5,,
2008,1,2,14,30,159,5.9,-6,,
2008,1,2,15,30,82,5.6,-6,,
2008,1,2,16,30,90,5.2,-7,,
2008,1,2,17,30,0,4.9,-7,,
2008,1,2,18,30,0,4.5,-8,,
2008,1,2,19,30,0,4.3,-8,,
2008,1,2,20,30,0,4.1,-9,,
2008,1,2,21,30,0,3.9,-9,,
2008,1,2,22,30,0,3.6,-9,,
2008,1,2,23,30,0,3.4,-9,,
2008,1,3,0,30,0,3.3,-9,,
2008,1,3,1,30,0,3,-9,,
2008,1,3,2,30,0,2.7,-9,,
2008,1,3,3,30,0,2.6,-9,,
2008,1,3,4,30,0,2.5,-9,,
2008,1,3,5,30,0,2.3,-9,,
2008,1,3,6,30,0,2.2,-9,,
2008,1,3,7,30,0,2.2,-9,,
2008,1,3,8,30,61,2.2,-8,,
2008,1,3,9,30,218,2.3,-7,,
2008,1,3,10,30,361,2.6,-6,,
2008,1,3,11,30,456,3.1,-5,,
2008,1,3,12,30,261,3.5,-5,,
2008,1,3,13,30,240,3.8,-5,,
2008,1,3,14,30,163,3.9,-5,,
2008,1,3,15,30,122,3.7,-5,,
2008,1,3,16,30,93,3.3,-5,,
2008,1,3,17,30,0,2.8,-6,,
2008,1,3,18,30,0,2.6,-6,,
2008,1,3,19,30,0,2.7,-7,,
2008,1,3,20,30,0,3.1,-8,,
2008,1,3,21,30,0,3.4,-8,,
2008,1,3,22,30,0,3.4,-9,,
2008,1,3,23,30,0,3.4,-9,,
2008,1,4,0,30,0,3.4,-9,,
2008,1,4,1,30,0,3.4,-9,,
2008,1,4,2,30,0,3.4,-9,,
2008,1,4,3,30,0,3.4,-9,,
2008,1,4,4,30,0,3.4,-9,,
2008,1,4,5,30,0,3.6,-9,,
2008,1,4,6,30,0,3.8,-9,,
2008,1,4,7,30,0,4.1,-8,,
2008,1,4,8,30,63,4.5,-7,,
2008,1,4,9,30,221,4.9,-4,,
2008,1,4,10,30,362,5.7,-1,,
2008,1,4,11,30,456,6.3,0,,
2008,1,4,12,30,493,6.2,0,,
2008,1,4,13,30,458,5.8,1,,
2008,1,4,14,30,370,5.2,2,,
2008,1,4,15,30,209,4.7,1,,
2008,1,4,16,30,87,4.2,0,,
2008,1,4,17,30,0,3.9,0,,
2008,1,4,18,30,0,3.9,0,,
2008,1,4,19,30,0,4.1,0,,
2008,1,4,20,30,0,4.1,0,,
2008,1,4,21,30,0,3.9,-1,,
2008,1,4,22,30,0,3.8,-1,,
2008,1,4,23,30,0,3.7,-1,,
2008,1,5,0,30,0,3.8,-1,,
2008,1,5,1,30,0,3.9,-1,,
2008,1,5,2,30,0,4,0,,
2008,1,5,3,30,0,4.4,0,,
2008,1,5,4,30,0,4.8,0,,
2008,1,5,5,30,0,4.9,0,,
2008,1,5,6,30,0,4.9,0,,
2008,1,5,7,30,0,4.8,0,,
2008,1,5,8,30,6,4.9,0,,
2008,1,5,9,30,36,5,1,,
2008,1,5,10,30,116,5.3,1,,
2008,1,5,11,30,146,5.8,1,,
2008,1,5,12,30,141,5.9,1,,
2008,1,5,13,30,191,5.7,1,,
2008,1,5,14,30,39,5.3,2,,
2008,1,5,15,30,41,4.9,2,,
2008,1,5,16,30,23,4.6,2,,
2008,1,5,17,30,0,4.6,2,,
2008,1,5,18,30,0,4.6,2,,
2008,1,5,19,30,0,4.7,3,,
2008,1,5,20,30,0,4.8,3,,
2008,1,5,21,30,0,4.9,3,,
2008,1,5,22,30,0,4.9,3,,
2008,1,5,23,30,0,4.8,3,,
2008,1,6,0,30,0,4.6,3,,
2008,1,6,1,30,0,4.5,3,,
2008,1,6,2,30,0,4.3,3,,
2008,1,6,3,30,0,4.2,3,,
2008,1,6,4,30,0,4.2,3,,
2008,1,6,5,30,0,4.2,4,,
2008,1,6,6,30,0,4.2,4,,
2008,1,6,7,30,0,4.3,4,,
2008,1,6,8,30,56,4.4,4,,
2008,1,6,9,30,204,4.8,5,,
2008,1,6,10,30,60,5.2,6,,
2008,1,6,11,30,76,5.4,7,,
2008,1,6,12,30,144,5.5,8,,
2008,1,6,13,30,138,5.6,8,,
2008,1,6,14,30,198,5.6,9,,
2008,1,6,15,30,18,5.4,8,,
2008,1,6,16,30,48,5.1,8,,
2008,1,6,17,30,0,5.1,8,,
2008,1,6,18,30,0,5.2,8,,
2008,1,6,19,30,0,5,8,,
2008,1,6,20,30,0,4.7,8,,
2008,1,6,21,30,0,5.1,8,,
2008,1,6,22,30,0,5.6,9,,
2008,1,6,23,30,0,5.8,10,,
2008,1,7,0,30,0,5.8,10,,
2008,1,7,1,30,0,5.2,10,,
2008,1,7,2,30,0,4.8,9,,
2008,1,7,3,30,0,4.9,9,,
2008,1,7,4,30,0,5.1,10,,
2008,1,7,5,30,0,5.1,10,,
2008,1,7,6,30,0,5,10,,
2008,1,7,7,30,0,4.9,10,,
2008,1,7,8,30,52,5,11,,
2008,1,7,9,30,191,5.4,12,,
2008,1,7,10,30,211,5.8,14,,
2008,1,7,11,30,269,6.1,15,,
2008,1,7,12,30,354,6.3,16,,
2008,1,7,13,30,278,6.5,17,,
2008,1,7,14,30,248,6.4,17,,
2008,1,7,15,30,168,5.9,16,,
2008,1,7,16,30,89,5.5,15,,
2008,1,7,17,30,0,5.3,14,,
2008,1,7,18,30,0,5.1,13,,
2008,1,7,19,30,0,4.9,12,,
2008,1,7,20,30,0,4.6,12,,
2008,1,7,21,30,0,4.4,12,,
2008,1,7,22,30,0,4,11,,
2008,1,7,23,30,0,3.9,11,,
2008,1,8,0,30,0,4.3,11,,
2008,1,8,1,30,0,4.8,11,,
2008,1,8,2,30,0,5,11,,
2008,1,8,3,30,0,4.9,10,,
2008,1,8,4,30,0,4.6,10,,
2008,1,8,5,30,0,4.7,10,,
2008,1,8,6,30,0,5.2,10,,
2008,1,8,7,30,0,5.8,10,,
2008,1,8,8,30,41,6.4,10,,
2008,1,8,9,30,144,7.3,12,,
2008,1,8,10,30,259,8.2,14,,
2008,1,8,11,30,126,9.1,16,,
2008,1,8,12,30,70,9.6,17,,
2008,1,8,13,30,79,9.3,18,,
2008,1,8,14,30,40,8.5,17,,
2008,1,8,15,30,30,7.6,16,,
2008,1,8,16,30,11,7,15,,
2008,1,8,17,30,0,6.6,15,,
2008,1,8,18,30,0,6.8,15,,
2008,1,8,19,30,0,7.1,15,,
2008,1,8,20,30,0,7.7,15,,
2008,1,8,21,30,0,9,15,,
2008,1,8,22,30,0,10.3,15,,
2008,1,8,23,30,0,10.7,14,,
2008,1,9,0,30,0,10.6,11,,
2008,1,9,1,30,0,9.9,7,,
2008,1,9,2,30,0,9.2,4,,
2008,1,9,3,30,0,8.9,4,,
2008,1,9,4,30,0,7.4,3,,
2008,1,9,5,30,0,5.3,3,,
2008,1,9,6,30,0,4,2,,
2008,1,9,7,30,0,3.9,2,,
2008,1,9,8,30,64,4.6,3,,
2008,1,9,9,30,223,5.3,4,,
2008,1,9,10,30,363,5.6,5,,
2008,1,9,11,30,316,5.5,6,,
2008,1,9,12,30,492,5.1,7,,
2008,1,9,13,30,467,4.6,8,,
2008,1,9,14,30,386,4,7,,
2008,1,9,15,30,205,2.6,6,,
2008,1,9,16,30,81,1.3,4,,
2008,1,9,17,30,0,1,3,,
2008,1,9,18,30,0,0.9,3,,
2008,1,9,19,30,0,0.5,4,,
2008,1,9,20,30,0,0.3,4,,
2008,1,9,21,30,0,0.6,3,,
2008,1,9,22,30,0,0.9,2,,
2008,1,9,23,30,0,1.1,1,,
2008,1,10,0,30,0,1.2,0,,
2008,1,10,1,30,0,1.2,0,,
