Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2002,1,1,0,30,0,0.2,-1,35.45,-97.5
2002,1,1,1,30,0,0.5,-1,,
2002,1,1,2,30,0,0.6,-1,,
2002,1,1,3,30,0,0.6,-2,,
2002,1,1,4,30,0,0.8,-2,,
2002,1,1,5,30,0,0.9,-2,,
2002,1,1,6,30,0,1,-2,,
2002,1,1,7,30,0,1.4,-1,,
2002,1,1,8,30,109,1.9,0,,
2002,1,1,9,30,280,2.1,0,,
2002,1,1,10,30,301,2.2,1,,
2002,1,1,11,30,417,2.3,2,,
2002,1,1,12,30,461,2.3,2,,
2002,1,1,13,30,394,2.3,2,,
2002,1,1,14,30,350,2.2,2,,
2002,1,1,15,30,293,1.6,1,,
2002,1,1,16,30,105,1.1,0,,
2002,1,1,17,30,0,1.1,-1,,
2002,1,1,18,30,0,1.1,-2,,
2002,1,1,19,30,0,1,-2,,
2002,1,1,20,30,0,0.9,-2,,
2002,1,1,21,30,0,0.7,-2,,
2002,1,1,22,30,0,0.6,-2,,
2002,1,1,23,30,0,0.6,-2,,
2002,1,2,0,30,0,0.8,-2,,
2002,1,2,1,30,0,1.3,-2,,
2002,1,2,2,30,0,2,-2,,
2002,1,2,3,30,0,2.5,-3,,
2002,1,2,4,30,0,3,-3,,
2002,1,2,5,30,0,3.5,-3,,
2002,1,2,6,30,0,4,-4,,
2002,1,2,7,30,0,4.4,-4,,
2002,1,2,8,30,56,4.6,-5,,
2002,1,2,9,30,213,4.8,-4,,
2002,1,2,10,30,418,4.8,-3,,
2002,1,2,11,30,524,4.8,-2,,
2002,1,2,12,30,570,4.7,-2,,
2002,1,2,13,30,544,4.6,-2,,
2002,1,2,14,30,456,4.5,-2,,
2002,1,2,15,30,314,4.2,-3,,
2002,1,2,16,30,139,3.5,-4,,
2002,1,2,17,30,0,2.7,-5,,
2002,1,2,18,30,0,2.2,-5,,
2002,1,2,19,30,0,1.9,-5,,
2002,1,2,20,30,0,1.7,-6,,
2002,1,2,21,30,0,1.4,-6,,
2002,1,2,22,30,0,0.9,-6,,
2002,1,2,23,30,0,0.5,-6,,
2002,1,3,0,30,0,0.4,-6,,
2002,1,3,1,30,0,0.4,-7,,
2002,1,3,2,30,0,0.4,-7,,
2002,1,3,3,30,0,0.5,-7,,
2002,1,3,4,30,0,0.7,-8,,
2002,1,3,5,30,0,0.9,-8,,
2002,1,3,6,30,0,1,-9,,
2002,1,3,7,30,0,1.4,-8,,
2002,1,3,8,30,120,2.3,-6,,
2002,1,3,9,30,300,2.9,-3,,
2002,1,3,10,30,450,3.2,-1,,
2002,1,3,11,30,548,3.4,0,,
2002,1,3,12,30,583,3.5,1,,
2002,1,3,13,30,553,3.6,2,,
2002,1,3,14,30,462,3.5,2,,
2002,1,3,15,30,316,2.9,1,,
2002,1,3,16,30,141,2,-1,,
2002,1,3,17,30,0,2,-2,,
2002,1,3,18,30,0,2.6,-2,,
2002,1,3,19,30,0,3.2,-2,,
2002,1,3,20,30,0,3.5,-2,,
2002,1,3,21,30,0,3.6,-2,,
2002,1,3,22,30,0,3.6,-3,,
2002,1,3,23,30,0,3.6,-3,,
2002,1,4,0,30,0,3.8,-4,,
2002,1,4,1,30,0,3.9,-4,,
2002,1,4,2,30,0,4,-4,,
2002,1,4,3,30,0,4.1,-4,,
2002,1,4,4,30,0,4.3,-4,,
2002,1,4,5,30,0,4.5,-4,,
2002,1,4,6,30,0,4.7,-4,,
2002,1,4,7,30,0,4.9,-3,,
2002,1,4,8,30,26,5.3,-1,,
2002,1,4,9,30,144,5.9,0,,
2002,1,4,10,30,278,6.1,1,,
2002,1,4,11,30,426,6,3,,
2002,1,4,12,30,288,6,4,,
2002,1,4,13,30,202,5.5,4,,
2002,1,4,14,30,283,5,3,,
2002,1,4,15,30,24,4.6,2,,
2002,1,4,16,30,60,4,1,,
2002,1,4,17,30,0,3.4,1,,
2002,1,4,18,30,0,3.1,1,,
2002,1,4,19,30,0,2.8,0,,
2002,1,4,20,30,0,2.4,0,,
2002,1,4,21,30,0,2.2,0,,
2002,1,4,22,30,0,2.2,0,,
2002,1,4,23,30,0,2.2,0,,
2002,1,5,0,30,0,2.2,0,,
2002,1,5,1,30,0,2,0,,
2002,1,5,2,30,0,1.8,0,,
2002,1,5,3,30,0,1.4,0,,
2002,1,5,4,30,0,1,0,,
2002,1,5,5,30,0,0.8,0,,
2002,1,5,6,30,0,0.8,0,,
2002,1,5,7,30,0,1.4,0,,
2002,1,5,8,30,54,2.9,0,,
2002,1,5,9,30,80,4.3,2,,
2002,1,5,10,30,82,4.1,4,,
2002,1,5,11,30,313,3.7,6,,
2002,1,5,12,30,446,4,5,,
2002,1,5,13,30,245,4.6,5,,
2002,1,5,14,30,328,4.7,6,,
2002,1,5,15,30,164,3.7,5,,
2002,1,5,16,30,140,2.5,3,,
2002,1,5,17,30,0,2.4,1,,
2002,1,5,18,30,0,2.5,0,,
2002,1,5,19,30,0,2.5,0,,
2002,1,5,20,30,0,2.5,0,,
2002,1,5,21,30,0,2.4,0,,
2002,1,5,22,30,0,2.5,0,,
2002,1,5,23,30,0,2.6,0,,
2002,1,6,0,30,0,2.8,-1,,
2002,1,6,1,30,0,2.9,-1,,
2002,1,6,2,30,0,2.9,-1,,
2002,1,6,3,30,0,3.2,-1,,
2002,1,6,4,30,0,3.5,-1,,
2002,1,6,5,30,0,3.5,-1,,
2002,1,6,6,30,0,3.5,-1,,
2002,1,6,7,30,0,4,0,,
2002,1,6,8,30,114,4.6,0,,
2002,1,6,9,30,289,5.3,2,,
2002,1,6,10,30,436,6,5,,
2002,1,6,11,30,535,6.3,6,,
2002,1,6,12,30,295,6.5,7,,
2002,1,6,13,30,384,6.5,7,,
2002,1,6,14,30,390,6.1,7,,
2002,1,6,15,30,127,5,6,,
2002,1,6,16,30,62,3.5,3,,
2002,1,6,17,30,0,2.9,0,,
2002,1,6,18,30,0,3,0,,
2002,1,6,19,30,0,3,0,,
2002,1,6,20,30,0,2.8,-1,,
2002,1,6,21,30,0,2.9,-2,,
2002,1,6,22,30,0,3.2,-2,,
2002,1,6,23,30,0,3.1,-2,,
2002,1,7,0,30,0,2.7,-3,,
2002,1,7,1,30,0,2.5,-3,,
2002,1,7,2,30,0,2.6,-4,,
2002,1,7,3,30,0,2.4,-4,,
2002,1,7,4,30,0,2.1,-4,,
2002,1,7,5,30,0,1.8,-5,,
2002,1,7,6,30,0,1.5,-5,,
2002,1,7,7,30,0,1.7,-4,,
2002,1,7,8,30,121,1.9,-2,,
2002,1,7,9,30,303,1.1,0,,
2002,1,7,10,30,351,0.8,0,,
2002,1,7,11,30,550,1.6,2,,
2002,1,7,12,30,582,2.4,4,,
2002,1,7,13,30,551,3,5,,
2002,1,7,14,30,461,3.1,6,,
2002,1,7,15,30,322,2.3,4,,
2002,1,7,16,30,150,1.6,1,,
2002,1,7,17,30,0,1.9,0,,
2002,1,7,18,30,0,2.2,0,,
2002,1,7,19,30,0,2.5,0,,
2002,1,7,20,30,0,3,0,,
2002,1,7,21,30,0,3.4,0,,
2002,1,7,22,30,0,3.9,0,,
2002,1,7,23,30,0,4,0,,
2002,1,8,0,30,0,3.6,0,,
2002,1,8,1,30,0,3.2,0,,
2002,1,8,2,30,0,2.5,0,,
2002,1,8,3,30,0,1.9,-1,,
2002,1,8,4,30,0,1.6,0,,
2002,1,8,5,30,0,1.6,0,,
2002,1,8,6,30,0,1.6,0,,
2002,1,8,7,30,0,2.2,1,,
2002,1,8,8,30,75,2.8,3,,
2002,1,8,9,30,187,2.7,5,,
2002,1,8,10,30,312,2.4,9,,
2002,1,8,11,30,410,2.5,12,,
2002,1,8,12,30,510,2.8,15,,
2002,1,8,13,30,531,3,16,,
2002,1,8,14,30,448,2.7,17,,
2002,1,8,15,30,314,2.1,15,,
2002,1,8,16,30,104,2.3,12,,
2002,1,8,17,30,0,3,10,,
2002,1,8,18,30,0,3.8,10,,
2002,1,8,19,30,0,4,9,,
2002,1,8,20,30,0,3.9,9,,
2002,1,8,21,30,0,3.8,8,,
2002,1,8,22,30,0,3.5,7,,
2002,1,8,23,30,0,3.2,6,,
2002,1,9,0,30,0,2.9,5,,
2002,1,9,1,30,0,2.5,4,,
2002,1,9,2,30,0,2.3,4,,
2002,1,9,3,30,0,2.1,4,,
2002,1,9,4,30,0,1.9,3,,
2002,1,9,5,30,0,1.8,3,,
2002,1,9,6,30,0,1.8,3,,
2002,1,9,7,30,0,2.2,4,,
2002,1,9,8,30,75,3.1,7,,
2002,1,9,9,30,200,3.3,9,,
2002,1,9,10,30,329,3.3,13,,
2002,1,9,11,30,529,3.9,16,,
2002,1,9,12,30,568,4.3,19,,
2002,1,9,13,30,495,4.6,20,,
2002,1,9,14,30,381,4.5,19,,
2002,1,9,15,30,260,3.7,17,,
2002,1,9,16,30,122,3,14,,
2002,1,9,17,30,0,2.9,12,,
2002,1,9,18,30,0,3,11,,
2002,1,9,19,30,0,3,10,,
2002,1,9,20,30,0,2.8,9,,
2002,1,9,21,30,0,2.4,8,,
2002,1,9,22,30,0,1.9,7,,
2002,1,9,23,30,0,1.5,6,,
2002,1,10,0,30,0,1.1,6,,
2002,1,10,1,30,0,0.6,6,,
2002,1,10,2,30,0,1.1,7,,
2002,1,10,3,30,0,2.8,6,,
2002,1,10,4,30,0,4,6,,
2002,1,10,5,30,0,4.6,5,,
2002,1,10,6,30,0,5.1,5,,
2002,1,10,7,30,0,5.8,5,,
2002,1,10,8,30,19,6,5,,
2002,1,10,9,30,99,6.1,6,,
2002,1,10,10,30,137,6.4,7,,
2002,1,10,11,30,307,6.7,8,,
2002,1,10,12,30,366,6.8,9,,
2002,1,10,13,30,461,6.7,9,,
2002,1,10,14,30,367,6.1,9,,
2002,1,10,15,30,276,5.1,9,,
2002,1,10,16,30,99,3.6,7,,
2002,1,10,17,30,0,2.7,5,,
2002,1,10,18,30,0,2.6,4,,
2002,1,10,19,30,0,2.5,4,,
2002,1,10,20,30,0,2.5,4,,
2002,1,10,21,30,0,2.8,4,,
2002,1,10,22,30,0,3,4,,
2002,1,10,23,30,0,2.9,3,,
2002,1,11,0,30,0,2.7,1,,
2002,1,11,1,30,0,2.4,0,,
2002,1,11,2,30,0,2.2,0,,
2002,1,11,3,30,0,2.1,0,,
2002,1,11,4,30,0,2,-1,,
2002,1,11,5,30,0,1.8,-2,,
2002,1,11,6,30,0,1.7,-3,,
