Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2013,1,1,0,30,0,2.1,-9,44.65,-100.02
2013,1,1,1,30,0,1.9,-10,,
2013,1,1,2,30,0,1.7,-10,,
2013,1,1,3,30,0,1.5,-10,,
2013,1,1,4,30,0,1.4,-10,,
2013,1,1,5,30,0,1.4,-11,,
2013,1,1,6,30,0,1.4,-10,,
2013,1,1,7,30,0,1.7,-10,,
2013,1,1,8,30,2,2.2,-9,,
2013,1,1,9,30,25,2.7,-8,,
2013,1,1,10,30,48,3,-6,,
2013,1,1,11,30,366,3.3,-4,,
2013,1,1,12,30,408,3.8,-3,,
2013,1,1,13,30,393,4,-1,,
2013,1,1,14,30,323,3.8,-1,,
2013,1,1,15,30,208,2.5,-3,,
2013,1,1,16,30,69,1.5,-5,,
2013,1,1,17,30,0,1.4,-7,,
2013,1,1,18,30,0,1.5,-7,,
2013,1,1,19,30,0,1.8,-7,,
2013,1,1,20,30,0,2.2,-6,,
2013,1,1,21,30,0,2.8,-5,,
2013,1,1,22,30,0,3.1,-4,,
2013,1,1,23,30,0,3.3,-4,,
2013,1,2,0,30,0,3.5,-4,,
2013,1,2,1,30,0,3.7,-3,,
2013,1,2,2,30,0,4,-3,,
2013,1,2,3,30,0,4.4,-3,,
2013,1,2,4,30,0,4.8,-3,,
2013,1,2,5,30,0,5.2,-3,,
2013,1,2,6,30,0,5.1,-3,,
2013,1,2,7,30,0,4.8,-4,,
2013,1,2,8,30,2,4.8,-3,,
2013,1,2,9,30,22,4.9,-2,,
2013,1,2,10,30,61,5.4,-1,,
2013,1,2,11,30,53,5.9,0,,
2013,1,2,12,30,84,5.8,0,,
2013,1,2,13,30,128,5.5,0,,
2013,1,2,14,30,107,5.1,0,,
2013,1,2,15,30,196,4.4,0,,
2013,1,2,16,30,63,4,-1,,
2013,1,2,17,30,0,4.3,-2,,
2013,1,2,18,30,0,4.6,-2,,
2013,1,2,19,30,0,4.7,-3,,
2013,1,2,20,30,0,4.6,-3,,
2013,1,2,21,30,0,4.5,-4,,
2013,1,2,22,30,0,4.2,-6,,
2013,1,2,23,30,0,3.6,-7,,
2013,1,3,0,30,0,3,-9,,
2013,1,3,1,30,0,2.4,-10,,
2013,1,3,2,30,0,1.9,-11,,
2013,1,3,3,30,0,1.6,-11,,
2013,1,3,4,30,0,1.4,-11,,
2013,1,3,5,30,0,1.5,-11,,
2013,1,3,6,30,0,1.7,-11,,
2013,1,3,7,30,0,2,-11,,
2013,1,3,8,30,15,2.7,-10,,
2013,1,3,9,30,141,3.5,-7,,
2013,1,3,10,30,270,4.1,-5,,
2013,1,3,11,30,361,4.3,-3,,
2013,1,3,12,30,402,4.1,-1,,
2013,1,3,13,30,388,3.9,-1,,
2013,1,3,14,30,321,3.4,-1,,
2013,1,3,15,30,209,2.4,-2,,
2013,1,3,16,30,72,1.7,-4,,
2013,1,3,17,30,0,2,-5,,
2013,1,3,18,30,0,2.4,-6,,
2013,1,3,19,30,0,2.8,-6,,
2013,1,3,20,30,0,3.1,-6,,
2013,1,3,21,30,0,3.3,-6,,
2013,1,3,22,30,0,3.3,-6,,
2013,1,3,23,30,0,3.2,-7,,
2013,1,4,0,30,0,3.1,-7,,
2013,1,4,1,30,0,3,-7,,
2013,1,4,2,30,0,2.8,-8,,
2013,1,4,3,30,0,2.6,-8,,
2013,1,4,4,30,0,2.6,-9,,
2013,1,4,5,30,0,2.6,-9,,
2013,1,4,6,30,0,2.5,-10,,
2013,1,4,7,30,0,2.5,-10,,
2013,1,4,8,30,15,2.9,-9,,
2013,1,4,9,30,147,3.2,-6,,
2013,1,4,10,30,280,3,-4,,
2013,1,4,11,30,374,2.5,-2,,
2013,1,4,12,30,417,2.3,0,,
2013,1,4,13,30,403,2.1,0,,
2013,1,4,14,30,334,1.6,1,,
2013,1,4,15,30,219,1.1,0,,
2013,1,4,16,30,78,1.1,-1,,
2013,1,4,17,30,0,1.2,-2,,
2013,1,4,18,30,0,1.4,-3,,
2013,1,4,19,30,0,1.5,-4,,
2013,1,4,20,30,0,1.6,-5,,
2013,1,4,21,30,0,1.6,-6,,
2013,1,4,22,30,0,1.8,-6,,
2013,1,4,23,30,0,2,-6,,
2013,1,5,0,30,0,2.2,-7,,
2013,1,5,1,30,0,2.3,-7,,
2013,1,5,2,30,0,2.5,-7,,
2013,1,5,3,30,0,2.7,-7,,
2013,1,5,4,30,0,2.9,-7,,
2013,1,5,5,30,0,3.1,-6,,
2013,1,5,6,30,0,3.4,-6,,
2013,1,5,7,30,0,3.7,-6,,
2013,1,5,8,30,14,4.4,-5,,
2013,1,5,9,30,134,5.3,-3,,
2013,1,5,10,30,83,6.9,-1,,
2013,1,5,11,30,142,8.1,-1,,
2013,1,5,12,30,389,8.1,-2,,
2013,1,5,13,30,376,7.8,-2,,
2013,1,5,14,30,99,7.6,-3,,
2013,1,5,15,30,71,7,-3,,
2013,1,5,16,30,71,5.8,-4,,
2013,1,5,17,30,0,4.2,-6,,
2013,1,5,18,30,0,2.9,-7,,
2013,1,5,19,30,0,2.1,-8,,
2013,1,5,20,30,0,1.5,-9,,
2013,1,5,21,30,0,1.3,-9,,
2013,1,5,22,30,0,1.7,-10,,
2013,1,5,23,30,0,2.2,-9,,
2013,1,6,0,30,0,2.6,-8,,
2013,1,6,1,30,0,2.7,-8,,
2013,1,6,2,30,0,2.8,-8,,
2013,1,6,3,30,0,2.8,-8,,
2013,1,6,4,30,0,2.6,-8,,
2013,1,6,5,30,0,2.4,-8,,
2013,1,6,6,30,0,2,-8,,
2013,1,6,7,30,0,1.9,-8,,
2013,1,6,8,30,15,2.1,-7,,
2013,1,6,9,30,142,2.3,-6,,
2013,1,6,10,30,203,2.4,-4,,
2013,1,6,11,30,371,2.8,-2,,
2013,1,6,12,30,167,3.5,0,,
2013,1,6,13,30,289,4,0,,
2013,1,6,14,30,156,4.3,1,,
2013,1,6,15,30,154,4.4,0,,
2013,1,6,16,30,56,4.4,0,,
2013,1,6,17,30,0,4.2,-1,,
2013,1,6,18,30,0,3.8,-1,,
2013,1,6,19,30,0,3.4,-2,,
2013,1,6,20,30,0,3.5,-3,,
2013,1,6,21,30,0,3.8,-3,,
2013,1,6,22,30,0,3.8,-3,,
2013,1,6,23,30,0,3.7,-3,,
2013,1,7,0,30,0,3.5,-3,,
2013,1,7,1,30,0,3.3,-3,,
2013,1,7,2,30,0,3,-2,,
2013,1,7,3,30,0,2.7,-2,,
2013,1,7,4,30,0,2.4,-2,,
2013,1,7,5,30,0,2.2,-2,,
2013,1,7,6,30,0,2.1,-3,,
2013,1,7,7,30,0,2.2,-4,,
2013,1,7,8,30,16,2.8,-3,,
2013,1,7,9,30,148,3.5,-1,,
2013,1,7,10,30,29,3.3,0,,
2013,1,7,11,30,73,2.8,1,,
2013,1,7,12,30,156,2.2,2,,
2013,1,7,13,30,247,1.7,3,,
2013,1,7,14,30,51,1.3,3,,
2013,1,7,15,30,219,1.2,2,,
2013,1,7,16,30,81,1.2,0,,
2013,1,7,17,30,0,1.1,0,,
2013,1,7,18,30,0,0.6,0,,
2013,1,7,19,30,0,0.6,0,,
2013,1,7,20,30,0,1.1,-1,,
2013,1,7,21,30,0,1.4,-2,,
2013,1,7,22,30,0,1.6,-3,,
2013,1,7,23,30,0,1.8,-3,,
2013,1,8,0,30,0,2.1,-2,,
2013,1,8,1,30,0,2.7,-1,,
2013,1,8,2,30,0,3.4,-1,,
2013,1,8,3,30,0,3.9,-1,,
2013,1,8,4,30,0,4,-1,,
2013,1,8,5,30,0,3.6,-1,,
2013,1,8,6,30,0,3,-2,,
2013,1,8,7,30,0,2.6,-2,,
2013,1,8,8,30,4,2.9,-1,,
2013,1,8,9,30,39,3.7,0,,
2013,1,8,10,30,269,4.3,1,,
2013,1,8,11,30,366,4.6,4,,
2013,1,8,12,30,413,4.9,6,,
2013,1,8,13,30,401,5,7,,
2013,1,8,14,30,334,5,6,,
2013,1,8,15,30,221,4,4,,
2013,1,8,16,30,83,2.8,1,,
2013,1,8,17,30,0,2.2,0,,
2013,1,8,18,30,0,2.4,0,,
2013,1,8,19,30,0,3.7,0,,
2013,1,8,20,30,0,5.1,0,,
2013,1,8,21,30,0,4.9,0,,
2013,1,8,22,30,0,4.5,0,,
2013,1,8,23,30,0,4.7,0,,
2013,1,9,0,30,0,4.6,-1,,
2013,1,9,1,30,0,4.2,-2,,
2013,1,9,2,30,0,3.8,-2,,
2013,1,9,3,30,0,3.4,-3,,
2013,1,9,4,30,0,2.8,-3,,
2013,1,9,5,30,0,2.1,-3,,
2013,1,9,6,30,0,1.6,-4,,
2013,1,9,7,30,0,1.2,-3,,
2013,1,9,8,30,17,1.2,-2,,
2013,1,9,9,30,147,1.8,0,,
2013,1,9,10,30,278,3,1,,
2013,1,9,11,30,371,4.2,3,,
2013,1,9,12,30,413,4.9,4,,
2013,1,9,13,30,401,4.4,5,,
2013,1,9,14,30,335,2.7,5,,
2013,1,9,15,30,224,1.7,3,,
2013,1,9,16,30,87,1.8,1,,
2013,1,9,17,30,0,2.2,0,,
2013,1,9,18,30,0,2.7,0,,
2013,1,9,19,30,0,3.2,1,,
2013,1,9,20,30,0,3.7,0,,
2013,1,9,21,30,0,4.5,0,,
2013,1,9,22,30,0,5.4,0,,
2013,1,9,23,30,0,5.7,0,,
2013,1,10,0,30,0,5.7,0,,
2013,1,10,1,30,0,5.7,0,,
2013,1,10,2,30,0,5.8,0,,
2013,1,10,3,30,0,5.9,0,,
2013,1,10,4,30,0,6.1,0,,
2013,1,10,5,30,0,6.3,0,,
2013,1,10,6,30,0,6.4,0,,
2013,1,10,7,30,0,6.4,0,,
2013,1,10,8,30,17,6.6,0,,
2013,1,10,9,30,149,6.8,1,,
2013,1,10,10,30,278,6.8,3,,
2013,1,10,11,30,369,7.2,6,,
2013,1,10,12,30,307,7.4,8,,
2013,1,10,13,30,305,6.8,9,,
2013,1,10,14,30,251,6.1,8,,
2013,1,10,15,30,182,6,6,,
2013,1,10,16,30,60,6.1,3,,
2013,1,10,17,30,0,5.8,1,,
