Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2013,1,1,0,30,0,2.8,12,30.29,-97.78
2013,1,1,1,30,0,3,11,,
2013,1,1,2,30,0,3.2,11,,
2013,1,1,3,30,0,3.6,10,,
2013,1,1,4,30,0,3.9,9,,
2013,1,1,5,30,0,4,9,,
2013,1,1,6,30,0,4,8,,
2013,1,1,7,30,0,4.1,8,,
2013,1,1,8,30,75,4.4,8,,
2013,1,1,9,30,111,4.6,8,,
2013,1,1,10,30,197,4.7,8,,
2013,1,1,11,30,305,4.6,9,,
2013,1,1,12,30,243,4.5,9,,
2013,1,1,13,30,220,4.3,10,,
2013,1,1,14,30,245,4.1,9,,
2013,1,1,15,30,266,3.8,9,,
2013,1,1,16,30,88,2.7,8,,
2013,1,1,17,30,17,1.8,6,,
2013,1,1,18,30,0,1.9,5,,
2013,1,1,19,30,0,2.2,5,,
2013,1,1,20,30,0,2.5,4,,
2013,1,1,21,30,0,3,4,,
2013,1,1,22,30,0,3.4,3,,
2013,1,1,23,30,0,3.4,3,,
2013,1,2,0,30,0,3.2,2,,
2013,1,2,1,30,0,3,2,,
2013,1,2,2,30,0,2.8,2,,
2013,1,2,3,30,0,2.6,1,,
2013,1,2,4,30,0,2.6,1,,
2013,1,2,5,30,0,2.6,1,,
2013,1,2,6,30,0,2.6,1,,
2013,1,2,7,30,0,2.8,1,,
2013,1,2,8,30,52,3.2,1,,
2013,1,2,9,30,170,3.5,2,,
2013,1,2,10,30,211,3.4,3,,
2013,1,2,11,30,316,3.3,4,,
2013,1,2,12,30,327,3.2,4,,
2013,1,2,13,30,347,3.2,5,,
2013,1,2,14,30,269,3.1,5,,
2013,1,2,15,30,220,2.7,5,,
2013,1,2,16,30,117,1.8,4,,
2013,1,2,17,30,11,1,3,,
2013,1,2,18,30,0,1,2,,
2013,1,2,19,30,0,0.9,2,,
2013,1,2,20,30,0,0.9,2,,
2013,1,2,21,30,0,0.9,1,,
2013,1,2,22,30,0,1,1,,
2013,1,2,23,30,0,1.1,0,,
2013,1,3,0,30,0,1.2,0,,
2013,1,3,1,30,0,1.3,0,,
2013,1,3,2,30,0,1.3,0,,
2013,1,3,3,30,0,1.4,0,,
2013,1,3,4,30,0,1.5,0,,
2013,1,3,5,30,0,1.8,0,,
2013,1,3,6,30,0,2.3,0,,
2013,1,3,7,30,0,2.9,0,,
2013,1,3,8,30,56,3.4,2,,
2013,1,3,9,30,252,3.8,5,,
2013,1,3,10,30,209,4.1,7,,
2013,1,3,11,30,102,3.9,8,,
2013,1,3,12,30,95,3.8,9,,
2013,1,3,13,30,163,3.8,9,,
2013,1,3,14,30,106,3.9,10,,
2013,1,3,15,30,69,3.6,9,,
2013,1,3,16,30,35,2.5,7,,
