Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2019,1,1,0,30,0,1.8,-16.8,40.77,-111.9
2019,1,1,1,30,0,1.7,-17,,
2019,1,1,2,30,0,1.7,-16.9,,
2019,1,1,3,30,0,1.6,-16.5,,
2019,1,1,4,30,0,1.5,-16.2,,
2019,1,1,5,30,0,1.3,-15.8,,
2019,1,1,6,30,0,1.2,-15.4,,
2019,1,1,7,30,0,1,-14.9,,
2019,1,1,8,30,61,0.9,-13.8,,
2019,1,1,9,30,212,0.9,-11.3,,
2019,1,1,10,30,313,1.4,-8.6,,
2019,1,1,11,30,346,1.7,-7,,
2019,1,1,12,30,504,1.7,-6.2,,
2019,1,1,13,30,474,1.7,-5.8,,
2019,1,1,14,30,386,1.5,-5.9,,
2019,1,1,15,30,249,1.2,-7.1,,
2019,1,1,16,30,79,1.1,-8,,
2019,1,1,17,30,0,1,-10.5,,
2019,1,1,18,30,0,0.8,-11.1,,
2019,1,1,19,30,0,0.4,-11.5,,
2019,1,1,20,30,0,0.3,-11.9,,
2019,1,1,21,30,0,0.4,-12.2,,
2019,1,1,22,30,0,0.6,-12.7,,
2019,1,1,23,30,0,0.7,-13.1,,
2019,1,2,0,30,0,0.9,-13.5,,
2019,1,2,1,30,0,1,-13.9,,
2019,1,2,2,30,0,1,-13.9,,
2019,1,2,3,30,0,0.9,-13.9,,
2019,1,2,4,30,0,0.8,-13.7,,
2019,1,2,5,30,0,0.6,-13.4,,
2019,1,2,6,30,0,0.6,-12.9,,
2019,1,2,7,30,0,0.6,-12.3,,
2019,1,2,8,30,64,0.6,-11.1,,
2019,1,2,9,30,198,0.8,-9.1,,
2019,1,2,10,30,273,1.1,-7.4,,
2019,1,2,11,30,277,1.4,-6.3,,
2019,1,2,12,30,384,1.5,-5.6,,
2019,1,2,13,30,452,1.6,-5.2,,
2019,1,2,14,30,367,1.5,-5.2,,
2019,1,2,15,30,236,1.2,-5.8,,
2019,1,2,16,30,81,1,-6.2,,
2019,1,2,17,30,0,0.8,-7.9,,
2019,1,2,18,30,0,0.6,-8.5,,
2019,1,2,19,30,0,0.7,-8.9,,
2019,1,2,20,30,0,0.9,-9.3,,
2019,1,2,21,30,0,1,-9.5,,
2019,1,2,22,30,0,1,-9.5,,
2019,1,2,23,30,0,0.9,-9.5,,
2019,1,3,0,30,0,0.9,-9.4,,
2019,1,3,1,30,0,0.9,-9.1,,
2019,1,3,2,30,0,0.9,-8.9,,
2019,1,3,3,30,0,1,-8.9,,
2019,1,3,4,30,0,0.9,-8.7,,
2019,1,3,5,30,0,0.7,-8.3,,
2019,1,3,6,30,0,0.6,-8.1,,
2019,1,3,7,30,0,0.7,-8.1,,
2019,1,3,8,30,72,0.9,-7.5,,
2019,1,3,9,30,224,1.3,-5.8,,
2019,1,3,10,30,362,1.4,-3.6,,
2019,1,3,11,30,447,1.1,-1.9,,
2019,1,3,12,30,473,0.6,-0.7,,
2019,1,3,13,30,426,0.4,-0.1,,
2019,1,3,14,30,370,0.4,-0.1,,
2019,1,3,15,30,229,0.3,-0.6,,
2019,1,3,16,30,85,0.3,-1.1,,
2019,1,3,17,30,0,0.8,-3.5,,
2019,1,3,18,30,0,1,-4.6,,
2019,1,3,19,30,0,1,-4.9,,
2019,1,3,20,30,0,0.9,-4.9,,
2019,1,3,21,30,0,0.8,-5.1,,
2019,1,3,22,30,0,1,-5.6,,
2019,1,3,23,30,0,1.2,-6.1,,
2019,1,4,0,30,0,1.2,-6.1,,
2019,1,4,1,30,0,1.1,-5.8,,
2019,1,4,2,30,0,1.2,-5.9,,
2019,1,4,3,30,0,1.3,-6,,
2019,1,4,4,30,0,1.3,-5.9,,
2019,1,4,5,30,0,1.2,-5.6,,
2019,1,4,6,30,0,1.2,-5.6,,
2019,1,4,7,30,0,1.2,-5.6,,
2019,1,4,8,30,65,1.3,-4.4,,
2019,1,4,9,30,222,1.4,-1.8,,
2019,1,4,10,30,342,1.3,0.6,,
2019,1,4,11,30,325,1.1,2.1,,
2019,1,4,12,30,391,1,3,,
2019,1,4,13,30,408,1,3.6,,
2019,1,4,14,30,369,0.9,3.6,,
2019,1,4,15,30,126,0.8,2.4,,
2019,1,4,16,30,48,0.9,1.4,,
2019,1,4,17,30,0,1.3,-1.7,,
2019,1,4,18,30,0,1.4,-3,,
2019,1,4,19,30,0,1.5,-3.7,,
2019,1,4,20,30,0,1.6,-3.9,,
2019,1,4,21,30,0,1.6,-4.1,,
2019,1,4,22,30,0,1.5,-4.5,,
2019,1,4,23,30,0,1.5,-4.9,,
2019,1,5,0,30,0,1.6,-5.2,,
2019,1,5,1,30,0,1.6,-5.4,,
2019,1,5,2,30,0,1.6,-5.6,,
2019,1,5,3,30,0,1.6,-5.8,,
2019,1,5,4,30,0,1.7,-5.6,,
2019,1,5,5,30,0,1.7,-5.1,,
2019,1,5,6,30,0,1.6,-4.5,,
2019,1,5,7,30,0,1.6,-3.8,,
2019,1,5,8,30,28,1.9,-1.7,,
2019,1,5,9,30,142,2.3,1.2,,
2019,1,5,10,30,193,2.4,3,,
2019,1,5,11,30,246,2.4,3.9,,
2019,1,5,12,30,104,2.3,4.5,,
2019,1,5,13,30,90,2.3,4.6,,
2019,1,5,14,30,43,2.1,4.4,,
2019,1,5,15,30,49,2.1,3.8,,
2019,1,5,16,30,19,2.1,3.4,,
2019,1,5,17,30,0,2.4,2.8,,
2019,1,5,18,30,0,2.8,3,,
2019,1,5,19,30,0,2.8,2.9,,
2019,1,5,20,30,0,2.6,2.5,,
2019,1,5,21,30,0,2.5,2.3,,
2019,1,5,22,30,0,2.4,2.2,,
2019,1,5,23,30,0,2.4,2.2,,
2019,1,6,0,30,0,2.5,2.2,,
2019,1,6,1,30,0,2.5,2.3,,
2019,1,6,2,30,0,2.4,2.3,,
2019,1,6,3,30,0,2.3,2.2,,
2019,1,6,4,30,0,2.1,2,,
2019,1,6,5,30,0,1.8,1.8,,
2019,1,6,6,30,0,1.5,1.5,,
2019,1,6,7,30,0,1.4,1.2,,
2019,1,6,8,30,5,1.5,1.5,,
2019,1,6,9,30,10,1.9,2,,
2019,1,6,10,30,43,2.3,2.2,,
2019,1,6,11,30,24,2.5,2.2,,
2019,1,6,12,30,43,2.2,2,,
2019,1,6,13,30,53,1.3,2,,
2019,1,6,14,30,77,0.7,2.2,,
2019,1,6,15,30,127,0.7,1.4,,
2019,1,6,16,30,50,0.8,0.6,,
2019,1,6,17,30,0,1.4,-2.6,,
2019,1,6,18,30,0,1.6,-4.6,,
2019,1,6,19,30,0,1.8,-6,,
2019,1,6,20,30,0,1.9,-6.1,,
2019,1,6,21,30,0,2.2,-4.8,,
2019,1,6,22,30,0,2.4,-2.9,,
2019,1,6,23,30,0,2.5,-1.3,,
2019,1,7,0,30,0,2.7,-0.4,,
2019,1,7,1,30,0,3.1,0.1,,
2019,1,7,2,30,0,3.5,0.4,,
2019,1,7,3,30,0,3.4,0.6,,
2019,1,7,4,30,0,2.9,0.7,,
2019,1,7,5,30,0,2.4,0.7,,
2019,1,7,6,30,0,1.9,0.5,,
2019,1,7,7,30,0,1.7,0.4,,
2019,1,7,8,30,12,1.6,0.9,,
2019,1,7,9,30,31,2,2,,
2019,1,7,10,30,48,2.3,2.4,,
2019,1,7,11,30,135,2.1,2.3,,
2019,1,7,12,30,138,2,2.2,,
2019,1,7,13,30,123,1.8,2.1,,
2019,1,7,14,30,83,1.4,1.8,,
2019,1,7,15,30,68,0.9,1.3,,
2019,1,7,16,30,32,0.7,0.8,,
2019,1,7,17,30,0,0.7,-0.2,,
2019,1,7,18,30,0,0.7,-0.6,,
2019,1,7,19,30,0,0.7,-0.7,,
2019,1,7,20,30,0,0.7,-0.7,,
2019,1,7,21,30,0,0.7,-0.7,,
2019,1,7,22,30,0,1,-1,,
2019,1,7,23,30,0,1.1,-1.5,,
2019,1,8,0,30,0,1.2,-1.8,,
2019,1,8,1,30,0,1.4,-2.4,,
2019,1,8,2,30,0,1.5,-3.4,,
2019,1,8,3,30,0,1.6,-4.2,,
2019,1,8,4,30,0,1.6,-4.8,,
2019,1,8,5,30,0,1.6,-5.3,,
2019,1,8,6,30,0,1.6,-5.5,,
2019,1,8,7,30,0,1.5,-5.2,,
2019,1,8,8,30,75,1.5,-3.5,,
2019,1,8,9,30,225,1.7,-0.2,,
2019,1,8,10,30,365,1.6,2.2,,
2019,1,8,11,30,406,1.2,3,,
2019,1,8,12,30,418,1,3.4,,
2019,1,8,13,30,339,1,3.8,,
2019,1,8,14,30,285,1,4.1,,
2019,1,8,15,30,205,1,3.7,,
2019,1,8,16,30,75,1.1,3.4,,
2019,1,8,17,30,0,1.3,1.7,,
2019,1,8,18,30,0,1.4,1,,
2019,1,8,19,30,0,1.4,0.6,,
2019,1,8,20,30,0,1.4,0.7,,
2019,1,8,21,30,0,1.4,1,,
2019,1,8,22,30,0,1.5,1.2,,
2019,1,8,23,30,0,1.5,1.2,,
2019,1,9,0,30,0,1.6,1.1,,
2019,1,9,1,30,0,1.8,1,,
2019,1,9,2,30,0,2,1,,
2019,1,9,3,30,0,2.2,0.9,,
2019,1,9,4,30,0,2.3,0.6,,
2019,1,9,5,30,0,2.4,0.5,,
2019,1,9,6,30,0,2.5,0.7,,
2019,1,9,7,30,0,2.5,1.1,,
2019,1,9,8,30,45,2.7,2.1,,
2019,1,9,9,30,143,2.8,3.4,,
2019,1,9,10,30,251,2.7,4.1,,
2019,1,9,11,30,346,2.4,4.6,,
2019,1,9,12,30,404,2.1,5.1,,
2019,1,9,13,30,403,2,5.5,,
2019,1,9,14,30,322,1.7,5.6,,
