Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2014,1,1,0,30,0,0.7,2,47.53,-122.18
2014,1,1,1,30,0,0.7,2,,
2014,1,1,2,30,0,0.8,1,,
2014,1,1,3,30,0,0.7,1,,
2014,1,1,4,30,0,0.6,1,,
2014,1,1,5,30,0,0.5,1,,
2014,1,1,6,30,0,0.5,1,,
2014,1,1,7,30,0,0.4,1,,
2014,1,1,8,30,5,0.3,2,,
2014,1,1,9,30,20,0.2,3,,
2014,1,1,10,30,161,0.2,4,,
2014,1,1,11,30,152,0.1,5,,
2014,1,1,12,30,189,0.1,6,,
2014,1,1,13,30,156,0.1,6,,
2014,1,1,14,30,109,0.1,5,,
2014,1,1,15,30,52,0.1,4,,
2014,1,1,16,30,0,0.1,4,,
2014,1,1,17,30,0,0.1,4,,
2014,1,1,18,30,0,0.1,3,,
2014,1,1,19,30,0,0.1,2,,
2014,1,1,20,30,0,0.1,2,,
2014,1,1,21,30,0,0.1,2,,
2014,1,1,22,30,0,0.1,2,,
2014,1,1,23,30,0,0.2,3,,
2014,1,2,0,30,0,0.4,3,,
2014,1,2,1,30,0,0.7,3,,
2014,1,2,2,30,0,0.8,3,,
2014,1,2,3,30,0,0.8,4,,
2014,1,2,4,30,0,0.7,4,,
2014,1,2,5,30,0,0.6,3,,
2014,1,2,6,30,0,0.5,3,,
2014,1,2,7,30,0,0.5,3,,
2014,1,2,8,30,21,0.4,5,,
2014,1,2,9,30,77,0.4,6,,
2014,1,2,10,30,14,0.4,7,,
2014,1,2,11,30,23,0.3,8,,
2014,1,2,12,30,6,0.3,8,,
2014,1,2,13,30,85,0.2,7,,
2014,1,2,14,30,25,0.2,7,,
2014,1,2,15,30,7,0.2,7,,
2014,1,2,16,30,0,0.2,6,,
2014,1,2,17,30,0,0.3,6,,
2014,1,2,18,30,0,0.3,6,,
2014,1,2,19,30,0,0.2,5,,
2014,1,2,20,30,0,0.2,4,,
2014,1,2,21,30,0,0.2,4,,
2014,1,2,22,30,0,0.2,4,,
2014,1,2,23,30,0,0.2,4,,
2014,1,3,0,30,0,0.3,3,,
2014,1,3,1,30,0,0.3,2,,
2014,1,3,2,30,0,0.3,2,,
2014,1,3,3,30,0,0.2,1,,
2014,1,3,4,30,0,0.2,1,,
2014,1,3,5,30,0,0.2,1,,
2014,1,3,6,30,0,0.2,1,,
2014,1,3,7,30,0,0.2,1,,
2014,1,3,8,30,44,0.2,1,,
2014,1,3,9,30,159,0.2,2,,
2014,1,3,10,30,256,0.2,2,,
2014,1,3,11,30,314,0.2,3,,
2014,1,3,12,30,325,0.2,4,,
2014,1,3,13,30,287,0.1,4,,
2014,1,3,14,30,206,0.1,4,,
2014,1,3,15,30,94,0.1,3,,
2014,1,3,16,30,0,0.2,2,,
2014,1,3,17,30,0,0.3,1,,
2014,1,3,18,30,0,0.4,1,,
2014,1,3,19,30,0,0.5,0,,
2014,1,3,20,30,0,0.5,0,,
2014,1,3,21,30,0,0.6,0,,
2014,1,3,22,30,0,0.6,0,,
2014,1,3,23,30,0,0.6,0,,
2014,1,4,0,30,0,0.6,0,,
2014,1,4,1,30,0,0.6,0,,
2014,1,4,2,30,0,0.6,0,,
2014,1,4,3,30,0,0.5,0,,
2014,1,4,4,30,0,0.4,0,,
2014,1,4,5,30,0,0.2,0,,
2014,1,4,6,30,0,0.3,0,,
2014,1,4,7,30,0,0.5,0,,
2014,1,4,8,30,47,0.4,1,,
2014,1,4,9,30,166,0.3,3,,
2014,1,4,10,30,223,0.3,4,,
2014,1,4,11,30,327,0.3,5,,
2014,1,4,12,30,338,0.3,6,,
2014,1,4,13,30,300,0.3,5,,
2014,1,4,14,30,217,0.5,4,,
2014,1,4,15,30,102,0.6,2,,
2014,1,4,16,30,0,0.7,0,,
2014,1,4,17,30,0,0.7,0,,
2014,1,4,18,30,0,0.7,0,,
2014,1,4,19,30,0,0.7,0,,
2014,1,4,20,30,0,0.7,0,,
2014,1,4,21,30,0,0.8,0,,
2014,1,4,22,30,0,0.8,0,,
2014,1,4,23,30,0,0.9,0,,
2014,1,5,0,30,0,1,0,,
2014,1,5,1,30,0,1,0,,
2014,1,5,2,30,0,0.9,0,,
2014,1,5,3,30,0,0.7,0,,
2014,1,5,4,30,0,0.5,-1,,
2014,1,5,5,30,0,0.4,-1,,
2014,1,5,6,30,0,0.2,-1,,
2014,1,5,7,30,0,0.2,0,,
2014,1,5,8,30,46,0.2,0,,
2014,1,5,9,30,164,0.2,2,,
2014,1,5,10,30,262,0.2,3,,
2014,1,5,11,30,322,0.2,4,,
2014,1,5,12,30,334,0.2,5,,
2014,1,5,13,30,297,0.2,5,,
2014,1,5,14,30,214,0.2,3,,
2014,1,5,15,30,73,0.2,1,,
2014,1,5,16,30,0,0.2,0,,
2014,1,5,17,30,0,0.2,0,,
2014,1,5,18,30,0,0.2,0,,
2014,1,5,19,30,0,0.2,0,,
2014,1,5,20,30,0,0.2,0,,
2014,1,5,21,30,0,0.2,0,,
2014,1,5,22,30,0,0.2,0,,
2014,1,5,23,30,0,0.2,0,,
2014,1,6,0,30,0,0.2,0,,
2014,1,6,1,30,0,0.2,0,,
2014,1,6,2,30,0,0.2,0,,
2014,1,6,3,30,0,0.2,0,,
2014,1,6,4,30,0,0.2,0,,
2014,1,6,5,30,0,0.3,0,,
2014,1,6,6,30,0,0.3,0,,
2014,1,6,7,30,0,0.3,0,,
2014,1,6,8,30,21,0.3,0,,
2014,1,6,9,30,76,0.3,1,,
2014,1,6,10,30,202,0.2,2,,
2014,1,6,11,30,206,0.2,3,,
2014,1,6,12,30,144,0.2,3,,
2014,1,6,13,30,67,0.1,4,,
2014,1,6,14,30,42,0.1,3,,
2014,1,6,15,30,1,0.1,2,,
2014,1,6,16,30,0,0.4,2,,
2014,1,6,17,30,0,0.7,3,,
2014,1,6,18,30,0,0.8,3,,
2014,1,6,19,30,0,0.7,3,,
2014,1,6,20,30,0,0.6,2,,
2014,1,6,21,30,0,0.6,2,,
2014,1,6,22,30,0,0.6,2,,
2014,1,6,23,30,0,0.6,2,,
2014,1,7,0,30,0,0.6,3,,
2014,1,7,1,30,0,0.5,3,,
2014,1,7,2,30,0,0.5,3,,
2014,1,7,3,30,0,0.5,4,,
2014,1,7,4,30,0,0.5,4,,
2014,1,7,5,30,0,0.5,4,,
2014,1,7,6,30,0,0.5,4,,
2014,1,7,7,30,0,0.5,4,,
2014,1,7,8,30,1,0.5,4,,
2014,1,7,9,30,4,0.4,5,,
2014,1,7,10,30,27,0.3,5,,
2014,1,7,11,30,54,0.3,5,,
2014,1,7,12,30,91,0.4,5,,
2014,1,7,13,30,97,0.4,5,,
2014,1,7,14,30,109,0.4,4,,
2014,1,7,15,30,41,0.4,4,,
2014,1,7,16,30,0,0.5,4,,
2014,1,7,17,30,0,0.5,4,,
2014,1,7,18,30,0,0.4,4,,
2014,1,7,19,30,0,0.3,4,,
2014,1,7,20,30,0,0.2,4,,
2014,1,7,21,30,0,0.2,4,,
2014,1,7,22,30,0,0.2,4,,
2014,1,7,23,30,0,0.2,4,,
2014,1,8,0,30,0,0.2,4,,
2014,1,8,1,30,0,0.2,4,,
2014,1,8,2,30,0,0.2,4,,
2014,1,8,3,30,0,0.2,5,,
2014,1,8,4,30,0,0.2,5,,
2014,1,8,5,30,0,0.2,5,,
2014,1,8,6,30,0,0.2,5,,
2014,1,8,7,30,0,0.2,5,,
2014,1,8,8,30,5,0.2,5,,
2014,1,8,9,30,20,0.2,6,,
2014,1,8,10,30,5,0.2,6,,
2014,1,8,11,30,24,0.2,6,,
2014,1,8,12,30,115,0.2,7,,
2014,1,8,13,30,22,0.2,6,,
2014,1,8,14,30,71,0.2,6,,
2014,1,8,15,30,1,0.3,6,,
2014,1,8,16,30,0,0.3,6,,
2014,1,8,17,30,0,0.3,6,,
2014,1,8,18,30,0,0.3,6,,
2014,1,8,19,30,0,0.3,5,,
2014,1,8,20,30,0,0.3,5,,
2014,1,8,21,30,0,0.3,5,,
2014,1,8,22,30,0,0.3,4,,
2014,1,8,23,30,0,0.3,4,,
2014,1,9,0,30,0,0.3,3,,
2014,1,9,1,30,0,0.2,3,,
2014,1,9,2,30,0,0.2,2,,
2014,1,9,3,30,0,0.2,2,,
2014,1,9,4,30,0,0.3,2,,
2014,1,9,5,30,0,0.3,2,,
2014,1,9,6,30,0,0.2,2,,
2014,1,9,7,30,0,0.2,3,,
2014,1,9,8,30,7,0.2,3,,
2014,1,9,9,30,27,0.2,3,,
2014,1,9,10,30,77,0.2,4,,
2014,1,9,11,30,41,0.2,4,,
2014,1,9,12,30,85,0.2,5,,
2014,1,9,13,30,49,0.3,5,,
2014,1,9,14,30,99,0.3,4,,
2014,1,9,15,30,20,0.3,4,,
