Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2015,1,1,0,30,0,5.5,-12,43.09,-88.98
2015,1,1,1,30,0,5.2,-12,,
2015,1,1,2,30,0,5.3,-12,,
2015,1,1,3,30,0,5.4,-12,,
2015,1,1,4,30,0,5.4,-12,,
2015,1,1,5,30,0,5.4,-13,,
2015,1,1,6,30,0,5.3,-13,,
2015,1,1,7,30,0,5.5,-12,,
2015,1,1,8,30,117,6.1,-11,,
2015,1,1,9,30,113,6.6,-8,,
2015,1,1,10,30,75,6.9,-6,,
2015,1,1,11,30,125,7,-4,,
2015,1,1,12,30,125,6.9,-2,,
2015,1,1,13,30,235,6.4,-1,,
2015,1,1,14,30,144,5.5,-1,,
2015,1,1,15,30,112,4.4,-2,,
2015,1,1,16,30,0,3.8,-3,,
2015,1,1,17,30,0,3.3,-3,,
2015,1,1,18,30,0,2.7,-4,,
2015,1,1,19,30,0,2.2,-5,,
2015,1,1,20,30,0,2,-5,,
2015,1,1,21,30,0,2,-6,,
2015,1,1,22,30,0,2,-6,,
2015,1,1,23,30,0,2,-7,,
2015,1,2,0,30,0,2,-7,,
2015,1,2,1,30,0,2,-8,,
2015,1,2,2,30,0,1.9,-9,,
2015,1,2,3,30,0,1.7,-10,,
2015,1,2,4,30,0,1.4,-11,,
2015,1,2,5,30,0,1.1,-11,,
2015,1,2,6,30,0,1,-11,,
2015,1,2,7,30,0,0.9,-10,,
2015,1,2,8,30,123,0.7,-8,,
2015,1,2,9,30,258,0.7,-6,,
2015,1,2,10,30,362,1.6,-3,,
2015,1,2,11,30,416,2.5,-1,,
2015,1,2,12,30,364,2.2,0,,
2015,1,2,13,30,236,1.7,0,,
2015,1,2,14,30,164,1,-1,,
2015,1,2,15,30,81,0.8,-2,,
2015,1,2,16,30,0,1,-3,,
2015,1,2,17,30,0,1.2,-4,,
2015,1,2,18,30,0,1.5,-4,,
2015,1,2,19,30,0,2,-4,,
2015,1,2,20,30,0,2.2,-4,,
2015,1,2,21,30,0,2.2,-4,,
2015,1,2,22,30,0,2,-5,,
2015,1,2,23,30,0,1.8,-5,,
2015,1,3,0,30,0,1.6,-5,,
2015,1,3,1,30,0,1.6,-5,,
2015,1,3,2,30,0,1.6,-4,,
2015,1,3,3,30,0,1.5,-4,,
2015,1,3,4,30,0,1.6,-4,,
2015,1,3,5,30,0,1.9,-4,,
2015,1,3,6,30,0,1.8,-4,,
2015,1,3,7,30,0,1.8,-3,,
2015,1,3,8,30,14,2.1,-2,,
2015,1,3,9,30,64,1.9,-1,,
2015,1,3,10,30,65,1.2,0,,
2015,1,3,11,30,72,0.7,0,,
2015,1,3,12,30,85,0.5,0,,
2015,1,3,13,30,136,0.6,0,,
2015,1,3,14,30,15,1.1,0,,
2015,1,3,15,30,42,1.4,0,,
2015,1,3,16,30,0,1.3,-1,,
2015,1,3,17,30,0,1.4,-2,,
2015,1,3,18,30,0,1.9,-2,,
2015,1,3,19,30,0,2.5,-2,,
2015,1,3,20,30,0,2.9,-3,,
2015,1,3,21,30,0,2.9,-3,,
2015,1,3,22,30,0,2.7,-3,,
2015,1,3,23,30,0,2.6,-4,,
2015,1,4,0,30,0,2.8,-4,,
2015,1,4,1,30,0,3.3,-3,,
2015,1,4,2,30,0,3.7,-3,,
2015,1,4,3,30,0,4.1,-3,,
2015,1,4,4,30,0,4.8,-3,,
2015,1,4,5,30,0,6.1,-4,,
2015,1,4,6,30,0,7.3,-5,,
2015,1,4,7,30,0,7.8,-6,,
2015,1,4,8,30,107,7.7,-7,,
2015,1,4,9,30,32,7.6,-8,,
2015,1,4,10,30,117,7.7,-8,,
2015,1,4,11,30,244,7.9,-9,,
2015,1,4,12,30,195,7.9,-10,,
2015,1,4,13,30,208,7.8,-10,,
2015,1,4,14,30,184,7.8,-11,,
2015,1,4,15,30,135,7.5,-12,,
2015,1,4,16,30,0,7.3,-14,,
2015,1,4,17,30,0,7.2,-15,,
2015,1,4,18,30,0,7,-16,,
2015,1,4,19,30,0,6.7,-17,,
2015,1,4,20,30,0,6.6,-18,,
2015,1,4,21,30,0,6.8,-18,,
2015,1,4,22,30,0,6.7,-18,,
2015,1,4,23,30,0,6.4,-18,,
2015,1,5,0,30,0,6,-19,,
2015,1,5,1,30,0,5.7,-19,,
2015,1,5,2,30,0,5.4,-19,,
2015,1,5,3,30,0,5.1,-19,,
2015,1,5,4,30,0,4.9,-20,,
2015,1,5,5,30,0,4.3,-21,,
2015,1,5,6,30,0,3.8,-22,,
2015,1,5,7,30,0,3.7,-22,,
2015,1,5,8,30,134,4.1,-21,,
2015,1,5,9,30,284,4.7,-19,,
2015,1,5,10,30,190,5,-17,,
2015,1,5,11,30,334,4.9,-16,,
2015,1,5,12,30,250,4.5,-16,,
2015,1,5,13,30,171,3.7,-16,,
2015,1,5,14,30,97,2.6,-16,,
2015,1,5,15,30,32,2,-16,,
2015,1,5,16,30,0,2.1,-17,,
2015,1,5,17,30,0,2.3,-17,,
2015,1,5,18,30,0,2.4,-16,,
2015,1,5,19,30,0,2.2,-16,,
2015,1,5,20,30,0,1.8,-16,,
2015,1,5,21,30,0,1.5,-16,,
2015,1,5,22,30,0,1.3,-16,,
2015,1,5,23,30,0,1.3,-16,,
2015,1,6,0,30,0,1.4,-16,,
2015,1,6,1,30,0,1.7,-16,,
2015,1,6,2,30,0,1.9,-16,,
2015,1,6,3,30,0,2,-17,,
2015,1,6,4,30,0,2.2,-18,,
2015,1,6,5,30,0,2.5,-19,,
2015,1,6,6,30,0,2.7,-20,,
2015,1,6,7,30,0,3,-19,,
2015,1,6,8,30,129,4.1,-17,,
2015,1,6,9,30,159,5.1,-15,,
2015,1,6,10,30,171,5.8,-13,,
2015,1,6,11,30,297,6.5,-11,,
2015,1,6,12,30,449,7,-10,,
2015,1,6,13,30,390,7,-10,,
2015,1,6,14,30,145,6.4,-10,,
2015,1,6,15,30,136,5.6,-11,,
2015,1,6,16,30,0,5.2,-12,,
2015,1,6,17,30,0,5.2,-12,,
2015,1,6,18,30,0,5.2,-12,,
2015,1,6,19,30,0,5.2,-13,,
2015,1,6,20,30,0,5.7,-13,,
2015,1,6,21,30,0,6.6,-14,,
2015,1,6,22,30,0,7.2,-14,,
2015,1,6,23,30,0,7.5,-15,,
2015,1,7,0,30,0,7.6,-16,,
2015,1,7,1,30,0,7.7,-17,,
2015,1,7,2,30,0,7.7,-18,,
2015,1,7,3,30,0,7.6,-18,,
2015,1,7,4,30,0,7.5,-19,,
