Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Latitude,Longitude
2019,1,1,0,30,0,1.4,-16.7,41.13,-104.82
2019,1,1,1,30,0,1.4,-16.9,,
2019,1,1,2,30,0,1.4,-17.1,,
2019,1,1,3,30,0,1.4,-17.3,,
2019,1,1,4,30,0,1.4,-17.4,,
2019,1,1,5,30,0,1.6,-17.6,,
2019,1,1,6,30,0,1.8,-17.8,,
2019,1,1,7,30,7,1.8,-17.5,,
2019,1,1,8,30,104,1.9,-16.4,,
2019,1,1,9,30,225,2,-14.8,,
2019,1,1,10,30,296,2,-13,,
2019,1,1,11,30,477,2,-11.3,,
2019,1,1,12,30,487,2.2,-9.8,,
2019,1,1,13,30,429,2.9,-8.8,,
2019,1,1,14,30,320,3.5,-8.4,,
2019,1,1,15,30,169,3.1,-9.6,,
2019,1,1,16,30,20,2.7,-10.7,,
2019,1,1,17,30,0,3.3,-13,,
2019,1,1,18,30,0,4.1,-13.8,,
2019,1,1,19,30,0,4.8,-14.2,,
2019,1,1,20,30,0,5.5,-14.5,,
2019,1,1,21,30,0,6,-14.6,,
2019,1,1,22,30,0,6.3,-14.5,,
2019,1,1,23,30,0,6.3,-14.3,,
2019,1,2,0,30,0,6.3,-14.1,,
2019,1,2,1,30,0,6.1,-13.7,,
2019,1,2,2,30,0,6,-13.3,,
2019,1,2,3,30,0,5.9,-12.7,,
2019,1,2,4,30,0,5.8,-12,,
2019,1,2,5,30,0,5.4,-11.5,,
2019,1,2,6,30,0,5,-11,,
2019,1,2,7,30,6,5,-9.5,,
2019,1,2,8,30,123,5.1,-6.6,,
2019,1,2,9,30,308,4.6,-3.5,,
2019,1,2,10,30,421,3.6,-0.6,,
2019,1,2,11,30,483,2.6,1.6,,
2019,1,2,12,30,487,2.1,2.7,,
2019,1,2,13,30,426,2,2.9,,
2019,1,2,14,30,316,1.8,1.8,,
2019,1,2,15,30,166,1.7,-0.8,,
2019,1,2,16,30,20,1.8,-2.5,,
2019,1,2,17,30,0,3.7,-4.9,,
2019,1,2,18,30,0,4.9,-5.8,,
2019,1,2,19,30,0,5.7,-6.3,,
2019,1,2,20,30,0,6.1,-6.4,,
2019,1,2,21,30,0,6.1,-6.4,,
2019,1,2,22,30,0,6.1,-6.4,,
2019,1,2,23,30,0,6,-6.5,,
2019,1,3,0,30,0,6.2,-6.6,,
2019,1,3,1,30,0,6.4,-6.5,,
2019,1,3,2,30,0,6.5,-6.2,,
2019,1,3,3,30,0,6.6,-5.8,,
2019,1,3,4,30,0,6.6,-5.5,,
2019,1,3,5,30,0,6.7,-5.2,,
2019,1,3,6,30,0,6.6,-4.9,,
2019,1,3,7,30,8,6.7,-4,,
2019,1,3,8,30,119,6.8,-1.9,,
2019,1,3,9,30,245,6.4,0.9,,
2019,1,3,10,30,385,6.2,3.6,,
2019,1,3,11,30,459,6.4,5.6,,
2019,1,3,12,30,420,6.3,6.5,,
2019,1,3,13,30,407,6,6.3,,
2019,1,3,14,30,302,5.2,4.8,,
2019,1,3,15,30,161,4.7,2.3,,
2019,1,3,16,30,20,4.6,0.8,,
2019,1,3,17,30,0,5.5,-0.5,,
2019,1,3,18,30,0,6,-0.8,,
2019,1,3,19,30,0,6.2,-0.9,,
2019,1,3,20,30,0,6.4,-0.9,,
2019,1,3,21,30,0,6.6,-0.7,,
2019,1,3,22,30,0,6.7,-0.7,,
2019,1,3,23,30,0,6.7,-0.8,,
2019,1,4,0,30,0,6.6,-0.8,,
2019,1,4,1,30,0,6.7,-0.8,,
2019,1,4,2,30,0,6.8,-0.7,,
2019,1,4,3,30,0,6.8,-0.7,,
2019,1,4,4,30,0,6.7,-0.7,,
2019,1,4,5,30,0,6.6,-0.7,,
2019,1,4,6,30,0,6.5,-0.7,,
2019,1,4,7,30,9,6.6,0.2,,
2019,1,4,8,30,121,6.6,2.1,,
2019,1,4,9,30,132,6.2,4.4,,
2019,1,4,10,30,395,5.8,6.7,,
2019,1,4,11,30,461,5.8,8.5,,
2019,1,4,12,30,465,5.3,9.3,,
2019,1,4,13,30,413,4.3,8.8,,
2019,1,4,14,30,308,3.2,7.1,,
2019,1,4,15,30,163,2.6,4.5,,
2019,1,4,16,30,21,2.3,3,,
2019,1,4,17,30,0,2.6,1.6,,
2019,1,4,18,30,0,3,0.9,,
2019,1,4,19,30,0,3.2,0.4,,
2019,1,4,20,30,0,3.1,0.1,,
2019,1,4,21,30,0,3,-0.1,,
2019,1,4,22,30,0,2.9,-0.2,,
2019,1,4,23,30,0,2.8,-0.4,,
2019,1,5,0,30,0,2.8,-0.5,,
2019,1,5,1,30,0,2.9,-0.7,,
2019,1,5,2,30,0,3,-0.8,,
2019,1,5,3,30,0,3.1,-1,,
2019,1,5,4,30,0,3.2,-1.2,,
2019,1,5,5,30,0,3.3,-1.3,,
2019,1,5,6,30,0,3.4,-1.2,,
2019,1,5,7,30,5,3.8,0.2,,
2019,1,5,8,30,135,4.3,2.7,,
2019,1,5,9,30,288,4,5.2,,
2019,1,5,10,30,383,3.3,7.4,,
2019,1,5,11,30,475,2.6,9.1,,
2019,1,5,12,30,355,1.7,9.6,,
2019,1,5,13,30,255,1,8.5,,
2019,1,5,14,30,140,1,6.2,,
2019,1,5,15,30,62,1.3,3.5,,
2019,1,5,16,30,9,1.4,2.3,,
2019,1,5,17,30,0,1.6,1.1,,
2019,1,5,18,30,0,1.6,0.9,,
2019,1,5,19,30,0,1.6,0.8,,
2019,1,5,20,30,0,1.6,0.8,,
2019,1,5,21,30,0,1.6,0.9,,
2019,1,5,22,30,0,1.4,1.2,,
2019,1,5,23,30,0,1.4,1.3,,
2019,1,6,0,30,0,1.3,1.2,,
2019,1,6,1,30,0,1.4,0.8,,
2019,1,6,2,30,0,1.4,0.3,,
2019,1,6,3,30,0,1.5,0,,
2019,1,6,4,30,0,1.5,0,,
2019,1,6,5,30,0,1.5,0.1,,
2019,1,6,6,30,0,1.6,0.2,,
2019,1,6,7,30,3,2.1,1,,
2019,1,6,8,30,31,2.6,2.4,,
2019,1,6,9,30,94,2.7,3.5,,
2019,1,6,10,30,229,3,4.5,,
2019,1,6,11,30,256,3.8,5.5,,
2019,1,6,12,30,457,4.5,6,,
2019,1,6,13,30,191,4.8,5.7,,
2019,1,6,14,30,312,4.9,4.9,,
2019,1,6,15,30,170,5,3.6,,
2019,1,6,16,30,26,5.1,2.7,,
2019,1,6,17,30,0,5.9,1.4,,
2019,1,6,18,30,0,6.6,0.9,,
2019,1,6,19,30,0,7.1,0.3,,
2019,1,6,20,30,0,7.5,-0.4,,
2019,1,6,21,30,0,7.7,-1.2,,
2019,1,6,22,30,0,7.5,-2.1,,
2019,1,6,23,30,0,7.2,-3,,
2019,1,7,0,30,0,6.8,-3.7,,
2019,1,7,1,30,0,6.4,-4.1,,
2019,1,7,2,30,0,5.9,-4.3,,
2019,1,7,3,30,0,5.4,-4.4,,
2019,1,7,4,30,0,5,-4.5,,
2019,1,7,5,30,0,4.7,-4.5,,
2019,1,7,6,30,0,4.5,-3.8,,
2019,1,7,7,30,6,4.8,-2.4,,
2019,1,7,8,30,100,6,-0.3,,
2019,1,7,9,30,296,7.9,1.9,,
2019,1,7,10,30,411,9.2,3.6,,
2019,1,7,11,30,475,9.6,4.6,,
2019,1,7,12,30,429,9.6,5.1,,
2019,1,7,13,30,129,9.6,4.9,,
2019,1,7,14,30,115,9.9,4,,
2019,1,7,15,30,137,10.4,2.1,,
2019,1,7,16,30,28,10.6,0.9,,
2019,1,7,17,30,0,11.1,-1.6,,
2019,1,7,18,30,0,11,-2.7,,
2019,1,7,19,30,0,10.5,-3.5,,
2019,1,7,20,30,0,9.9,-4.1,,
2019,1,7,21,30,0,9.2,-4.6,,
2019,1,7,22,30,0,8.5,-5,,
2019,1,7,23,30,0,8,-5.3,,
2019,1,8,0,30,0,7.3,-5.4,,
2019,1,8,1,30,0,6.4,-5.5,,
2019,1,8,2,30,0,5.5,-5.3,,
2019,1,8,3,30,0,5,-5,,
2019,1,8,4,30,0,4.5,-4.6,,
2019,1,8,5,30,0,4,-4.2,,
2019,1,8,6,30,0,3.4,-4,,
2019,1,8,7,30,11,3.3,-2.9,,
2019,1,8,8,30,149,4,-0.9,,
2019,1,8,9,30,301,5,1.1,,
2019,1,8,10,30,417,5.5,2.6,,
2019,1,8,11,30,482,5.4,3.6,,
2019,1,8,12,30,489,5.1,4.1,,
2019,1,8,13,30,436,4.7,4.1,,
2019,1,8,14,30,329,3.7,3,,
2019,1,8,15,30,182,2.3,0,,
2019,1,8,16,30,30,1.7,-2,,
2019,1,8,17,30,0,1.4,-3.9,,
2019,1,8,18,30,0,1.4,-4.3,,
2019,1,8,19,30,0,1.7,-4.4,,
2019,1,8,20,30,0,2,-4.3,,
2019,1,8,21,30,0,2,-4.3,,
2019,1,8,22,30,0,1.8,-4.1,,
2019,1,8,23,30,0,1.5,-3.9,,
2019,1,9,0,30,0,1.3,-3.8,,
2019,1,9,1,30,0,1.3,-3.7,,
2019,1,9,2,30,0,1.4,-3.8,,
2019,1,9,3,30,0,1.5,-3.9,,
